Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
2717, 0.0000000000
2739, 0.0000000000
2759, 0.0000000000
2780, 0.0000000000
2801, 0.0000000000
2822, 0.0000000000
2842, 0.0000000000
2864, 0.0000000000
2884, 0.0000000000
2905, 0.0000000000
2926, 0.0000000000
2947, 0.0000000000
2967, 0.0000000000
2989, 0.0000000000
3009, 0.0000000000
3030, 0.0000000000
3050, 0.0000000000
3072, 0.0000000000
3092, 0.0000000000
3112, 0.0000000000
3134, 0.0000000000
3154, 0.0000000000
3175, 0.0000000000
3196, 0.0000000000
3217, 0.0000000000
3237, 0.0000000000
3259, 0.0000000000
3279, 0.0000000000
3300, 0.0000000000
3321, 0.0000000000
3342, 0.0000000000
3362, 0.0000000000
3383, 0.0000000000
3404, 0.0000000000
3425, 0.0000000000
3445, 0.0000000000
3467, 0.0000000000
3487, 0.0000000000
3508, 0.0000000000
3529, 0.0000000000
3550, 0.0000000000
3570, 0.0000000000
3592, 0.0000000000
3612, 0.0000000000
3633, 0.0000000000
3654, 0.0000000000
3675, 0.0000000000
3695, 0.0000000000
3716, 0.0000000000
3737, 0.0000000000
3758, 0.0000000000
3778, 0.0000000000
3800, 0.0000000000
3820, 0.0000000000
3841, 0.0000000000
3862, 0.0000000000
3883, 0.0000000000
3903, 0.0000000000
3924, 0.0000000000
3945, 0.0000000000
3965, 0.0000000000
3987, 0.0000000000
4007, 0.0000000000
4028, 0.0000000000
4048, 0.0000000000
4070, 0.0000000000
4090, 0.0000000000
4111, 0.0000000000
4132, 0.0000000000
4153, 0.0000000000
4173, 0.0000000000
4195, 0.0000000000
4215, 0.0000000000
4236, 0.0000000000
4257, 0.0000000000
4278, 0.0000000000
4298, 0.0000000000
4320, 0.0000000000
4340, 0.0000000000
4361, 0.0000000000
4381, 0.0000000000
4403, 0.0000000000
4423, 0.0000000000
4444, 0.
