Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a 1 kg weight onto the load cell, press any character then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 1.00 kg...Averaged value with weight, minus tare: 		1566.0000000000
Calibrated value of weight: 		1613.0000000000
Calibration complete, save and put in code if required. Set to: 		1566.0000000000
PRESS ANY CHARACTER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
18684, -0.0664112472
19467, 0.0019157087
20409, 0.0134099614
21350, 0.2841634750
22292, 1.1481481790
23234, 1.7879948616
24175, 2.2573435306
25117, 1.4029374122
26059, 1.1219668388
27001, 1.1008939743
27942, 1.1270753145
28884, 1.1379309892
29827, 1.1053639650
30769, 1.1174968481
31710, 1.2356321811
32652, 1.2777777910
33594, 1.2401021718
34535, 1.1117496490
35477, 1.1232439279
36419, 1.1513409614
37361, 1.0408684015
38303, 0.9144316673
39244, 1.0210727453
40186, 1.3033205270
41128, 1.2918263626
42070, -1.8071519851
42231, 67.8844223022
43143, 1.6851851940
44084, 1.1717752218
45026, 1.3135377168
45968, 1.1321839094
46910, 1.2694764137
47851, 1.1717752218
48793, 1.4380587577
49735, 1.2758620977
50676, 1.2324392795
51618, 1.2484035491
52559, 1.2215836048
53501, 1.1851851940
54443, -0.0121328222
55385, -5.8876118659
56327, -3.9137930870
57268, -3.4355044364
58210, -3.2311623096
59152, -3.1283524036
60093, -3.0951468944
61035, -3.0708811283
61977, -3.0536398887
62918, -3.0581097602
63860, -3.0383141040
64801, -3.0427842140
65743, -3.0344827175
66685, -3.0312898159
67628, 96.4508285522
68569, 170.8742065429
69511, 131.3186492919
70452, 72.1519775390
71394, 47.0153274536
72335, 23.7305240631
73277, 8.2905492782
74218, 6.0977010726
75160, 6.6839079856
76101, 30.9342269897
77043, 34.0166015625
77985, 31.6468715667
78926, 29.5191574096
79868, 
