Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
2112, 0.0000000000
2132, 0.0000000000
2153, 0.0000000000
2174, 0.0000000000
2195, 0.0000000000
2215, 0.0000000000
2237, 0.0000000000
2257, 0.0000000000
2278, 0.0000000000
2299, 0.0000000000
2320, 0.0000000000
2340, 0.0000000000
2361, 0.0000000000
2382, 0.0000000000
2403, 0.0000000000
2423, 0.0000000000
2445, 0.0000000000
2465, 0.0000000000
2486, 0.0000000000
2507, 0.0000000000
2528, 0.0000000000
2548, 0.0000000000
2570, 0.0000000000
2590, 0.0000000000
2611, 0.0000000000
2632, 0.0000000000
2653, 0.0000000000
2673, 0.0000000000
2694, 0.0000000000
2715, 0.0000000000
2736, 0.0000000000
2756, 0.0000000000
2778, 0.0000000000
2798, 0.0000000000
2819, 0.0000000000
2840, 0.0000000000
2861, 0.0000000000
2881, 0.0000000000
2903, 0.0000000000
2923, 0.0000000000
2944, 0.0000000000
2965, 0.0000000000
2985, 0.0000000000
3006, 0.0000000000
3026, 0.0000000000
3048, 0.0000000000
3068, 0.0000000000
3089, 0.0000000000
3110, 0.0000000000
3131, 0.0000000000
3151, 0.0000000000
3173, 0.0000000000
3193, 0.0000000000
3214, 0.0000000000
3235, 0.0000000000
3256, 0.0000000000
3276, 0.0000000000
3298, 0.0000000000
3318, 0.0000000000
3339, 0.0000000000
3359, 0.0000000000
3381, 0.0000000000
3401, 0.0000000000
3422, 0.0000000000
3443, 0.0000000000
3464, 0.0000000000
3484, 0.0000000000
3506, 0.0000000000
3526, 0.0000000000
3547, 0.0000000000
3568, 0.0000000000
3589, 0.0000000000
3609, 0.0000000000
3631, 0.0000000000
3651, 0.0000000000
3672, 0.0000000000
3692, 0.0000
