Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
17304, 0.0000000000
17326, 0.0000000000
17348, 0.0000000000
17370, 0.0000000000
17391, 0.0000000000
17414, 0.0000000000
17435, 0.0000000000
17457, 0.0000000000
17479, 0.0000000000
17501, 0.0000000000
17522, 0.0000000000
17545, 0.0000000000
17566, 0.0000000000
17588, 0.0000000000
17610, 0.0000000000
17632, 0.0000000000
17653, 0.0000000000
17676, 0.0000000000
17697, 0.0000000000
17719, 0.0000000000
17741, 0.0000000000
17763, 0.0000000000
17784, 0.0000000000
17807, 0.0000000000
17828, 0.0000000000
17850, 0.0000000000
17872, 0.0000000000
17894, 0.0000000000
17915, 0.0000000000
17938, 0.0000000000
17959, 0.0000000000
17981, 0.0000000000
18003, 0.0000000000
18025, 0.0000000000
18046, 0.0000000000
18069, 0.0000000000
18091, 0.0000000000
18112, 0.0000000000
18135, 0.0000000000
18156, 0.0000000000
18178, 0.0000000000
18200, 0.0000000000
18222, 0.0000000000
18243, 0.0000000000
18266, 0.0000000000
18287, 0.0000000000
18309, 0.0000000000
18331, 0.0000000000
18353, 0.0000000000
18374, 0.0000000000
18397, 0.0000000000
18418, 0.0000000000
18440, 0.0000000000
18462, 0.0000000000
18484, 0.0000000000
18505, 0.0000000000
18527, 0.0000000000
18549, 0.0000000000
18571, 0.0000000000
18592, 0.0000000000
18615, 0.0000000000
18636, 0.0000000000
18658, 0.0000000000
18680, 0.0000000000
18702, 0.0000000000
18723, 0.0000000000
18746, 0.0000000000
18767, 0.0000000000
18789, 0.0000000000
18811, 0.0000000000
18833, 0.0000000000
18854, 0.0000000000
18877, 0.0000000000
18898, 0.0000000000
18920, 0.0000000000
18942, 0.0000000000
18964, 0.0000000000
18985, 0.0000000000
19008, 0.0000000000
19030, 0.0000000000
19051, 0.0000000000
19074, 0.0000000000
19095, 0.0000000000
19117, 0.0000000000
19139, 0.0000000000
19161, 0.0000000000
19182, 0.0000000000
19205, 0.0000000000
19226, 0.0000000000
19248, 0.0000000000
19270, 0.0000000000
19292, 0.0000000000
19313, 0.0000000000
19336, 0.0000000000
19357, 0.0000000000
19379, 0.0000000000
19401, 0.0000000000
19423, 0.0000000000
19444, 0.0000000000
19467, 0.0000000000
19488, 0.0000000000
19510, 0.0000000000
19532, 0.0000000000
19554, 0.0000000000
19575, 0.0000000000
19598, 0.0000000000
19619, 0.0000000000
19641, 0.0000000000
19663, 0.0000000000
19685, 0.0000000000
19706, 0.0000000000
19729, 0.0000000000
19750, 0.0000000000
19772, 0.0000000000
19794, 0.0000000000
19816, 0.0000000000
19837, 0.0000000000
19860, 0.0000000000
19881, 0.0000000000
19903, 0.0000000000
19924, 0.0000000000
19947, 0.0000000000
19969, 0.0000000000
19990, 0.0000000000
20013, 0.0000000000
20034, 0.0000000000
20056, 0.0000000000
20078, 0.0000000000
20100, 0.0000000000
20121, 0.0000000000
20144, 0.0000000000
20165, 0.0000000000
20187, 0.0000000000
20209, 0.0000000000
20231, 0.0000000000
20252, 0.0000000000
20275, 0.0000000000
20296, 0.0000000000
20318, 0.0000000000
20340, 0.0000000000
20362, 0.0000000000
20383, 0.0000000000
20406, 0.0000000000
20427, 0.0000000000
20449, 0.0000000000
20471, 0.0000000000
20493, 0.0000000000
20514, 0.0000000000
20537, 0.0000000000
20558, 0.0000000000
20580, 0.0000000000
20602, 0.0000000000
20624, 0.0000000000
20645, 0.0000000000
20668, 0.0000000000
20689, 0.0000000000
20711, 0.0000000000
20733, 0.0000000000
20755, 0.0000000000
