Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
2381, 0.0000000000
2402, 0.0000000000
2422, 0.0000000000
2444, 0.0000000000
2464, 0.0000000000
2485, 0.0000000000
2505, 0.0000000000
2527, 0.0000000000
2547, 0.0000000000
2568, 0.0000000000
2589, 0.0000000000
2610, 0.0000000000
2630, 0.0000000000
2652, 0.0000000000
2672, 0.0000000000
2693, 0.0000000000
2714, 0.0000000000
2735, 0.0000000000
2755, 0.0000000000
2777, 0.0000000000
2797, 0.0000000000
2818, 0.0000000000
2838, 0.0000000000
2860, 0.0000000000
2880, 0.0000000000
2900, 0.0000000000
2922, 0.0000000000
2942, 0.0000000000
2963, 0.0000000000
2984, 0.0000000000
3005, 0.0000000000
3025, 0.0000000000
3047, 0.0000000000
3067, 0.0000000000
3088, 0.0000000000
3109, 0.0000000000
3130, 0.0000000000
3150, 0.0000000000
3171, 0.0000000000
3192, 0.0000000000
3213, 0.0000000000
3233, 0.0000000000
3255, 0.0000000000
3275, 0.0000000000
3296, 0.0000000000
3317, 0.0000000000
3338, 0.0000000000
3358, 0.0000000000
3380, 0.0000000000
3400, 0.0000000000
3421, 0.0000000000
3442, 0.0000000000
3463, 0.0000000000
3483, 0.0000000000
3504, 0.0000000000
3525, 0.0000000000
3546, 0.0000000000
3566, 0.0000000000
3588, 0.0000000000
3608, 0.0000000000
3629, 0.0000000000
3650, 0.0000000000
3671, 0.0000000000
3691, 0.0000000000
3713, 0.0000000000
3733, 0.0000000000
3753, 0.0000000000
3775, 0.0000000000
3795, 0.0000000000
3816, 0.0000000000
3836, 0.0000000000
3858, 0.0000000000
3878, 0.0000000000
3899, 0.0000000000
3920, 0.0000000000
3941, 0.0000000000
3961, 0.0000000000
3983, 0.0000000000
4003, 0.0000000000
4024, 0.0000000000
4045, 0.0000000000
4066, 0.0000000000
4086, 0.0000000000
4108, 0.0000000000
4128, 0.0000000000
4149, 0.0000000000
4169, 0.0000000000
4191, 0.0000000000
4211, 0.0000000000
4232, 0.0000000000
4253, 0.0000000000
4274, 0.0000000000
4294, 0.0000000000
4316, 0.0000000000
4336, 0.0000000000
4357, 0.0000000000
4378, 0.0000000000
4399, 0.0000000000
4419, 0.0000000000
4441, 0.0000000000
4461, 0.0000000000
4482, 0.0000000000
4502, 0.0000000000
4524, 0.0000000000
4544, 0.0000000000
4564, 0.0000000000
4586, 0.0000000000
4606, 0.0000000000
4627, 0.0000000000
4648, 0.0000000000
4669, 0.0000000000
4689, 0.0000000000
4711, 0.0000000000
4731, 0.0000000000
4752, 0.0000000000
4773, 0.0000000000
4794, 0.0000000000
4814, 0.0000000000
4835, 0.0000000000
4856, 0.0000000000
4877, 0.0000000000
4897, 0.0000000000
4919, 0.0000000000
4939, 0.0000000000
4960, 0.0000000000
4981, 0.0000000000
5002, 0.0000000000
5022, 0.0000000000
5044, 0.0000000000
5064, 0.0000000000
5085, 0.0000000000
5106, 0.0000000000
5127, 0.0000000000
5147, 0.0000000000
5168, 0.0000000000
5189, 0.0000000000
5210, 0.0000000000
5230, 0.0000000000
5252, 0.0000000000
5272, 0.0000000000
5293, 0.0000000000
5314, 0.000
