Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
3724, 0.0000000000
3744, 0.0000000000
3765, 0.0000000000
3786, 0.0000000000
3807, 0.0000000000
3827, 0.0000000000
3849, 0.0000000000
3869, 0.0000000000
3890, 0.0000000000
3911, 0.0000000000
3932, 0.0000000000
3952, 0.0000000000
3974, 0.0000000000
3994, 0.0000000000
4015, 0.0000000000
4036, 0.0000000000
4057, 0.0000000000
4077, 0.0000000000
4098, 0.0000000000
4119, 0.0000000000
4140, 0.0000000000
4160, 0.0000000000
4182, 0.0000000000
4202, 0.0000000000
4222, 0.0000000000
4244, 0.0000000000
4264, 0.0000000000
4285, 0.0000000000
4306, 0.0000000000
4327, 0.0000000000
4347, 0.0000000000
4369, 0.0000000000
4389, 0.0000000000
4410, 0.0000000000
4430, 0.0000000000
4452, 0.0000000000
4472, 0.0000000000
4493, 0.0000000000
4514, 0.0000000000
4535, 0.0000000000
4555, 0.0000000000
4577, 0.0000000000
4597, 0.0000000000
4618, 0.0000000000
4639, 0.0000000000
4660, 0.0000000000
4680, 0.0000000000
4702, 0.0000000000
4722, 0.0000000000
4743, 0.0000000000
4763, 0.0000000000
4785, 0.0000000000
4805, 0.0000000000
4826, 0.0000000000
4847, 0.0000000000
4868, 0.0000000000
4888, 0.0000000000
4910, 0.0000000000
4930, 0.0000000000
4951, 0.0000000000
4972, 0.0000000000
4993, 0.0000000000
5013, 0.0000000000
5035, 0.0000000000
5055, 0.0000000000
5075, 0.0000000000
5096, 0.0000000000
5117, 0.0000000000
5138, 0.0000000000
5158, 0.0000000000
5180, 0.0000000000
5200, 0.0000000000
5221, 0.0000000000
5242, 0.0000000000
5263, 0.0000000000
5283, 0.0000000000
5305, 0.0000000000
5325, 0.0000000000
5346, 0.0000000000
5367, 0.0000000000
5388, 0.0000000000
5408, 0.0000000000
5429, 0.0000000000
5450, 0.0000000000
5471, 0.0000000000
5491, 0.0000000000
5513, 0.0000000000
5533, 0.0000000000
5554, 0.0000000000
5575, 0.0000000000
5596, 0.0000000000
5616, 0.0000000000
5638, 0.0000000000
5658, 0.0000000000
5679, 0.0000000000
5700, 0.0000000000
5721, 0.0000000000
5741, 0.0000000000
5762, 0.0000000000
5783, 0.0000000000
5804, 0.0000000000
5824, 0.0000000000
5846, 0.0000000000
5866, 0.0000000000
5886, 0.0000000000
5908, 0.0000000000
5928, 0.0000000000
5949, 0.0000000000
5970, 0.0000000000
5991, 0.0000000000
6011, 0.0000000000
6033, 0.0000000000
6053, 0.0000000000
6074, 0.0000000000
6094, 0.0000000000
6116, 0.0000000000
6136, 0.0000000000
6157, 0.0000000000
6178, 0.0000000000
6199, 0.0000000000
6219, 0.0000000000
6241, 0.0000000000
6261,
