Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a known weight onto the load cell; enter the weight in kg and press enter when ready.
NOTE: this process will calibrate to Newtons.
Averaged value with weight, minus tare: 		nan
Calibrated value of weight: 		0.0000000000
Calibration complete, save and put in code if required. Set to: 		nan
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
2458, nan
2473, nan
2485, nan
2496, nan
2507, nan
2519, nan
2531, nan
2542, nan
2553, nan
2565, nan
2576, nan
2587, nan
2599, nan
2611, nan
2622, nan
2633, nan
2644, nan
2656, nan
2668, nan
2679, nan
2691, nan
2702, nan
2713, nan
2724, nan
2737, nan
2748, nan
2759, nan
2770, nan
2782, nan
2793, nan
2805, nan
2817, nan
2828, nan
2839, nan
2850, nan
2863, nan
2874, nan
2885, nan
2896, nan
2908, nan
2919, nan
2931, nan
2942, nan
2954, nan
2965, nan
2976, nan
2988, nan
3000, nan
3011, nan
3022, nan
3034, nan
3045, nan
3056, nan
3068, nan
3080, nan
3091, nan
3102, nan
3113, nan
3125, nan
3137, nan
3148, nan
3160, nan
3171, nan
3182, nan
3194, nan
3206, nan
3217, nan
3228, nan
3239, nan
3251, nan
3263, nan
3274, nan
3286, nan
3297, nan
3308, nan
3319, nan
3332, nan
3343, nan
3354, nan
3365, nan
3377, nan
3388, nan
3400, nan
3411, nan
3423, nan
3434, nan
3445, nan
3457, nan
3469, nan
3480, nan
3491, nan
3503, nan
3514, nan
3525, nan
3537, nan
3549, nan
3560, nan
3571, nan
3582, nan
3595, nan
3606, nan
3617, nan
3629, nan
3640, nan
3651, nan
3663, nan
3675, nan
3686, nan
3697, nan
3708, nan
3720, nan
3732, nan
3743, nan
3755, nan
3766, nan
3777, nan
3788, nan
3801, nan
3812, nan
3823, nan
3834, nan
3846, nan
3857, nan
3869, nan
3880, nan
3892, nan
3903, nan
3914, nan
3927, nan
3938, nan
