Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
2214, 0.0000000000
2235, 0.0000000000
2256, 0.0000000000
2277, 0.0000000000
2297, 0.0000000000
2319, 0.0000000000
2339, 0.0000000000
2360, 0.0000000000
2380, 0.0000000000
2402, 0.0000000000
2422, 0.0000000000
2443, 0.0000000000
2464, 0.0000000000
2485, 0.0000000000
2505, 0.0000000000
2527, 0.0000000000
2547, 0.0000000000
2568, 0.0000000000
2589, 0.0000000000
2610, 0.0000000000
2630, 0.0000000000
2652, 0.0000000000
2672, 0.0000000000
2693, 0.0000000000
2713, 0.0000000000
2735, 0.0000000000
2755, 0.0000000000
2776, 0.0000000000
2797, 0.0000000000
2818, 0.0000000000
2838, 0.0000000000
2860, 0.0000000000
2880, 0.0000000000
2900, 0.0000000000
2922, 0.0000000000
2942, 0.0000000000
2963, 0.0000000000
2984, 0.0000000000
3005, 0.0000000000
3025, 0.0000000000
3046, 0.0000000000
3067, 0.0000000000
3088, 0.0000000000
3108, 0.0000000000
3130, 0.0000000000
3150, 0.0000000000
3171, 0.0000000000
3192, 0.0000000000
3213, 0.0000000000
3233, 0.0000000000
3255, 0.0000000000
3275, 0.0000000000
3296, 0.0000000000
3317, 0.0000000000
3338, 0.0000000000
3358, 0.0000000000
3379, 0.0000000000
3400, 0.0000000000
3421, 0.0000000000
3441, 0.0000000000
3463, 0.0000000000
3483, 0.0000000000
3504, 0.0000000000
3525, 0.0000000000
3546, 0.0000000000
3566, 0.0000000000
3588, 0.0000000000
3608, 0.0000000000
3629, 0.0000000000
3650, 0.0000000000
3671, 0.0000000000
3691, 0.0000000000
3712, 0.0000000000
3733, 0.0000000000
3753, 0.0000000000
3774, 0.0000000000
3795, 0.0000000000
3816, 0.0000000000
3836, 0.0000000000
3858, 0.0000000000
3878, 0.0000000000
3899, 0.0000000000
3920, 0.0000000000
3941, 0.0000000000
3961, 0.0000000000
3983, 0.000000
