Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a 1 kg weight onto the load cell, press any character then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 1.00 kg...Averaged value with weight, minus tare: 		1598.0000000000
Calibrated value of weight: 		1374.0000000000
Calibration complete, save and put in code if required. Set to: 		1598.0000000000
PRESS ANY CHARACTER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
14806, 1.9136420249
15579, 1.6752190589
16521, 1.7747183799
17462, 1.9342928886
18404, 2.7697122097
19346, 3.0713391304
20287, 3.1821026802
21229, 2.9712141036
22170, 2.8673341751
23112, 2.8591990470
24053, 1.8785982131
24995, 1.7647058963
25936, 1.8892365455
26878, 1.7834793090
27820, 1.8704631805
28762, 1.8016270637
29703, 1.7352941036
30645, 1.7265331745
31587, 1.7033792495
32528, 1.7784731388
33470, 1.7340425491
34411, 1.7571965217
35353, 1.8229036331
36294, 7.7722153663
37236, 3.9993741989
38178, 2.2809762954
39119, 2.1589486598
40061, 3.0500626564
41003, 1.7403004169
41945, 1.7665832042
42887, 1.7503129005
43828, 1.7703379631
44770, 4.6802253723
45711, 5.0100126266
46653, 3.4780976772
47594, 1.8310388565
48536, 1.8197747230
49478, 1.7953692436
50419, 1.7234043121
51361, 1.7772215843
52303, 2.1120150089
53244, 3.6921150684
54187, 2.7453067302
55129, 1.7916145324
56070, 1.8272840499
57012, 1.7352941036
57953, 2.0262827873
58895, 1.7916145324
59837, 1.8047559738
60778, 1.7446808815
61720, 3.0043804645
62661, 3.0043804645
63603, 2.4837296009
64545, 1.8441802024
65486, 2.3811013698
66428, 1.8041301727
67369, 1.7734668254
68312, 1.8022527694
69254, 1.7603254318
70195, 1.7403004169
71137, 3.5369212627
72079, 1.9461827278
73020, 1.7140174865
73962, 1.7459324836
74903, 1.7565707206
75845, 1.7722152709
76786, 1.7784731388
77727, 2.3260326385
78669, 2.2991240024
79610, 2.9674594879
80552, 1.8397997856
81494, 1.7959949970
82436, 1.6971213817
83377, 1.7277847290
84319, 1.8116395950
85260, 1.7540675163
86202, 1.7571965217
87143, 1.7759699821
88085, 1.8122653007
89026, 1.7841052055
89968, 3.0763454437
90909, 3.3216521739
91851, 3.5932414531
92792, 1.8760951995
93734, 
