Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
7396, 0.0000000000
7417, 0.0000000000
7438, 0.0000000000
7458, 0.0000000000
7480, 0.0000000000
7500, 0.0000000000
7521, 0.0000000000
7541, 0.0000000000
7563, 0.0000000000
7583, 0.0000000000
7604, 0.0000000000
7625, 0.0000000000
7646, 0.0000000000
7666, 0.0000000000
7688, 0.0000000000
7708, 0.0000000000
7729, 0.0000000000
7750, 0.0000000000
7771, 0.0000000000
7791, 0.0000000000
7813, 0.0000000000
7833, 0.0000000000
7854, 0.0000000000
7874, 0.0000000000
7896, 0.0000000000
7916, 0.0000000000
7937, 0.0000000000
7958, 0.0000000000
7979, 0.0000000000
7999, 0.0000000000
8020, 0.0000000000
8041, 0.0000000000
8061, 0.0000000000
8083, 0.0000000000
8103, 0.0000000000
8124, 0.0000000000
8145, 0.0000000000
8166, 0.0000000000
8186, 0.0000000000
8207, 0.0000000000
8228, 0.0000000000
8249, 0.0000000000
8269, 0.0000000000
8291, 0.0000000000
8311, 0.0000000000
8332, 0.0000000000
8353, 0.0000000000
8374, 0.0000000000
8394, 0.0000000000
8416, 0.0000000000
8436, 0.0000000000
8457, 0.0000000000
8478, 0.0000000000
8499, 0.0000000000
8519, 0.0000000000
8540, 0.0000000000
8561, 0.0000000000
8582, 0.0000000000
8602, 0.0000000000
8624, 0.0000000000
8644, 0.0000000000
8665, 0.0000000000
8686, 0.0000000000
8707, 0.0000000000
8727, 0.0000000000
8749, 0.0000000000
8769, 0.0000000000
8790, 0.0000000000
8811, 0.0000000000
8832, 0.0000000000
8852, 0.0000000000
8872, 0.0000000000
8894, 0.0000000000
8914, 0.0000000000
8935, 0.0000000000
8956, 0.0000000000
8977, 0.0000000000
8997, 0.0000000000
9019, 0.0000000000
9039, 0.0000000000
9060, 0.0000000000
9081, 0.0000000000
9102, 0.0000000000
9122, 0.0000000000
9144, 0.0000000000
9164, 0.0000000000
9185, 0.0000000000
9205, 0.0000000000
9227, 0.0000000000
9247, 0.0000000000
9268, 0.0000000000
