Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N)
1967, 0.0000000000
1987, 0.0000000000
2008, 0.0000000000
2029, 0.0000000000
2050, 0.0000000000
2070, 0.0000000000
2092, 0.0000000000
2112, 0.0000000000
2132, 0.0000000000
2154, 0.0000000000
2174, 0.0000000000
2195, 0.0000000000
2216, 0.0000000000
2237, 0.0000000000
2257, 0.0000000000
2279, 0.0000000000
2299, 0.0000000000
2320, 0.0000000000
2340, 0.0000000000
2362, 0.0000000000
2382, 0.0000000000
2403, 0.0000000000
2424, 0.0000000000
2445, 0.0000000000
2465, 0.0000000000
2487, 0.0000000000
2507, 0.0000000000
2528, 0.0000000000
2549, 0.0000000000
2570, 0.0000000000
2590, 0.0000000000
2612, 0.0000000000
2632, 0.0000000000
2653, 0.0000000000
2673, 0.0000000000
2695, 0.0000000000
2715, 0.0000000000
2736, 0.0000000000
2757, 0.0000000000
2778, 0.0000000000
2798, 0.0000000000
2820, 0.0000000000
2840, 0.0000000000
2861, 0.0000000000
2882, 0.0000000000
2903, 0.0000000000
2923, 0.0000000000
2945, 0.0000000000
2965, 0.0000000000
2985, 0.0000000000
3006, 0.0000000000
3027, 0.0000000000
3048, 0.0000000000
3068, 0.0000000000
3090, 0.0000000000
3110, 0.0000000000
3131, 0.0000000000
3152, 0.0000000000
3173, 0.0000000000
3193, 0.0000000000
3215, 0.0000000000
3235, 0.0000000000
3256, 0.0000000000
3277, 0.0000000000
3298, 0.0000000000
3318, 0.0000000000
3339, 0.0000000000
3360, 0.0000000000
3381, 0.0000000000
3401, 0.0000000000
3423, 0.0000000000
3443, 0.0000000000
3464, 0.0000000000
3485, 0.0000000000
3506, 0.0000000000
3526, 0.0000000000
3548, 0.0000000000
3568, 0.0000000000
3589, 0.0000000000
3610, 0.0000000000
3631, 0.0000000000
3651, 0.0000000000
3672, 0.0000000000
3693, 0.0000000000
3714, 0.0000000000
3734, 0.0000000000
3756, 0.00000
