Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 58920.00
Averaged value with weight, minus tare: 		841.4799804687
Calibrated value of weight: 		31.7405052185
Calibration complete, save and put in code if required. Set to: 		841.4799804687
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -342.000, 0.079, 2.586, -621.000
1367, -524.000, 0.126, -1.015, 915.000
2687, -476.000, 0.138, -1.238, 5367.000
4006, -932.000, 0.199, 9.685, 32937.000
5420, -1378.000, -0.259, 21.627, 57188.000
6740, -320.000, -7.870, 55.087, 68424.000
8059, -311.000, -12.794, 48.992, 67684.000
9379, -299.000, -25.601, 55.362, 64227.000
10698, -371.000, -3.496, 9.821, 24406.000
12018, -479.000, -0.213, -0.723, 2017.000
13338, -640.000, 0.082, -1.033, 1128.000
14658, -626.000, 0.033, -0.913, 1861.000
15977, -628.000, 0.070, -1.059, 1099.000
17297, -647.000, 0.026, -0.846, 2211.000
18617, -674.000, 0.093, -1.263, -1193.000
19937, -1994.000, 0.195, -1.339, -1217.000
21256, -3920.000, -3.392, 13.778, 54575.000
22576, -800.000, -4.779, 10.047, 38735.000
23896, -498.000, -53.463, 61.500, 72466.000
25216, -449.000, -0.919, -1.264, -1259.000
26536, -1265.000, -28.677, 51.193, 72516.000
27855, -319.000, -56.115, 61.868, 72594.000
29269, -331.000, -35.776, 1.796, 38286.000
30683, -401.000, -56.538, 62.138, 72598.000
32097, -324.000, -56.612, 62.237, 72663.000
33511, -303.000, -56.570, 62.275, 72611.000
34925, -333.000, -56.590, 62.302, 72594.000
36339, -376.000, -56.474, 62.223, 72315.000
37753, -491.000, -56.209, 62.167, 72177.000
39073, -478.000, -56.070, 62.184, 72108.000
40393, -510.000, -56.061, 62.217, 72119.000
41712, -560.000, -55.716, 62.196, 71852.000
43032, -631.000, -50.218, 61.833, 70922.000
44352, -671.000, -14.690, 23.772, 45404.000
45672, -747.000, -3.374, 10.138, 55787.000
46992, -709.000, -13.816, 54.468, 68892.000
48311, -695.000, -26.904, 56.283, 69508.000
49631, -699.000, -21.753, 44.662, 64592.000
50951, -757.000, -4.744, 13.329, 34405.000
52271, -840.000, -1.866, 25.600, 45571.000
53591, -845.000, -0.469, 6.052, 32437.000
54911, -846.000, -0.942, 9.822, 36032.000
56135, -854.000, -1.683, 15.800, 41242.000
57455, -838.000, -1.218, 11.524, 38615.000
58775, -953.000, 0.057, -1.152, -755.000
60095, -1785.000, -10.235, 573.738, 68676.000
61415, -784.000, -13.606, 598.435, 62813.000
62735, -891.000, -0.156, 32.802, 19156.000
64055, -930.000, -0.613, 127.927, 31779.000
65374, -901.000, -0.882, 148.278, 31332.000
66694, -925.000, -0.518, 65.470, 19412.000
68014, -978.000, -0.284, 36.982, 11953.000
69334, -994.000, -0.153, 24.332, 8639.000
70654, -1041.000, -0.008, 11.897, 6992.000
71973, -1021.000, -0.120, 24.236, 8276.000
73293, -978.000, -0.046, 12.884, 3813.000
74613, -1082.000, -0.012, 10.029, 2318.000
75932, -1103.000, 0.006, 9.016, 1872.000
77252, -1084.000, -0.115, 30.487, 10078.000
78572, -1038.000, 0.001, 8.048, 1170.000
79892, -1115.000, 0.039, 6.907, 1301.000
81212, -1114.000, 0.096, 4.554, 283.000
82626, -1144.000, 0.060, 6.495, 695.000
84040, -1168.000, 0.069, 4.323, -91.000
85454, -1095.000, -9.714, 339.990, 72398.000
86869, 
