Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.032, -0.226, -0.569, -0.100
1344, -0.037, 0.226, -0.569, 0.400
2666, 0.049, 0.734, -0.052, 1.066
3989, 2.390, 0.847, -0.362, 14.624
5312, 35.044, 31.582, 1.034, 0.733
6634, -0.065, -0.452, -0.414, 0.067
7957, 0.072, 0.395, 0.000, 0.000
9280, 0.627, 0.113, 0.310, 1.099
10603, 0.842, 0.960, -0.465, -0.033
11925, 0.412, 0.847, -0.724, 0.133
13248, 0.157, 0.395, -0.310, 0.033
14476, 0.171, 1.130, -0.776, 0.133
15799, 0.137, 1.130, -0.465, 0.100
17122, 0.382, 0.847, 0.465, 0.033
18445, 0.208, 1.243, -0.103, 0.233
19767, 0.296, 0.904, -0.052, 0.033
21090, 0.259, 1.243, 0.776, 0.167
22413, 0.289, 0.960, -0.517, 0.167
23736, 0.278, 1.186, 0.103, -0.133
25058, 0.354, 1.582, 0.103, 4.097
26381, 15.099, 0.621, 0.724, -0.133
27704, 0.127, 1.186, 3.516, 0.100
29121, 0.204, 3.503, 155.843, 24.117
30539, -0.790, -0.339, 1.396, 258.761
31956, 43.103, 1809.152, 1550.000, 1254.464
33373, 43.549, 118.023, 1.086, 1.166
34790, 0.153, 1.977, 1.293, 152.765
36207, 34.460, 54.011, 8.014, 0.433
37625, -0.125, 0.508, -0.465, -0.799
39042, -0.506, 0.508, -0.207, -0.466
40459, 1.236, 2.938, -0.155, 0.966
41876, 6.946, 2.147, 22.079, 703.364
43199, 44.644, 2997.401, 1408.170, 1269.987
44617, 44.374, 2984.011, 1399.793, 1256.662
46034, 42.955, 92.768, 2.482, 0.999
47357, 1.012, 1.469, 1.293, 1.432
48680, 0.610, 1.469, 7.446, 6.862
50003, 0.502, 1.525, 4.912, 5.763
51325, 0.730, 2.316, 6.153, 5.596
52648, 0.026, -0.282, 4.033, 5.163
53971, 2.943, 1.864, 1.810, 5.929
55199, 0.842, 1.243, 2.223, 4.131
56522, 0.351, 1.186, 2.689, 4.264
57845, 0.384, 1.243, 1.913, 4.564
59168, 0.381, 1.299, 2.740, 4.464
60491, 0.379, 0.791, 2.017, 4.297
61813, 0.372, 0.678, 2.430, 4.297
63136, 0.365, 0.734, 2.637, 37.442
64459, 36.827, 781.356, 82.678, 5.296
65782, 0.597, 1.582, 1.861, 1.632
67009, -0.686, -0.395, 0.362, 0.266
68332, -0.571, 0.339, 4.550, 8.628
69561, -12.172, 1843.446, 3282.937, 2668.021
70884, 44.656, 67.627, 24.405, 12.825
72206, 3.521, 1.864, 5.274, 4.797
73529, 1.357, 3.051, 19.752, 10.326
74852, 0.368, 1.582, 3.361, 3.498
76174, 0.405, 1.130, 3.671, 3.464
77497, 0.504, 1.638, 2.999, 3.564
78820, 0.497, 1.412, 3.051, 3.531
80143, 0.508, 1.130, 3.102, 3.398
81371, 0.379, 1.469, 2.585, 3.598
82694, 0.781, 1.073, 3.154, 3.198
83923, 0.522, 1.017, 2.947, 3.364
85245, 0.569, 0.904, 2.844, 3.664
86568, 0.562, 1.695, 3.361, 3.364
87891, 0.509, 1.073, 2.689, 3.464
89214, 0.479, 1.525, 2.896, 3.298
90537, 0.733, 0.960, 2.844, 3.364
91859, 0.619, 1.469, 3.206, 3.431
93182, 0.531, 1.356, 2.792, 3.431
94505, 0.643, 1.299, 3.257, 3.331
95828, 0.617, 1.243, 2.792, 3.498
97245, 0.546, 0.678, 2.844, 3.631
98662, 0.763, 1.073, 2.792, 522.985
