Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
100079, 42.980, 42.938, 584.953, 2034.077
101497, 16.893, 1.130, 2.844, 344.137
102914, 31.550, 0.678, 2.275, 5.963
104331, 1.662, 0.226, 2.792, 3.531
105748, 0.982, 0.113, 1370.114, 2502.665
107166, 52.263, 3031.130, 3279.990, 2447.202
108583, 51.033, 610.339, 17.063, 4.397
110000, 1.412, 0.452, 3.309, 4.330
111417, 1.720, 1.186, 3.102, 3.364
112740, 0.499, 0.226, 3.413, 3.664
114157, 0.638, 0.565, 3.154, 4.031
115575, 0.679, 0.113, 2.844, 7.195
116898, 3.699, 3.446, 6.825, 4.730
118221, 0.971, 1.525, 2.896, 3.031
119544, 0.950, 1.412, 2.947, 3.764
120866, 1.153, 1.469, 3.723, 6.096
122094, 1.352, 1.299, 2.947, 3.364
123417, 0.994, 1.582, 3.309, 2.898
124645, 1.341, 3.842, 6.774, 3.464
125968, 1.375, 1.582, 3.775, 4.397
127291, 0.813, 1.017, 2.792, 3.631
128613, 1.354, 1.582, 2.689, 3.897
129936, 1.717, 1.808, 3.309, 3.498
131259, 1.673, 1.808, 3.102, 3.264
132582, 1.519, 1.582, 3.051, 3.498
133904, 1.466, 1.412, 2.689, 3.598
135227, 1.310, 0.847, 2.999, 3.831
136456, 2.007, 1.525, 3.309, 3.364
137779, 1.213, 2.034, 3.154, 4.064
139007, 1.771, 2.203, 3.464, 3.498
140330, 1.888, 2.316, 2.689, 3.531
141653, 1.796, 2.203, 3.154, 3.398
142975, 1.526, 1.977, 2.896, 3.498
144298, 1.540, 1.186, 3.102, 3.331
145621, 1.518, 2.938, 3.102, 3.364
146944, 2.111, 2.881, 2.689, 3.065
148267, 1.794, 3.051, 3.154, 3.364
149589, 1.799, 2.147, 2.844, 2.965
150818, 1.768, 1.977, 2.637, 3.198
152141, 2.286, 4.576, 2.896, 2.732
153368, 4.822, 7.514, 14.891, 20.986
154691, 5.636, 7.119, 3.309, 2.632
155919, 3.835, 7.571, 3.154, 2.865
157242, 3.733, 7.288, 3.102, 2.365
158565, 2.899, 6.949, 2.844, 2.532
159888, 3.261, 6.384, 3.257, 2.665
161211, 3.259, 6.441, 3.361, 2.365
162533, 4.833, 7.062, 2.792, 2.732
163951, 4.593, 7.006, 3.516, 3.165
165273, 4.729, 6.045, 3.826, 2.698
166691, 9.466, 7.514, 4.809, 3.231
168108, 4.944, 6.610, 3.309, 2.998
169525, 3.174, 23.672, 44.726, 77.748
170942, 16.978, 5.763, 2.482, 2.332
172360, 3.530, 6.441, 4.085, 2.565
173778, 4.070, 6.667, 2.896, 1.832
175100, 3.104, 6.441, 2.740, 2.498
176517, 4.054, 6.610, 3.516, 2.532
177935, 5.434, 14.633, 10.651, 1.965
179352, 5.279, 7.458, 3.568, 2.398
180770, 4.179, 7.232, 6.256, 8.694
182092, 3.458, 7.062, 18.252, 12.458
183510, 3.939, 6.836, 16.856, 11.925
184927, 3.805, 6.554, 16.546, 11.526
186344, 3.611, 7.119, 15.977, 11.259
187667, 2.963, 5.932, 14.323, 10.227
188989, 3.474, 6.497, 15.512, 10.959
190312, 3.858, 6.554, 15.512, 10.660
191541, 3.583, 6.610, 14.995, 10.993
192863, 3.583, 6.554, 14.685, 10.227
194092, 2.792, 6.045, 18.925, 41.239
195415, 23.995, 7.345, 19.752, 26.516
196643, 37.569, 10.056, 31.799, 18.421
197966, 44.966, 17.345, 21.148, 11.859
199289, 4.515, 9.379, 17.477, 20.020
200612, 6.687, 10.452, 16.805, 18.254
201934, 6.334, 10.056, 16.339, 17.821
203257, 6.354, 9.718, 16.701, 16.955
204580, 5.931, 9.774, 15.926, 16.556
205903, 5.682, 9.831, 15.926, 16.356
207226, 5.772, 9.831, 15.512, 16.056
208453, 5.631, 9.379, 15.512, 16.322
209776, 6.424, 9.605, 15.512, 15.856
211004, 5.360, 9.096, 15.253, 18.188
212327, 11.856, 9.661, 15.357, 17.422
213650, 8.264, 15.367, 16.029, 16.889
214973, 12.963, 18.192, 16.029, 16.289
216295, 13.139, 17.119, 21.044, 25.150
217618, 34.883, 36.667, 434.540, 473.984
218941, 16.592, 14.407, 26.422, 11.226
220264, 15.101, 15.198, 19.907, 6.063
221587, 11.511, 13.785, 20.269, 12.125
222815, 62.752, 14.689, 35.832, 40.873
224138, 40.458, 14.859, 18.304, 10.493
225366, 13.236, 15.650, 17.580, 11.559
226689, 9.428, 14.407, 17.787, 10.526
228012, 8.294, 14.068, 16.081, 10.793
229335, 11.253, 14.915, 17.942, 12.692
230657, 24.430, 15.593, 122.647, 3074.617
231980, 224.551, 10773.164, 10526.681, 5310.426
233397, 186.228, 10692.542, 10516.805, 5134.744
234720, 169.900, 37.062, 22.079, 15.356
236137, 15.030, 14.859, 17.942, 12.858
237555, 9.644, 13.220, 19.597, 20.420
238972, 30.852, 14.068, 16.236, 11.825
240389, 10.970, 14.463, 16.081, 12.758
241806, 10.466, 12.768, 16.598, 10.326
243223, 51.061, 25.593, 81.334, 30.646
244546, 73.695, 17.684, 14.840, 10.693
245964, 24.897, 14.463, 14.116, 9.927
247381, 8.835, 13.051, 15.564, 11.226
248798, 9.075, 12.034, 6.774, 11.193
250215, 10.441, 17.514, 14.995, 11.659
251538, 8.241, 12.938, 9.566, 7.095
252955, 15.392, 13.446, 10.807, 8.894
254373, 10.531, 13.220, 10.445, 8.694
255790, 9.137, 13.107, 9.772, 7.995
257208, 8.490, 13.164, 4.654, 8.961
258530, 17.135, 12.429, 9.566, 8.028
259853, 5.594, 12.768, 6.101, 10.360
261082, 21.857, 15.763, 14.064, 17.255
262404, 25.211, 16.836, 5.533, 168.288
263633, 158.659, 340.847, 11.169, 8.794
264956, 68.326, 84.520, 18.718, 15.656
266278, 8.203, 12.938, 6.670, 11.959
267601, 14.403, 12.768, 5.171, 8.328
268924, 8.490, 12.542, 5.119, 8.195
270247, 8.760, 12.881, 5.326, 10.293
271569, 8.987, 12.316, 4.033, 10.626
272892, 8.856, 12.881, 4.705, 10.493
274215, 8.136, 11.525, 4.860, 15.623
275444, 11.107, 11.808, 4.705, 10.526
276766, 9.373, 12.260, 4.860, 10.426
277994, 9.567, 12.938, 4.602, 10.393
279317, 9.361, 12.260, 4.395, 10.227
280639, 9.232, 12.768, 4.240, 10.027
281962, 9.038, 12.429, 4.292, 9.993
283285, 9.005, 12.599, 4.395, 10.127
284608, 8.418, 12.655, 3.619, 3.731
285931, 0.460, 5.028, -46.691, 2156.529
287254, 180.348, 9443.390, 3531.334, 4699.500
288576, 179.097, 119.266, 6.050, 7.129
289805, 18.316, 2221.977, 1996.122, 4045.836
291128, 155.023, 20.169, 6.256, 5.030
292356, 5.168, 13.164, 14.219, 41.972
293679, 21.728, 13.729, 6.412, 4.630
295002, 9.027, 16.045, 9.307, 7.795
296324, 16.000, 14.124, 6.463, 10.959
297647, 12.001, 12.599, 6.877, 7.695
298970, 19.343, 14.294, 7.808, 12.192
300293, 3.969, 9.661, 6.360, 7.628
301616, 6.847, 10.452, 5.843, 6.862
303033, 5.446, 20.395, 73.113, 36.376
304355, 18.526, 13.672, 9.049, 6.962
305772, 10.497, 12.429, 7.187, 7.129
307190, 8.419, 12.429, 7.187, 6.795
308607, 8.915, 12.599, 7.135, 7.195
310024, 8.592, 11.808, 7.032, 7.328
311347, 8.890, 12.090, 7.394, 6.829
312764, 8.754, 12.373, 6.980, 7.761
314181, 8.715, 12.203, 6.929, 9.627
315599, 8.740, 11.977, 6.825, 9.893
317016, 8.649, 12.316, 7.084, 9.627
318433, 8.657, 12.768, 7.084, 9.627
319851, 8.768, 12.373, 6.980, 9.560
321173, 8.569, 11.921, 7.394, 13.225
322591, 8.687, 12.373, 7.549, 12.891
324009, 8.730, 12.655, 7.394, 12.825
325426, 8.208, 11.695, 7.859, 12.958
326843, 8.758, 11.299, 7.653, 12.791
328166, 8.615, 11.299, 7.446, 12.958
329488, 13.800, 11.130, 5.946, 11.026
330717, 18.104, 22.599, 11.479, 9.527
332040, 5.952, 10.056, 6.877, 18.987
333363, 40.075, 11.469, 8.583, 13.091
334685, 7.663, 10.621, 7.911, 12.525
336008, 8.453, 10.847, 7.549, 12.492
337331, 8.574, 10.847, 7.394, 12.492
338654, 8.509, 11.299, 7.601, 13.025
339977, 12.200, 16.836, 15.977, 18.754
341299, 12.034, 15.876, 15.357, 18.588
342528, 11.742, 15.593, 15.357, 18.288
343851, 11.851, 15.819, 15.253, 17.788
345079, 11.532, 15.593, 15.202, 17.788
346402, 11.719, 16.215, 14.995, 17.655
347630, 11.484, 15.932, 15.253, 17.455
348952, 11.454, 15.989, 15.408, 17.455
350275, 11.592, 16.215, 14.529, 19.687
351598, 13.873, 19.605, 20.165, 21.785
352921, 13.559, 18.023, 20.269, 21.153
354244, 13.307, 20.113, 21.510, 18.254
355566, 12.570, 20.395, 22.130, 22.185
356795, 10.027, 17.966, 17.994, 12.025
358118, 1.847, 9.040, 9.049, 9.494
359346, 2.371, 3658.192, 4508.221, 1230.713
360669, 244.487, 7650.056, 10860.548, 7771.918
361897, 249.623, 1880.226, 1966.753, 1843.071
363220, 241.121, 191.243, 729.783, 807.129
364543, 229.033, 89.944, 115.564, 67.588
365866, 62.441, 25.989, 45.140, 4687.875
367188, 247.665, 6128.644, 166.598, 28.581
368511, 6.738, 909.548, 3437.694, 389.440
369834, 244.180, 184.915, 29.421, 13.058
371157, 69.927, 262.203, 420.269, 61.526
372574, 28.850, 27.232, 61.737, 76.549
373897, 97.686, 24.237, 26.422, 30.047
375314, 16.883, 14.802, 22.182, 18.654
376731, 39.984, 63.446, 2597.053, 7348.801
378149, 241.203, 478.644, 56.877, 35.510
379566, 26.758, 24.689, 26.680, 24.750
380889, 14.077, 17.627, 19.028, 17.588
382306, 10.154, 17.401, 20.321, 79.414
383629, 100.333, 10.847, 2584.229, 5433.444
385046, 117.443, 2531.073, 3750.052, 4652.865
386464, 117.970, 3790.282, 54.705, 19.054
387881, 28.825, 1825.480, 150.672, 29.780
391565, 18.490, 19.718, 23.785, 21.452
392982, 15.392, 16.667, 19.080, 20.353
394400, 14.511, 16.158, 19.545, 21.252
395817, 14.421, 16.328, 18.976, 19.720
397140, 60.855, 4118.079, 61.375, 18.854
398557, 10.878, 15.367, 18.459, 19.387
399974, 15.418, 17.006, 18.511, 20.986
401297, 19.666, 23.672, 28.335, 23.051
402620, 9.528, 21.017, 35.212, 18.488
403943, 13.275, 15.989, 18.614, 19.221
405266, 13.136, 17.119, 17.166, 18.554
406494, 53.518, 23.107, 26.267, 21.153
407817, 15.355, 14.011, 19.390, 21.053
409045, 17.350, 19.096, 15.874, 35.343
410368, 61.581, 18.701, 26.267, 22.951
411597, 13.499, 15.819, 23.578, 441.039
412919, 121.381, 22.316, 358.842, 691.239
414242, 65.801, 22.881, 44.571, 20.720
415565, 11.684, 15.989, 18.459, 20.453
416888, 11.342, 15.932, 18.201, 18.854
418210, 12.403, 16.045, 18.201, 18.921
419533, 12.470, 15.763, 17.942, 18.588
420761, 12.050, 15.876, 18.356, 16.056
422084, 14.842, 16.215, 16.805, 18.354
423312, 12.986, 16.215, 17.322, 18.787
424635, 13.774, 15.367, 17.735, 19.587
425863, 12.468, 15.763, 17.839, 18.488
427186, 11.780, 15.593, 17.890, 18.454
428415, 11.712, 15.706, 17.528, 18.388
429737, 11.648, 15.706, 17.994, 18.388
431060, 11.751, 15.876, 17.580, 18.155
432383, 11.687, 15.085, 17.890, 18.254
433706, 11.696, 14.915, 17.735, 18.055
435028, 11.558, 15.593, 17.735, 18.721
436351, 11.622, 15.819, 17.735, 18.488
437580, 11.431, 15.989, 18.046, 18.221
438997, 13.368, 17.288, 18.097, 18.121
440320, 11.525, 16.271, 16.805, 17.788
441737, 10.788, 16.610, 18.925, 18.887
443154, 11.504, 16.215, 17.839, 18.521
444571, 11.460, 16.215, 17.735, 18.254
445989, 11.576, 16.271, 17.735, 18.354
447312, 11.502, 16.271, 17.580, 18.354
448729, 11.521, 16.271, 17.373, 18.354
450052, 11.461, 15.932, 17.322, 18.155
451469, 11.299, 15.932, 17.684, 18.354
452886, 11.537, 16.102, 17.632, 18.254
454304, 11.574, 15.706, 17.580, 18.188
455721, 11.484, 16.271, 17.632, 17.921
457044, 11.491, 16.102, 17.787, 17.988
458461, 11.476, 15.989, 17.477, 18.155
459878, 11.521, 15.989, 17.115, 18.288
461295, 11.387, 15.989, 17.322, 17.455
462713, 10.226, 15.198, 28.490, 111.559
464036, 41.200, 13.898, 16.805, 16.755
465452, 8.945, 15.480, 15.719, 18.354
466775, 21.768, 13.390, 14.788, 574.983
468192, 196.281, 37.062, 30.817, 25.316
469609, 44.982, 17.401, 18.563, 20.020
471027, 15.249, 17.853, 21.355, 20.553
472350, 13.303, 16.441, 19.493, 21.352
473577, 13.495, 17.853, 18.304, 19.654
474900, 18.940, 18.249, 17.425, 19.087
476129, 10.698, 15.254, 18.097, 21.919
477452, 12.396, 19.266, 20.838, 18.521
478680, 12.489, 16.949, 17.994, 18.121
480003, 12.556, 16.328, 18.097, 18.954
481231, 13.384, 16.158, 17.580, 19.887
482554, 17.378, 17.062, 17.425, 22.485
483877, 70.300, 21.977, 50.052, 33.311
485200, 14.606, 15.480, 15.305, 23.751
486522, 25.951, 15.537, 16.236, 18.288
487751, 12.537, 15.198, 17.218, 18.654
489074, 11.675, 14.915, 17.322, 16.955
490301, 9.220, 15.593, 23.009, 20.620
491624, 65.545, 45.989, 94.726, 389.340
492853, 96.427, 27.345, 24.199, 30.180
494175, 35.597, 14.746, 17.942, 32.512
495404, 43.125, 14.859, 19.183, 23.118
496726, 23.272, 17.458, 18.201, 16.522
497955, 7.834, 16.271, 18.149, 38.541
499278, 61.472, 16.949, 15.253, 18.221
500600, 38.288, 20.791, 16.805, 15.490
501923, 13.361, 17.797, 17.632, 16.322
503246, 8.037, 15.650, 17.270, 18.588
504473, 18.709, 87.571, 1797.260, 342.072
505892, 144.216, 37.514, 24.457, 18.254
507214, 15.189, 17.288, 16.960, 17.422
508631, 14.793, 15.932, 16.960, 20.453
509954, 19.673, 16.384, 17.839, 17.988
511371, 23.000, 19.774, 25.543, 21.352
512788, 71.788, 59.774, 44.933, 31.312
514111, 14.206, 18.983, 18.459, 18.521
515529, 12.595, 17.006, 19.545, 22.885
516851, 30.072, 17.458, 18.718, 19.820
518269, 15.912, 17.345, 16.908, 17.622
519591, 13.762, 15.537, 16.029, 18.521
521008, 76.652, 19.435, 30.352, 50.666
522425, 82.301, 30.734, 22.544, 19.987
523748, 13.457, 15.198, 17.011, 18.554
525165, 80.167, 43.390, 62.720, 52.898
526488, 18.335, 18.588, 31.437, 19.687
527906, 13.340, 16.215, 15.719, 17.055
529323, 10.732, 15.198, 17.115, 17.555
530740, 10.353, 15.876, 17.425, 17.988
532157, 10.905, 15.819, 17.322, 17.955
533480, 11.104, 15.876, 16.805, 17.722
534898, 10.852, 15.085, 16.753, 18.321
536221, 11.225, 14.802, 17.322, 17.755
537638, 11.209, 15.254, 17.218, 18.254
539055, 11.100, 15.085, 17.322, 17.955
540378, 11.072, 15.028, 17.166, 17.455
541700, 11.241, 14.859, 17.011, 17.455
542929, 11.157, 15.819, 17.063, 17.555
544252, 11.028, 15.989, 16.649, 17.888
545480, 11.178, 16.045, 17.063, 17.555
546803, 11.010, 16.102, 17.528, 17.788
548030, 10.859, 15.593, 16.753, 17.855
549353, 11.070, 15.593, 17.063, 17.688
550582, 11.047, 15.819, 17.166, 17.855
551905, 11.028, 15.141, 17.890, 17.855
553133, 11.100, 14.972, 16.701, 17.788
554456, 11.095, 14.463, 17.011, 18.055
555779, 10.994, 14.633, 17.063, 17.955
557102, 11.158, 15.480, 16.649, 17.821
558424, 11.149, 15.141, 17.011, 17.722
559653, 11.017, 14.915, 17.322, 17.788
560976, 11.273, 14.633, 16.753, 17.988
562203, 11.083, 14.576, 16.908, 18.155
563527, 13.065, 15.198, 16.960, 17.821
564754, 11.305, 14.746, 17.115, 17.788
566077, 11.178, 14.689, 16.805, 17.755
567306, 11.197, 14.520, 16.960, 17.955
568629, 11.467, 14.576, 17.684, 19.654
569857, 99.482, 449.548, 60.755, 17.921
571274, 10.737, 15.311, 17.115, 17.921
572691, 10.578, 13.842, 16.184, 16.223
574014, 6.137, 10.508, 17.942, 17.888
575432, 19.627, 17.514, 21.355, 22.318
576755, 15.552, 15.989, 17.839, 21.619
578172, 17.859, 12.712, 13.340, 13.991
579495, 24.737, 15.198, 13.340, 32.678
580912, 35.495, 9.322, 4501.241, 4558.294
582329, 222.125, 8033.220, 6196.226, 1128.714
583652, 186.394, 60.169, 54.395, 24.317
585069, 107.582, 191.186, 1690.589, 6487.508
586391, 204.845, 2068.983, 1333.661, 50.133
587809, 48.022, 18.757, 13.030, 16.889
589132, 13.256, 16.723, 16.546, 18.721
590549, 19.685, 22.825, 28.594, 22.318
591966, 21.798, 27.740, 32.575, 21.552
593289, 24.754, 20.000, 26.732, 18.721
594706, 7.335, 11.864, 22.441, 27.249
596029, 15.621, 14.068, 15.926, 16.955
597447, 11.719, 15.537, 17.166, 16.556
598864, 22.696, 1296.384, 8968.874, 2255.330
600281, 89.184, 22.260, 18.718, 16.755
601698, 8.624, 16.158, 19.493, 19.587
603021, 26.102, 63.107, 5303.620, 3459.427
604438, 8.775, 13.051, 14.736, 15.756
605761, 6.941, 17.910, 30.662, 531.013
607179, 163.899, 48.418, 16.598, 16.156
608502, 9.468, 14.689, 16.339, 15.690
609825, 8.072, 13.164, 19.648, 21.619
611148, 22.266, 19.153, 18.718, 16.123
612375, 9.341, 18.079, 42.347, 20.087
613698, 14.394, 14.463, 15.719, 16.556
614926, 10.593, 15.028, 17.425, 16.955
616249, 10.508, 14.746, 16.391, 16.389
617478, 8.345, 15.085, 17.373, 17.255
618801, 10.263, 16.271, 17.115, 19.187
620029, 61.125, 42.599, 43.071, 35.177
621352, 29.137, 18.475, 14.633, 27.815
622580, 9.366, 21.412, 3.723, 35.743
623903, 7.235, 28.192, 1.138, 39.773
625226, 5.760, 19.435, 8.532, 19.054
626549, 22.993, 12.316, 16.132, 12.392
627872, 16.463, 11.469, 15.408, 14.191
629099, 11.985, 11.243, 14.116, 31.346
630422, 53.037, 11.525, 12.978, 13.857
631651, 13.756, 11.695, 19.907, 17.788
632973, 20.417, 11.073, 18.097, 14.757
634202, 12.346, 12.655, 18.201, 22.052
635525, 145.555, 58.814, 37.694, 16.889
636847, 17.219, 14.237, 19.752, 20.187
638265, 24.497, 12.373, 16.443, 110.593
639682, 211.832, 79.661, 90.486, 31.546
641004, 26.876, 13.842, 16.546, 12.159
642422, 10.457, 11.977, 14.788, 14.590
643745, 136.020, 1350.000, 4980.093, 3501.366
645162, 148.870, 31.525, 7.135, 30.047
646485, 7.739, 23.220, 2.534, 36.509
647902, 5.370, 25.876, 1.551, 37.975
649319, 4.819, 25.706, 1.344, 38.008
650642, 4.597, 24.689, 1.810, 36.576
652059, 4.329, 24.859, 1.293, 37.808
653383, 4.205, 24.689, 1.499, 37.542
654800, 4.429, 21.864, 6.774, 12.825
656122, 9.258, 11.695, 14.529, 11.193
657539, 25.112, 19.435, 13.185, 11.692
658956, 9.463, 11.073, 12.771, 11.825
660279, 9.606, 10.452, 12.513, 12.092
661696, 10.305, 11.017, 11.479, 12.192
663019, 9.863, 11.243, 11.634, 12.392
664437, 10.046, 10.904, 12.823, 12.891
665760, 8.384, 10.056, 10.600, 13.424
667177, 73.395, 19.435, 23.837, 25.949
668594, 80.866, 66.610, 706.308, 260.660
669917, 16.500, 13.277, 13.857, 14.324
671334, 15.388, 18.757, 28.749, 30.413
672656, 72.093, 22.260, 14.891, 20.853
674073, 32.500, 14.633, 14.529, 16.922
675302, 15.528, 13.842, 12.616, 13.658
676625, 10.494, 12.655, 13.340, 14.557
677853, 9.472, 11.017, 10.807, 12.791
679176, 9.272, 10.734, 11.272, 13.125
680499, 9.764, 11.582, 12.306, 15.256
681821, 17.662, 11.977, 12.565, 23.584
683144, 15.524, 10.395, 12.410, 13.991
684373, 5.878, 9.887, 10.445, 12.592
685695, 8.361, 10.904, 10.910, 16.189
686924, 25.930, 11.638, 10.496, 12.825
688247, 9.799, 12.090, 15.202, 11.126
689474, 8.315, 9.774, 11.169, 12.858
690797, 12.574, 11.412, 12.875, 13.924
692025, 8.899, 10.678, 11.789, 13.258
693348, 10.446, 10.282, 10.962, 12.592
694577, 9.269, 11.017, 11.065, 14.191
695899, 23.441, 14.350, 11.065, 12.025
697222, 17.940, 25.424, 35.212, 37.542
698545, 28.265, 12.881, 11.531, 10.493
699868, 7.270, 9.548, 14.012, 14.557
701096, 13.428, 11.412, 12.616, 13.225
702513, 13.307, 11.808, 11.944, 13.025
703836, 13.767, 12.260, 13.495, 13.225
705253, 15.980, 11.582, 15.874, 15.656
706576, 5.954, 8.870, 141.158, 142.405
707993, 15.561, 13.729, 19.390, 15.390
709411, 12.447, 15.819, 22.596, 22.485
710733, 25.912, 36.610, 23.526, 20.153
712150, 9.010, 18.362, 6.825, 25.783
713473, 6.423, 21.525, 2.689, 35.310
714890, 5.525, 25.028, 1.189, 40.273
716213, 4.806, 25.254, 1.448, 38.541
717630, 4.233, 24.859, 1.138, 38.208
719048, 4.634, 12.542, 9.772, 9.694
720371, 18.062, 18.870, 18.511, 14.357
721788, 17.607, 10.678, 10.962, 11.526
723111, 8.983, 10.508, 1234.281, 74.983
732841, 7.822, 10.508, 14.116, 16.189
734163, 10.136, 11.751, 14.374, 17.855
735580, 9.100, 11.356, 13.961, 16.223
736903, 11.243, 11.751, 13.754, 14.091
738320, 7.586, 9.209, 11.065, 59.960
739643, 98.271, 12.147, 12.565, 13.624
741060, 11.516, 11.073, 34.281, 34.211
742478, 11.971, 11.017, 693.278, 1289.074
743801, 60.949, 11.808, 14.168, 14.457
745123, 10.409, 10.565, 11.789, 12.125
746351, 12.329, 11.243, 11.220, 15.923
747674, 23.572, 11.017, 8.428, 8.294
748902, 13.310, 16.949, 23.837, 12.392
750225, 9.607, 11.073, 11.324, 11.692
751453, 10.878, 11.638, 11.375, 179.380
752776, 121.670, 15.311, 12.771, 31.213
754004, 69.350, 13.164, 12.358, 10.027
755327, 10.520, 12.712, 12.720, 14.923
756556, 59.019, 18.701, 17.632, 22.485
757878, 42.525, 16.949, 16.132, 16.123
759201, 13.874, 8.927, 11.065, 13.624
760524, 13.495, 9.774, 16.494, 11.026
761846, 26.996, 37.910, 115.357, 36.309
763074, 80.094, 13.616, 15.822, 11.626
764396, 7.795, 10.565, 16.701, 17.322
765625, 85.241, 88.305, 83.351, 21.586
766948, 27.237, 15.028, 12.151, 21.652
768176, 8.860, 33.842, 177.301, 100.999
769499, 6.890, 21.017, 3.051, 33.777
770821, 5.243, 24.181, 2.275, 39.141
772238, 4.078, 24.972, 1.499, 38.841
773655, 4.510, 24.181, 2.637, 18.288
774978, 7.202, 11.638, 17.115, 12.891
776396, 96.015, 17.740, 12.823, 11.892
777719, 16.938, 8.927, 12.978, 13.091
779136, 9.865, 8.870, 12.823, 10.293
780458, 9.916, 9.661, 13.961, 12.258
781875, 11.197, 9.153, 13.961, 12.192
783292, 11.072, 9.605, 13.392, 12.192
784615, 10.677, 9.605, 13.547, 12.325
786032, 12.306, 9.605, 11.737, 12.458
787355, 17.528, 9.661, 11.892, 13.991
788773, 15.672, 10.056, 14.012, 14.790
790095, 35.615, 19.153, 14.995, 11.226
791512, 8.574, 8.475, 11.841, 17.355
792929, 16.474, 8.701, 13.599, 12.991
794252, 16.423, 12.090, 16.960, 11.925
795669, 13.145, 11.469, 14.271, 11.859
796992, 16.058, 11.299, 508.945, 26.482
959354, 18.157, 10.791, 12.668, 11.592
960677, 14.350, 12.599, 15.564, 14.890
961904, 12.602, 45.593, 45.657, 12.325
963227, 6.798, 9.944, 14.995, 12.858
964455, 9.057, 9.209, 14.736, 2256.829
965778, 199.071, 8008.418, 8905.223, 5537.375
