Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 0.000, 0.001, -0.000, 0.007
1324, 0.001, 0.003, -0.002, 0.009
2644, 0.001, 0.002, 0.002, 0.010
3964, 0.001, -0.001, 0.000, 0.039
5285, -0.002, -0.002, -0.001, -0.004
6605, -0.003, -0.002, 0.000, 2.581
7925, -0.001, -0.002, -0.000, 12.187
9151, 0.000, -0.003, 0.002, 11.606
10471, -0.001, -0.004, 0.001, 11.076
11697, 0.002, -0.003, -0.002, 11.055
13017, 0.001, -0.002, -0.000, 18.121
14243, 0.000, -0.001, 0.000, 20.309
15563, 0.000, 0.000, 0.000, 25.830
16883, 0.001, -0.001, 0.000, 30.346
18203, 0.001, 0.001, -0.001, 29.692
19524, 0.001, 0.000, 0.000, 31.163
20844, 0.001, -0.000, -0.001, 0.097
22164, 0.000, -0.003, -0.003, -0.022
23484, 0.726, -0.004, -0.004, -3.351
24803, 0.181, -0.001, -0.001, -0.531
26029, 0.308, -0.000, -0.001, 1.419
27350, 0.427, 0.002, 0.000, -0.101
28576, 0.333, -0.002, -0.003, -1.368
29990, 0.280, -0.003, -0.002, 0.107
31404, -0.666, -0.002, -0.001, 0.101
32819, 1.404, -0.002, -0.002, 0.048
34233, 0.437, -0.003, -0.002, 0.001
35648, -4.589, -0.003, -0.002, -0.024
37063, 0.446, -0.003, -0.002, -0.038
38383, 3.043, -0.002, -0.003, -0.051
39797, 6.028, -0.002, -0.002, -0.061
41211, 4.121, 0.002, -0.002, -0.055
42625, 2.480, -0.004, -0.002, -0.092
44040, 2.971, -0.002, -0.003, -0.093
45360, 2.236, -0.004, -0.003, -0.088
46774, 41.517, -0.004, -0.003, -0.119
48189, 5.769, -0.004, -0.003, -0.067
49604, 7.541, -0.004, -0.002, -0.072
51018, 11.062, -0.002, -0.004, -0.071
52432, 14.075, -0.004, -0.004, -0.064
53847, 20.859, -0.003, -0.004, -0.063
55073, 26.943, -0.004, -0.005, -0.071
56393, 30.296, -0.004, -0.006, -0.076
57619, 30.103, -0.003, -0.005, -0.086
58938, 1.706, -0.001, -0.001, -0.098
60164, 2.279, 0.003, -0.001, -0.100
61485, -0.331, 0.005, -0.003, -0.097
62805, 2.564, 0.004, -0.004, -0.097
64125, -0.306, -0.566, -0.004, -0.103
65445, -0.025, 0.019, -0.004, -0.104
66765, -0.018, 0.276, -0.002, -0.102
68086, -0.014, 2.387, -0.004, -0.089
69406, -0.013, -0.418, -0.004, -0.115
70726, -0.012, 0.098, -0.004, -0.124
71951, -0.016, 0.861, -0.005, -0.160
73271, 0.366, 1.805, -0.004, -0.130
74498, 0.587, 2.215, -0.005, -0.130
75818, -0.008, -7.487, -0.006, -0.134
77044, -0.016, -8.312, -0.005, -0.129
78364, -0.003, -3.428, -0.005, -0.134
79684, -0.004, 0.392, -0.004, -0.169
81005, -0.002, 0.452, -0.005, -0.209
82325, -0.001, 0.489, 0.178, -0.180
83645, 0.000, 0.298, -0.312, -0.202
84964, -0.000, 0.085, -0.317, -0.006
86284, 0.001, 0.265, -0.313, -0.077
87604, 0.001, 0.602, -0.315, -0.414
88831, -0.000, 0.242, -0.314, -2.829
90151, 0.001, 0.270, -0.309, -0.317
91377, 0.000, 0.501, -0.308, 1.100
92697, -0.000, 0.274, -0.307, -0.877
93922, -0.000, 0.491, -0.306, -14.975
95242, -0.000, 0.439, 0.000, -0.871
96562, -0.001, 0.744, 0.001, -0.863
97977, -0.000, 3.171, 0.002, -0.858
99392, -0.001, 6.272, 0.001, -0.749
100712, -0.000, 2.659, -0.007, -0.639
102126, -0.002, 9.875, -0.006, -0.629
103446, -0.002, 11.297, -0.006, -0.622
104860, -0.001, 17.654, -0.004, -0.616
106275, -0.000, 21.200, -0.005, -0.612
107689, -0.001, 26.606, -0.005, -0.610
109103, -0.002, 30.643, -0.004, -0.606
110423, -0.001, 31.185, -0.002, -0.601
111838, -0.003, 30.898, -0.002, -0.599
113158, -0.003, 13.879, -0.002, -0.599
114572, -0.002, 70.487, -0.002, -0.595
115987, -0.004, 70.715, -0.003, -0.593
117402, -0.004, 70.305, -0.002, -0.591
118816, -0.003, 70.232, -0.003, -0.587
120136, -0.003, 25.518, -0.000, -0.588
121550, -0.004, 110.663, -0.004, -0.584
122870, -0.004, 97.722, -0.003, -0.582
124285, -0.004, 99.404, -0.002, -0.581
125699, -0.004, 99.447, -0.001, -0.579
127019, -0.004, 9.132, -0.002, -0.578
128339, -0.003, 0.178, -0.003, -0.587
129566, -0.004, 0.505, -0.003, -0.534
130886, -0.003, -0.033, -0.003, -0.533
132111, -0.003, 0.143, -0.001, -0.536
133431, -0.004, -1.048, -0.003, -0.577
134657, -0.003, 0.556, -0.002, -0.575
135978, -0.003, 0.016, 0.000, -0.568
137204, -0.003, -0.472, -0.001, -0.565
138524, -0.004, 0.380, -1.655, -0.567
139749, 0.017, -0.322, -2.783, -0.572
141069, -0.080, -0.501, -2.601, -0.571
142389, 0.011, -0.865, -2.474, -0.571
143710, -0.070, 2.170, -3.514, -0.568
145030, -0.036, 1.055, 0.273, -0.568
146350, -0.026, 2.068, 0.743, -0.569
147670, -0.026, -0.650, 4.010, -0.569
148896, -0.028, 0.695, -0.177, -0.570
150216, -0.035, 0.000, 2.488, -0.575
151443, -5.562, 0.001, 1.868, -0.572
152762, -0.238, 0.002, 1.729, -0.572
153988, 0.021, 0.002, 2.496, -0.562
155308, 0.020, 0.003, 1.003, -0.569
156534, 0.022, 0.003, 1.110, -0.560
157854, 0.023, 0.004, 1.107, -0.571
159081, 0.024, 0.005, 0.692, -0.570
160401, 0.023, 0.006, 0.683, -0.570
