Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
161720, 0.024, 0.008, 0.677, -0.570
163040, 0.025, -0.004, 0.678, -0.580
164360, 0.025, 0.003, 0.676, -0.582
165681, 0.025, -0.453, 0.669, -0.579
167095, 0.025, -0.044, 0.667, -0.579
168415, 0.025, -0.015, 0.677, -0.578
169829, 0.025, -0.102, 0.674, -0.579
171150, 0.025, -0.007, 0.670, -0.576
172565, 0.025, -0.005, 0.666, -0.576
173979, 0.025, -0.003, 0.662, -0.574
175299, 0.026, 0.002, 0.708, -0.579
176714, 0.026, -0.008, 0.659, -0.580
178034, 0.024, -0.008, 0.654, -0.576
179448, 0.024, -0.005, 0.649, -0.579
180768, -1.726, -0.006, 0.645, -0.577
182183, 0.237, -0.006, 0.640, -0.577
183597, 1.189, -0.005, 0.633, -0.578
184917, 3.545, -0.035, 0.627, -0.582
186332, 0.086, -0.010, 0.626, -0.582
187652, -0.221, -0.013, 0.622, -0.583
189066, 0.882, -0.014, 0.619, -0.581
190387, -0.004, -0.011, 0.615, -0.579
191801, -0.075, -0.010, 0.613, -0.581
193216, -0.022, -0.008, 0.610, -0.579
194537, -0.022, -0.009, 0.609, -0.578
195951, -0.021, -0.008, 7.831, -0.580
197271, -0.022, -0.009, 59.184, -0.578
198591, -0.022, -0.010, 10.166, -0.580
199816, -0.020, -0.008, 11.368, -0.580
201137, -0.020, -0.009, 10.585, -0.580
202363, -0.022, -0.008, 20.313, -0.580
203683, -0.021, -0.007, 21.424, -0.576
204909, -0.020, -0.008, 11.071, -0.577
206229, -0.022, -0.006, 82.200, -0.594
207550, -0.021, -0.008, 99.892, -0.593
208869, -0.021, -0.007, 99.474, -0.593
210189, -0.021, -0.007, 75.367, -0.593
211415, -0.019, -0.008, -0.047, -0.591
212736, -0.020, -0.011, 0.138, -0.591
213962, -0.024, -0.011, -0.583, -0.591
215282, -0.030, -0.009, -0.484, -0.592
216508, -0.027, -0.009, -0.649, -0.590
217827, -0.004, -0.007, 1.904, -0.589
219054, -0.083, -0.010, -0.021, -0.588
220374, -0.081, -0.010, -11.429, -0.590
221600, -0.082, -0.010, -11.001, -0.588
222920, -0.081, -0.009, -8.642, -0.588
224146, -0.082, -0.008, -8.213, -0.584
225561, -0.083, -0.008, -8.179, -0.592
226975, -0.081, -0.010, 0.036, -0.583
228295, -0.082, -0.012, 0.028, -0.587
229709, -0.082, -0.010, 0.036, -0.587
231030, -0.082, -0.010, 0.036, -0.585
232444, -0.082, -0.011, 0.041, -0.586
233764, -0.082, -0.010, 0.045, -0.586
235179, -0.082, -0.011, 0.044, -0.588
236593, -0.080, -0.011, 0.044, -0.585
237913, -0.081, -0.012, 0.043, -0.584
239327, -0.081, -0.014, 0.032, -0.585
240648, -0.082, -0.011, 0.033, -0.584
242062, -0.081, -0.010, 0.034, -0.539
243382, -0.082, -0.011, 0.034, -0.551
244798, -0.081, -0.010, 0.036, -0.552
246212, -0.081, -0.010, 0.031, -0.605
257997, -0.122, -0.002, 0.021, -0.614
260166, 0.002, -0.007, 0.016, -0.613
261486, 0.002, -0.008, 0.017, -0.614
262806, 0.003, -0.005, 0.020, -0.614
264127, 0.003, -0.006, 0.022, -0.612
265447, 0.002, -0.007, 0.019, -0.641
266861, 0.003, -0.008, 0.014, -0.638
268086, 0.002, -0.006, 0.014, -0.623
269406, 0.002, -0.010, 0.014, -0.452
271010, 0.002, -0.010, -0.473, -0.616
273273, 0.002, -0.009, 0.014, -9.254
274499, 0.002, -0.010, 0.012, -8.020
275819, 0.003, -0.010, 0.012, -0.350
277140, 0.002, -0.003, 0.013, -0.402
278460, 0.002, -0.010, 0.012, -0.323
279685, 0.001, -0.009, 0.010, 3.863
293732, 0.002, -0.009, 0.011, 3.691
295148, 0.002, -0.009, 0.009, 5.970
296468, 0.001, -0.009, 0.011, 6.212
297882, 0.001, -0.008, 0.009, 9.474
299297, 0.002, -0.006, 0.008, 9.723
300617, 0.001, -0.008, 0.008, 12.852
302031, 0.001, -0.008, 0.005, 16.324
303352, 0.002, -0.009, 0.005, 16.543
304766, 0.002, -0.009, 0.004, 17.790
306086, 0.001, -0.004, 0.006, 1.740
307500, 0.001, -0.014, 0.008, -0.227
308915, 0.002, -0.011, 0.010, -0.377
310235, 0.002, -0.011, 0.007, -9.036
311649, 0.002, -0.009, 0.007, 1.143
312970, 0.001, -0.007, 0.008, -0.368
314385, 0.003, -0.013, 0.009, -1.546
315704, 0.001, -0.012, 0.008, -1.319
317120, 0.002, -0.012, 0.006, -0.325
318440, 0.002, -0.012, 0.006, -0.318
319759, 0.000, -0.011, 0.004, -0.310
321175, 0.002, -0.056, 0.005, -0.305
322400, 0.001, -0.074, 0.005, -0.307
323720, 0.001, -0.002, 0.006, -0.304
324946, 0.001, -0.276, 0.004, -0.307
326267, 0.001, 0.150, 0.005, -0.305
327493, 0.001, 0.390, 0.005, -0.309
328813, 0.000, 0.454, 0.005, -0.307
330038, 0.000, 0.895, 0.006, -0.310
331358, 0.001, 0.711, 0.004, -0.311
332585, 0.000, 1.137, 0.006, -0.308
333905, 0.001, 0.561, 0.005, -0.313
335131, 0.001, 0.191, 0.005, -0.314
336451, 0.001, -0.357, 0.005, -0.312
337676, 0.001, -0.015, 0.005, -0.314
338997, 0.001, 0.112, 0.005, -0.312
340412, 0.001, 0.072, 0.005, -0.317
341731, 0.002, 0.366, 0.006, -0.318
343147, 0.002, 0.409, 0.005, -0.315
344467, 0.001, 0.316, 0.005, -0.317
345881, 0.001, 0.106, 0.003, -0.318
347201, 0.001, 0.106, 0.004, -0.320
348616, 0.001, 0.107, 0.003, -0.315
350030, 0.001, 0.108, 0.005, -0.321
351350, 0.001, 0.113, 0.008, -0.319
352765, -0.000, 0.114, 0.007, -0.320
354085, 0.003, 0.112, 0.004, -0.321
355499, 0.000, 0.113, 0.004, -0.319
356820, 0.002, 0.114, 0.005, -0.320
358234, 0.000, 0.115, 0.005, -0.319
359554, 0.001, 0.112, 0.006, -0.322
360874, 0.001, 0.112, 0.004, -0.323
362289, -14.854, 0.112, 0.001, -0.321
363609, -9.390, 0.113, 0.005, -0.323
365023, -0.267, 0.108, 0.006, -0.324
366344, 0.008, 0.111, 0.001, -0.324
367758, 1.259, 0.113, -0.000, -0.323
369078, 0.160, 0.110, 0.000, -0.324
370399, -0.012, 0.112, 0.001, -0.324
371813, -1.191, 0.110, -0.001, -0.322
373133, -2.375, 0.105, 0.002, -0.322
374549, -0.044, 0.086, 0.000, -0.323
375869, 0.003, 0.086, -0.005, -0.321
377283, 0.007, 0.078, -0.003, -0.322
378604, -0.023, 0.081, 0.001, -0.323
380018, 0.003, 0.084, 0.001, -0.323
381338, -0.796, 0.088, 0.002, -0.323
382658, -0.372, 0.089, -0.001, -0.322
384073, -0.915, 0.067, 0.001, -0.323
385393, -1.863, 0.080, 0.005, -0.323
386808, -13.839, 0.070, 0.000, -0.323
388128, -5.963, 0.074, 0.000, -0.323
389448, -0.052, 0.077, 0.006, -0.323
390674, -0.072, 0.085, 0.002, -0.323
391994, -0.004, 0.080, 0.005, -0.323
393220, 0.001, 0.036, 0.003, -0.326
394540, 0.011, 0.034, 0.003, -0.325
395767, 0.016, 0.039, 0.004, -0.326
396993, 0.023, 0.041, 0.001, -0.324
398218, -0.005, 0.038, 0.001, -0.324
399444, 0.028, 0.099, 0.004, -0.324
400670, -0.098, 0.070, 0.001, -0.323
401896, 0.007, 0.073, 0.002, -0.324
403311, -0.035, 0.050, 0.016, -0.324
404631, -0.020, 0.053, 0.016, -0.324
406046, -0.014, 0.053, 0.014, -0.325
407366, -0.008, 0.025, 0.013, -0.325
408780, -0.011, 0.013, 0.013, -0.325
410101, -0.005, 0.014, 0.015, -0.328
411421, -0.009, 0.015, 0.014, -0.327
412741, -0.006, 0.018, 0.015, -0.327
414061, -0.004, 0.019, 0.014, -0.327
415476, -0.003, 0.019, 0.008, -0.329
416796, -0.001, 0.019, -0.003, -0.327
418211, 0.004, 0.018, 0.003, -0.328
419531, 0.006, 0.021, 0.003, -0.324
420945, 0.009, 0.018, 0.003, -0.325
422266, -0.002, 0.020, 0.002, -0.325
423586, -0.002, 0.021, 0.002, -0.326
424906, -0.002, 0.021, 0.003, -0.325
426226, 0.004, 0.023, 0.003, -0.326
427641, 0.003, 0.024, 0.002, -0.327
428961, 0.004, 0.027, 0.003, -0.325
430375, 0.006, 0.024, 0.003, -0.327
431696, 0.023, 0.021, 0.004, -0.326
433110, 0.015, 0.017, 0.001, -0.325
434430, -0.003, 0.017, 0.002, -0.325
435751, -0.002, 0.017, 0.002, -0.325
437165, -0.066, 0.036, -0.001, -0.326
438485, -0.457, 0.051, -0.000, -0.329
439900, -0.165, 0.031, 0.000, -0.326
441220, -0.342, 0.034, 0.000, -0.329
442635, -0.119, 0.032, -0.000, -0.326
443955, -0.107, 0.032, 0.001, -0.327
445275, -0.105, 0.033, -0.001, -0.326
446596, -0.177, 0.032, 0.000, -0.325
447916, -0.143, 0.033, -0.001, -0.327
449330, -0.172, 0.031, -0.000, -0.326
450651, 0.012, 0.032, 0.007, -0.325
452065, 0.002, 0.017, 0.006, -0.327
453386, 0.014, 0.011, 0.004, -0.326
454801, 0.020, 0.011, 0.003, -0.327
456121, 0.023, 0.011, 0.001, -0.329
457441, 0.027, 0.011, 0.002, -0.329
458667, 0.028, 0.010, 0.001, -0.329
459893, 0.031, 0.011, 0.003, -0.329
461120, 0.033, 0.011, 0.003, -0.328
462345, 0.034, 0.013, 0.002, -0.328
463571, 0.035, 0.011, 0.002, -0.328
464797, 0.038, -0.030, 0.002, -0.329
466024, 0.037, -2.322, 0.001, -0.329
467343, 0.040, 0.135, 0.003, -0.332
468759, 0.042, 0.145, 0.001, -0.330
470079, 0.044, -0.443, 0.001, -0.328
471494, 0.003, 0.268, 0.002, -0.327
472814, 0.002, 3.399, 0.002, -0.321
474134, 0.003, 3.455, 0.001, -0.327
475455, 0.006, 1.007, 0.003, -0.327
476775, 0.009, 2.121, 0.002, -0.326
478095, 0.008, 2.754, 0.001, -0.324
479415, 0.010, 4.225, 0.001, -0.323
480830, 0.011, 4.574, 0.002, -0.322
482151, 0.014, 6.955, 0.002, -0.326
483565, 0.015, 8.995, 0.001, -0.324
484885, 0.017, 3.554, 0.001, -0.324
486206, 0.018, 1.002, 0.002, -0.324
487525, 0.019, 0.487, 0.002, -0.327
488845, 0.022, 1.106, 0.002, -0.325
490166, 0.021, 0.499, 0.003, -0.333
491486, 0.023, 0.739, 0.003, -0.324
492900, 0.024, 0.759, 0.002, -0.321
494220, 0.025, 0.762, 0.002, -0.323
495636, 0.027, 0.770, 0.001, -0.322
496956, 0.027, 0.769, 0.003, -0.324
498275, 0.002, 0.693, 0.000, -0.326
499596, 0.003, 0.702, -0.001, -0.325
500916, -0.000, 0.701, 0.002, -0.326
502236, 0.001, 0.708, 0.001, -0.323
503557, 0.003, 0.712, 0.003, -0.323
504971, 0.003, 0.716, 0.002, -0.323
506291, 0.007, 0.715, 0.002, -0.322
507706, 0.017, 0.716, 0.001, -0.324
509026, 0.017, 0.718, -0.001, -0.323
510346, 0.016, 0.721, 0.002, -0.323
511667, 0.018, 0.722, 0.003, -0.321
512987, 0.019, 0.724, 0.006, -0.324
514307, 0.020, 0.727, 0.006, -0.324
515628, 0.020, 0.727, -0.032, -0.323
517042, 0.021, 0.697, -0.053, -0.326
518362, 0.019, 0.715, 0.004, -0.325
519777, 0.016, 0.739, 0.007, -0.323
521097, -0.001, 0.981, 0.002, -0.325
522417, -0.012, 0.899, 0.003, -0.322
523738, -0.009, 0.893, 0.003, -0.324
525058, -0.009, 0.888, 0.003, -0.324
526379, -0.004, 0.883, 0.002, -0.324
527605, -0.002, 0.881, 0.004, -0.325
528831, 0.000, 0.881, 0.003, -0.327
530151, -0.001, 0.877, 0.005, -0.411
531566, 0.002, 0.874, 0.005, -0.548
532886, 0.005, 0.872, 0.004, -0.511
534301, 0.004, 0.877, 0.004, -0.577
535621, 0.005, 0.873, 0.004, -0.589
536941, 0.004, 0.868, 0.005, -0.376
538262, 0.006, 0.876, 0.004, -0.565
539582, -0.211, 0.860, 0.004, -0.324
540901, 0.124, 0.858, 0.004, -0.329
542222, 0.383, 0.870, 0.003, -0.331
543637, 0.549, 0.866, 0.004, -0.331
544957, 0.527, 0.868, 0.004, -0.330
546372, 0.429, 0.867, 0.004, -0.331
547692, 0.542, 0.869, 0.005, -0.331
549013, 0.037, 0.861, 0.004, -0.332
550333, 0.037, 0.852, 0.001, -0.335
551652, -0.199, 0.859, 0.003, -0.334
552973, 0.455, 0.857, 0.003, -0.334
554293, 0.403, 0.891, 0.003, -0.332
555708, 0.819, 0.894, 0.005, -0.332
557028, 0.381, 0.892, 0.005, -0.334
558443, 0.100, 0.855, 0.006, -0.334
559763, 0.091, 0.858, 0.004, -0.333
561084, 0.080, 0.860, 0.006, -0.334
562403, -0.007, 0.858, 0.006, -0.335
563723, -6.388, 0.859, 0.006, -0.571
565044, -4.696, 0.853, 0.004, -0.568
566364, 0.275, 0.851, 0.004, -0.566
567778, 0.437, 0.849, 0.006, -0.565
569099, 0.431, 0.850, 0.005, -0.564
570514, 0.304, 0.866, 0.006, -0.563
571834, 0.336, 0.846, 0.005, -0.563
573154, 0.321, 0.848, 0.003, -0.563
574474, 0.308, 0.846, 0.005, -0.564
575795, 0.296, 0.842, 0.004, -0.562
577115, 0.469, 0.847, 0.005, -0.561
578435, 0.702, 0.851, 0.006, -0.561
579850, 0.363, 0.831, 0.006, -0.562
581170, 0.370, 0.842, 0.005, -0.562
582584, 0.362, 0.846, 0.005, -0.563
583905, 0.357, 0.839, 0.006, -0.561
585225, 0.348, 0.834, 0.005, -0.563
586545, 0.605, 0.831, 0.006, -0.563
587866, 0.437, 0.831, 0.006, -0.563
589186, 0.409, 0.841, 0.006, -0.562
590506, 0.446, 0.840, 0.006, -0.562
591826, 0.501, 0.842, 0.005, -0.560
593147, 0.206, 0.829, 0.006, -0.561
594655, 0.182, 0.825, 0.005, -0.560
596071, 0.433, 0.781, 0.007, -0.558
597390, 0.659, 0.875, 0.006, -0.562
598711, 0.590, 0.863, 0.006, -0.560
600031, 0.231, 0.878, 0.005, -0.559
601351, 0.128, 0.880, 0.004, -0.559
602672, 0.545, 0.878, 0.005, -0.557
604086, 0.477, 0.878, 0.005, -0.557
605406, 0.472, 0.874, 0.005, -0.319
606821, 0.468, 0.883, 0.006, -0.322
608141, 0.467, 0.933, 0.006, -0.320
609461, 0.466, 0.924, 0.005, -0.320
610782, 0.463, 0.785, 0.006, -0.319
612102, 0.458, 0.786, 0.004, -0.320
613422, 0.456, 0.790, 0.004, -0.316
614743, 0.453, 1.249, 0.006, -0.315
616157, 0.449, 1.333, 0.005, -0.323
617478, 0.446, 1.042, 0.005, -0.325
618798, 0.448, 0.911, 0.005, -0.324
620118, 0.447, 0.963, 0.005, -0.323
621439, 0.445, 0.940, 0.006, -0.342
622759, 0.443, 0.897, 0.006, -0.339
624079, 0.441, 0.920, 0.005, -0.341
625399, 0.439, 0.920, 0.007, -0.339
626720, 0.438, 0.912, 0.006, -0.341
628040, 0.434, 0.923, 0.007, -0.341
629360, 0.434, 0.910, 0.004, -0.342
630775, 0.431, 0.911, 0.006, -0.342
632095, 0.429, 0.910, 0.006, -0.340
633415, 0.432, 0.923, 0.006, -0.341
634736, 0.428, 0.934, 0.006, -0.430
636056, 0.439, 0.913, 0.006, -0.334
637377, 0.439, 0.909, 0.007, -0.334
638697, 0.437, 1.364, 0.006, -0.332
640017, 0.469, 0.900, 0.007, -0.333
641337, 0.473, 0.803, 0.005, -0.333
642752, 0.470, 0.770, 0.006, -0.334
644073, 0.467, 0.962, 0.006, -0.335
645393, 0.465, 0.684, 0.008, 2.181
646712, 0.463, 0.750, 0.006, -0.737
648033, 0.461, 0.773, 0.006, -0.790
649353, 0.456, 1.113, 0.006, -0.565
650673, 0.456, 0.802, 0.005, -0.576
651994, 0.453, 0.776, 0.005, -0.690
653314, 0.452, 0.962, 0.007, -0.375
654635, 0.451, 0.932, 0.006, -0.488
655955, 0.451, 1.381, 0.007, -0.328
657369, 0.451, 0.613, 0.007, -0.324
658690, 0.449, 0.645, 0.008, -0.321
660104, 0.446, 0.652, 0.007, -0.072
661519, 0.446, 0.875, 0.005, 0.836
662934, 0.444, 0.620, 0.006, 0.722
664349, 0.442, 0.643, 0.007, 1.460
665763, 0.440, 0.804, 0.008, -0.321
667178, 0.438, 0.647, 0.007, -0.319
668498, 0.431, 0.656, 0.007, -0.316
669818, 0.418, 0.656, 0.007, -0.314
671139, 0.459, 0.670, 0.008, -0.313
672459, 0.428, 0.676, 0.007, -0.315
673779, 0.432, 0.671, 0.007, -0.315
675100, 0.405, 0.675, 0.008, -0.315
676420, 0.444, 0.666, 0.006, -0.315
677741, 0.388, 0.665, 0.008, -0.314
679155, 0.347, 0.634, 0.008, -0.316
680476, 0.433, 0.639, 0.007, -0.317
681796, 0.431, 0.646, 0.008, -0.317
683116, 0.331, 0.647, 0.007, -0.314
684437, 0.450, 0.648, 0.006, -0.316
685757, 0.471, 0.635, 0.008, -0.318
687076, 0.472, 0.637, 0.033, -0.313
688397, 0.477, 0.648, 0.331, -0.315
689717, 0.473, 0.647, 0.188, -0.315
691037, 0.470, 0.725, 0.405, -0.015
692358, 0.469, 0.742, -0.238, -0.029
693678, 0.469, 0.751, -1.926, -0.046
694998, 0.469, 0.745, 0.340, -0.064
696319, 0.461, 0.746, 0.554, 0.102
697639, 0.459, 0.769, 0.893, 0.292
698959, 0.460, 0.755, 1.171, 0.319
700280, 0.456, 0.756, 1.302, 0.306
701600, 0.456, 0.755, 0.971, 0.281
702921, 0.453, 0.750, 1.725, 0.267
704241, 0.454, 0.759, 1.965, 0.349
705561, 0.452, 0.810, 1.058, 0.704
706882, 0.451, 0.835, 0.683, 0.598
708202, 0.450, 0.818, 0.337, 0.154
709522, 0.457, 0.793, 1.360, 0.185
710842, 0.449, 0.789, 1.338, 0.186
712162, 0.444, 0.788, 1.317, 0.184
713483, 0.442, 0.786, 1.295, 0.183
714803, 0.441, 0.785, 1.282, 0.180
716123, 0.438, 0.784, 1.271, 0.178
717444, 0.346, 0.747, 1.260, 0.178
718764, 0.443, 0.762, 1.251, 0.177
720084, 0.424, 0.759, 1.240, 0.174
721499, 0.414, 0.759, 1.234, 0.173
722913, 0.336, 0.750, 1.218, 0.199
724329, 0.335, 0.897, 1.207, 0.196
725743, 0.368, 0.896, 1.201, 0.428
727158, 0.249, 0.876, 1.206, 0.700
728572, 0.339, 0.945, 1.274, 0.701
729987, 0.445, 0.874, 1.259, 0.535
731401, 0.428, 0.861, 1.244, 0.513
732817, 0.622, 0.800, 1.224, 0.461
734231, 0.526, 1.146, 1.210, 0.389
735646, 0.552, 0.992, 1.191, 1.210
736966, 0.684, 1.341, 1.268, 1.871
738286, 0.928, 1.500, 1.263, 2.032
739512, 0.979, 0.793, 1.819, 5.647
740832, 0.982, 0.623, 2.353, 4.203
742152, 1.148, 0.648, 2.287, 3.847
743473, 1.361, 0.727, 2.099, -0.145
744793, 1.259, 0.804, 1.798, 0.973
746113, 1.227, 0.824, 1.464, 0.454
747434, 1.207, 0.787, 1.479, 0.202
748754, 1.193, 1.537, 1.192, 0.028
750074, 1.195, 1.629, 1.115, -0.007
751395, 1.184, 1.471, 1.071, -0.120
752715, 1.174, 1.457, 0.768, -0.231
753941, 1.160, 0.512, 0.795, -0.166
755262, 1.211, 0.260, 1.672, 0.132
756581, 1.080, 0.412, 1.700, 0.139
757901, 1.043, 0.843, 1.232, 0.076
759222, 1.046, 0.709, 1.173, 0.087
760542, 0.971, 0.718, 1.134, 0.075
761863, 0.990, 0.867, 2.561, 0.581
763183, 0.996, 0.658, 1.710, 0.419
764503, 0.965, 0.624, 0.716, 0.312
765824, 1.070, 0.643, 0.130, 0.282
767144, 1.081, 0.623, 0.109, 0.249
768370, 0.986, 0.622, 0.229, 0.232
769691, 1.462, 0.671, 0.676, 0.232
770916, 1.705, 0.348, 1.505, 0.659
772236, 0.963, 0.229, 0.254, 0.484
773556, 0.949, 0.349, 0.061, 0.163
774877, 0.991, 0.137, 0.197, -0.140
776197, 0.964, 0.690, 0.199, -0.207
777517, 0.947, 0.433, 0.212, 0.059
778838, 0.939, 0.206, 0.213, -0.021
780158, 0.949, 0.619, 0.255, -0.210
781479, 0.937, 0.700, 0.255, -0.279
782799, 0.939, 1.021, 0.242, -0.202
784214, 0.960, 0.727, 0.137, -0.167
785628, 0.956, 0.579, 0.152, -0.216
787042, 0.936, 0.617, 0.155, -0.190
788458, 0.916, 0.547, 0.157, -0.188
789872, 1.092, 0.552, 0.158, -0.182
791287, 1.195, 0.588, 0.162, -0.152
792607, 1.642, 0.555, 0.152, -0.123
794022, 1.629, 0.591, 0.154, -0.123
795436, 1.413, 0.569, 0.158, -0.125
796851, 1.967, 0.608, 0.157, -0.159
798265, 2.450, 0.744, 0.159, -0.172
799680, 1.960, 0.784, 0.161, -0.130
801095, 2.239, 0.822, 0.162, -0.035
802415, 1.751, 0.809, 0.164, -0.068
803830, 1.877, 0.812, 0.164, -0.069
805244, 1.851, 0.813, 0.166, -0.072
806565, 1.847, 0.815, 0.164, -0.076
807885, 1.684, 0.808, 0.168, -0.077
809205, 1.689, 0.802, 0.168, -0.074
810526, 1.890, 0.805, 0.168, -0.085
811752, 1.970, 0.815, 0.170, 0.059
813071, 3.620, 0.832, 0.170, 0.088
814297, 3.113, 0.845, 0.487, 0.055
815618, 3.481, 1.864, 0.952, 1.730
