Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 0.029, -0.166, -0.058, -1.729
1252, -0.052, -5.574, -2.229, -3.404
2573, -1.289, 0.298, -0.011, -0.827
3987, -0.002, -2.112, -1.090, -0.938
5307, 0.007, -0.083, -1.489, -2.057
6628, 0.001, -4.175, -1.618, -2.054
7948, 0.001, -4.154, -1.727, -2.123
9268, -0.002, -4.556, -1.925, -2.467
10588, -0.004, -4.432, -1.754, -2.201
11908, -0.003, -3.345, -1.690, -2.202
13229, -0.004, -3.516, -1.792, -2.380
14548, -0.003, -3.595, -1.855, -2.471
15868, -0.005, -3.665, -1.778, -2.256
17188, -0.003, -3.296, -1.777, -2.282
18603, -0.004, -4.119, -2.058, -2.020
19923, -0.014, -2.600, -0.149, -0.021
21243, 0.026, -0.066, -0.806, -2.110
22563, 0.003, -3.468, -0.468, -0.004
23883, 0.020, -3.690, -1.758, -2.063
25204, -0.004, -5.494, -1.982, -2.459
26524, -0.003, 
