Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a 1 kg weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 1.00 N...Averaged value with weight, minus tare: 		14717.0000000000
Calibrated value of weight: 		16645.0000000000
Calibration complete, save and put in code if required. Set to: 		14717.0000000000
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 15.459, 0.937, 8.909, 11.356
1359, 15.631, 0.925, 8.665, 11.103
2585, 15.673, 0.833, 8.660, 11.263
3904, 15.826, 0.430, 8.984, 11.824
5223, 15.930, 0.618, 8.833, 11.087
6448, 15.440, 0.899, 8.134, 10.423
7861, 15.603, 0.941, 8.436, 10.646
9180, 15.757, 0.928, 8.311, 10.978
10593, 15.498, 0.454, 7.882, 10.835
11912, 15.570, 0.434, 8.716, 11.561
13325, 15.957, 0.418, 8.995, 11.572
14644, 15.921, 0.432, 8.370, 10.931
16057, 15.393, 0.691, 8.770, 11.371
17470, 15.814, 0.711, 8.226, 10.536
18790, 15.445, 0.663, 8.115, 10.520
20203, 15.590, 0.712, 8.356, 11.393
21522, 15.690, 0.706, 8.747, 11.637
22935, 15.970, 0.698, 8.586, 11.264
24254, 15.911, 0.658, 8.240, 10.851
25667, 15.668, 0.425, 8.152, 11.250
27080, 15.635, 0.466, 8.394, 10.902
28399, 15.657, 0.470, 8.736, 11.105
29812, 15.571, 0.454, 8.430, 10.855
31131, 15.762, 0.457, 8.761, 11.086
32544, 15.623, 0.449, 8.357, 10.714
33863, 15.647, 1.134, 7.994, 10.431
35276, 15.600, 0.677, 8.738, 11.494
36689, 15.897, 0.670, 9.115, 11.702
38009, 15.921, 0.925, 8.974, 11.634
39423, 16.118, 0.960, 8.662, 11.074
40741, 15.795, 1.023, 8.384, 11.543
42155, 15.852, 0.442, 8.807, 10.863
43379, 15.674, 0.433, 8.438, 10.927
44698, 15.680, 0.477, 7.982, 9.896
45923, 15.379, 0.426, 6.474, 9.382
47242, 15.025, 0.455, 7.780, 10.827
48466, 15.672, 0.684, 8.402, 11.015
49786, 15.745, 0.913, 7.972, 10.803
51011, 15.637, 0.916, 8.201, 11.250
52236, 15.717, 0.909, 8.202, 11.422
53461, 15.854, 0.968, 8.386, 11.628
54685, 15.852, 1.039, 8.596, 11.462
55910, 15.905, 0.836, 7.705, 10.341
57229, 15.418, 0.872, 8.225, 11.774
58642, 16.000, 1.484, 9.342, 11.857
59962, 15.848, 1.545, 8.510, 11.349
61375, 15.926, 1.501, 8.550, 11.342
62694, 15.797, 1.546, 8.668, 11.416
64107, 15.618, 1.429, 8.906, 11.880
65426, 15.887, 0.442, 8.338, 10.855
66745, 15.799, 0.424, 7.814, 9.448
68064, 15.238, 0.274, 6.491, 8.804
69383, 14.757, 0.359, 6.821, 9.752
70796, 15.941, 1.340, 23.243, 23.039
72116, 18.593, 0.610, 14.198, 15.452
73529, 16.743, 0.498, 9.675, 12.693
74848, 15.623, 0.470, 8.182, 10.135
76261, 15.403, 0.348, 8.247, 10.296
77580, 15.511, 0.320, 8.248, 10.098
78899, 15.291, 0.234, 7.126, 9.021
80312, 14.747, 0.334, 6.162, 9.934
81631, 15.274, 0.359, 6.862, 8.770
83045, 15.092, 0.295, 6.686, 9.212
84364, 15.068, 0.349, 7.752, 9.996
85777, 15.205, 0.347, 7.958, 10.245
87096, 15.105, 0.373, 7.849, 10.399
88509, 15.748, 0.360, 9.916, 23.249
89828, 19.317, 3.018, 19.559, 18.791
91147, 17.232, 0.454, 10.800, 12.215
92560, 16.207, 0.362, 7.561, 26.261
93879, 20.349, 2.436, 40.217, 
