Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
Place a 1 kg weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...Averaged value with weight, minus tare: 		484.9599914550
Calibrated value of weight: 		23543.0000000000
Calibration complete, save and put in code if required. Set to: 		484.9599914550
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 38.098, 82.761, 15.836, 15.864
1392, 36.487, 50.124, 12.142, 13.528
2616, 35.191, 33.842, 10.150, 11.461
3935, 34.202, 27.450, 9.580, 11.262
5160, 33.672, 23.216, 8.903, 10.726
6479, 33.558, 28.229, 9.851, 11.931
7705, 33.928, 25.268, 9.450, 11.249
9118, 33.807, 26.542, 9.109, 11.242
10531, 34.143, 26.955, 10.199, 12.071
11944, 34.069, 34.588, 13.592, 15.043
13357, 35.770, 38.943, 10.817, 12.561
14676, 34.736, 27.041, 9.782, 11.068
16089, 33.729, 26.468, 9.123, 10.345
17408, 33.108, 23.618, 9.090, 10.834
18821, 33.249, 22.577, 9.122, 10.920
20234, 33.805, 25.738, 9.394, 11.457
21647, 33.715, 23.249, 8.729, 11.028
23060, 33.430, 26.340, 9.127, 10.875
24379, 33.465, 25.365, 9.201, 10.728
25794, 33.224, 21.284, 8.458, 10.097
27112, 32.767, 20.480, 8.436, 10.824
28526, 33.344, 28.625, 9.636, 11.558
29939, 33.920, 28.396, 9.474, 11.092
31352, 33.517, 22.907, 8.242, 10.701
32671, 33.397, 25.487, 9.136, 10.548
33895, 32.320, 22.276, 8.759, 10.469
35214, 32.560, 23.544, 8.675, 10.683
36439, 33.140, 24.089, 9.049, 11.062
37758, 33.177, 26.928, 9.203, 11.040
38983, 32.724, 24.237, 8.644, 10.864
40303, 32.898, 28.980, 9.098, 11.165
41527, 33.105, 26.767, 8.763, 10.361
42846, 32.895, 25.315, 8.741, 10.469
44071, 32.504, 27.815, 9.588, 11.343
45390, 33.268, 30.998, 9.381, 10.964
46614, 33.191, 28.198, 9.258, 10.826
47933, 32.853, 26.382, 9.373, 11.102
49158, 32.911, 27.050, 9.519, 11.403
50477, 33.060, 30.838, 9.716, 11.792
51796, 33.029, 27.495, 10.882, 13.980
53116, 32.777, 30.062, 7.845, 11.671
54435, 33.411, 25.196, 7.445, 10.969
55659, 32.552, 24.251, 7.179, 10.618
57073, 32.729, 25.126, 7.095, 10.602
58392, 32.797, 23.136, 6.697, 10.141
59805, 32.520, 16.300, 5.871, 9.739
61124, 32.318, 26.613, 7.229, 10.603
62537, 32.855, 25.089, 7.483, 11.269
63950, 32.985, 24.210, 6.977, 9.734
65269, 31.997, 168.651, 19.838, 22.164
66682, 38.106, 94.270, 13.863, 16.012
68001, 36.032, 52.421, 9.900, 13.100
69415, 34.471, 36.900, 8.660, 12.109
70734, 33.562, 32.040, 8.509, 11.661
72147, 33.214, 26.598, 7.339, 11.243
73560, 33.907, 25.105, 7.531, 10.556
