Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -2.794, -0.816, -0.377, -0.469
1281, -2.727, -0.710, -0.317, -0.428
2600, -2.730, -0.932, -0.364, -0.541
3919, -2.992, -0.909, -0.438, -0.696
5238, -3.233, -1.020, -0.457, -0.567
6556, -3.156, -0.890, -0.377, -0.558
7875, -2.854, -0.984, -0.439, -0.667
9195, -3.142, -0.908, -0.418, -0.500
10514, -3.042, -1.002, -0.372, -0.672
11833, -3.156, -1.013, -0.432, -0.652
13058, -3.058, -0.767, -0.385, -0.609
14378, -3.038, -0.920, -0.492, -0.812
15603, -3.651, -1.057, -0.436, -0.479
16921, -2.915, -0.994, -0.424, -0.547
18240, -2.973, -0.800, -0.361, -0.413
19653, -3.039, -0.713, -0.288, -0.539
21067, -3.085, -0.908, -0.395, -0.543
22481, -2.900, -0.883, -0.465, -0.788
23894, -3.875, -0.950, -0.393, -0.579
25213, -3.131, -0.668, -0.397, -0.579
26626, -2.887, -0.859, -0.382, -0.653
27945, -3.078, -1.007, -0.385, -0.620
29359, -3.094, -1.038, -0.458, -0.729
30772, -3.022, -1.035, -0.427, -0.685
32185, -3.220, -0.891, -0.479, -0.770
33598, -3.266, -1.173, -0.408, -0.614
34917, -3.109, -0.802, -0.428, -0.596
36331, -2.989, -0.806, -0.418, -0.636
37650, -3.074, -0.964, -0.486, -0.689
39063, -3.237, -1.018, -0.495, -0.482
40382, -2.971, -0.844, -0.418, -0.658
41701, -3.303, -1.089, -0.425, -0.800
43021, -3.371, -1.078, -0.454, -0.769
44340, -3.391, -0.787, -0.445, -0.791
45659, -3.473, -1.056, -0.417, -0.657
46884, -3.325, -1.148, -0.469, -0.878
48203, -3.875, -1.037, -0.446, -0.735
49428, -3.200, -0.947, -0.368, -0.601
50747, -3.302, -1.053, -0.416, -0.794
51972, -3.024, -0.702, 1.992, 2.626
53291, 6.748, 0.204, 3.047, 2.818
54516, 6.883, 0.291, 3.253, 2.887
55835, 7.108, 0.316, 2.998, 2.549
57060, 7.194, 0.273, 2.805, 2.297
58379, 5.887, 0.128, 2.805, 2.437
59604, 5.619, 0.423, 2.593, 2.523
60923, 6.481, 0.503, 3.244, 2.901
62243, 6.659, 0.547, 2.959, 2.533
63562, 5.877, 0.381, 3.129, 3.088
64880, 6.615, 0.591, 3.449, 3.031
66199, 6.485, 0.521, 3.287, 2.900
67612, 6.623, 0.471, 3.113, 2.632
68931, 6.254, 0.426, 2.981, 2.403
70346, 6.335, 0.513, 3.234, 2.864
71664, 6.467, 0.502, 3.261, 2.900
73078, 6.432, 0.444, 3.190, 2.642
74491, 6.397, 0.481, 3.159, 2.813
75811, 6.129, 0.488, 2.847, 2.484
77224, 6.351, 0.531, 3.225, 2.731
78543, 13.649, 3.060, 9.680, 11.299
79956, 26.903, 3.362, 9.695, 11.742
81276, 27.317, 3.343, 9.930, 11.453
82689, 26.920, 3.394, 9.590, 11.076
84102, 26.642, 2.914, 9.581, 11.247
85515, 25.846, 2.756, 9.046, 10.762
86928, 25.782, 2.726, 8.631, 10.451
88248, 25.619, 2.426, 8.693, 10.696
89661, 25.371, 2.741, 8.771, 10.388
90980, 25.339, 2.603, 9.408, 12.030
92393, 27.252, 3.235, 9.518, 11.323
93806, 26.111, 2.822, 8.583, 10.573
95126, 25.514, 2.796, 8.986, 11.076
96445, 25.944, 2.883, 9.328, 11.113
97670, 26.019, 2.712, 9.031, 10.747
98989, 25.917, 2.694, 8.916, 10.438
100214, 25.286, 2.670, 13.392, 37.653
101534, 39.730, 18.298, 25.460, 24.541
102758, 34.322, 7.584, 15.343, 15.579
104077, 28.531, 4.290, 10.809, 12.177
105302, 26.809, 2.836, 9.268, 11.303
106621, 25.582, 2.557, 8.905, 11.363
