Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
107845, 26.045, 2.400, 7.926, 9.634
109165, 23.957, 2.307, 8.322, 10.160
110390, 24.261, 2.037, 7.674, 9.112
111709, 22.742, 1.857, 6.899, 8.120
112934, 21.796, 1.342, 5.271, 6.744
114253, 19.672, 0.852, 4.988, 7.315
115667, 4.096, 1.961, 11.469, 13.717
116986, 6.142, 3.723, 13.117, 15.899
118399, 8.265, 4.000, 14.584, 16.295
119718, 7.266, 3.102, 11.937, 13.605
121131, 7.449, 2.890, 12.247, 14.202
122451, 7.077, 3.074, 13.017, 14.282
123864, 7.542, 2.819, 11.588, 13.351
125277, 7.378, 3.347, 13.082, 14.528
126596, 7.642, 3.633, 13.661, 15.837
128009, 8.643, 3.969, 14.137, 15.978
129329, 8.457, 3.946, 12.584, 13.675
130742, 8.253, 3.269, 12.869, 15.689
132061, 7.697, 3.904, 13.530, 17.499
133474, 6.017, 3.711, 12.457, 16.983
134793, 8.516, 4.231, 9.416, 16.263
136207, 2.557, 4.653, 7.102, 16.096
137620, 10.062, 3.884, 9.450, 12.596
138939, 10.830, 3.605, 10.997, 15.690
140352, 6.240, 3.606, 10.840, 15.272
141671, 6.799, 3.540, 11.649, 15.052
143085, 6.453, 3.215, 10.821, 14.285
144404, 6.545, 3.297, 11.340, 14.952
145817, 6.623, 3.217, 11.069, 14.800
147231, 6.701, 3.066, 11.108, 15.798
148455, 7.030, 3.237, 11.021, 14.922
149775, 6.886, 3.029, 10.944, 14.259
151000, 6.473, 2.915, 10.896, 14.711
152319, 6.675, 3.136, 11.574, 15.350
153544, 7.142, 3.449, 11.930, 15.163
154862, 6.826, 3.402, 11.733, 15.439
156087, 6.985, 3.762, 12.228, 15.843
157407, 7.161, 3.852, 12.323, 16.452
158632, 7.273, 3.722, 12.855, 16.266
159951, 7.257, 3.312, 11.770, 15.517
161175, 7.078, 3.355, 11.129, 13.708
162494, 24.808, 3.315, 10.620, 14.186
163720, 23.945, 2.679, 9.728, 13.232
165133, 24.039, 2.798, 9.257, 13.560
166452, 23.704, 3.117, 9.061, 13.071
167771, 23.902, 2.905, 9.482, 12.721
169184, 23.190, 3.074, 10.541, 14.288
170504, 23.868, 3.211, 10.026, 13.379
171917, 22.986, 2.957, 9.629, 13.012
173236, 26.211, 54.207, 56.015, 54.102
174649, 38.170, 20.648, 30.111, 31.785
175968, 32.015, 8.866, 17.488, 20.697
177382, 27.766, 5.400, 13.308, 16.460
178795, 24.806, 3.777, 11.034, 14.033
180114, 23.602, 3.509, 10.883, 14.870
181527, 23.925, 3.238, 9.943, 14.092
182846, 24.244, 3.302, 13.139, 23.239
184260, 29.198, 5.708, 13.899, 18.509
185579, 26.142, 4.906, 11.895, 15.212
186992, 24.841, 4.089, 11.031, 13.871
188311, 23.950, 3.448, 10.331, 14.113
189630, 23.842, 2.885, 9.721, 13.054
191043, 22.452, 2.805, 9.116, 11.852
192363, 21.418, 2.406, 8.918, 15.837
193776, 30.794, 10.241, 18.082, 22.060
195095, 26.706, 4.797, 11.717, 14.924
196508, 22.961, 2.499, 7.820, 10.673
197827, 19.224, 3.294, 13.069, 15.995
199147, 10.590, 2.985, 12.765, 16.331
200466, 11.441, 6.336, 32.133, 34.212
201785, 17.817, 8.207, 19.761, 23.467
203104, 15.321, 6.009, 16.587, 19.633
204329, 13.684, 5.125, 16.013, 18.897
205648, 12.906, 4.156, 14.493, 18.769
206873, 13.171, 3.949, 14.496, 17.936
208192, 13.088, 4.750, 15.869, 19.319
209417, 13.779, 4.929, 15.832, 19.304
210736, 13.437, 4.573, 15.692, 19.467
211961, 13.673, 4.705, 15.374, 18.587
213375, 13.435, 5.051, 16.665, 20.502
214694, 13.495, 4.582, 15.906, 19.554
216107, 13.675, 5.065, 16.475, 20.203
217426, 14.163, 4.884, 16.511, 20.044
218745, 18.889, 5.208, 16.661, 19.937
220159, 13.487, 4.956, 16.895, 20.478
221478, 14.166, 5.252, 15.718, 19.421
222891, 13.716, 3.584, 12.794, 15.449
224210, 10.735, 2.552, 11.694, 17.315
225624, 12.303, 4.846, 13.394, 17.097
226943, 12.518, 4.637, 14.812, 18.683
228262, 13.049, 4.779, 14.585, 17.300
229581, 12.557, 3.588, 14.722, 16.243
230900, 13.251, 5.373, 13.311, 14.119
232314, 12.796, 4.476, 14.208, 15.243
233633, 12.739, 3.731, 12.974, 15.055
235046, 12.880, 2.240, 12.676, 15.344
236365, 12.912, 2.547, 13.426, 15.404
237778, 12.376, 2.813, 14.843, 16.144
239098, 13.196, 3.885, 15.784, 16.016
240417, 14.375, 10.683, 33.097, 30.764
241736, 17.193, 5.665, 18.946, 20.582
243054, 13.205, 3.328, 16.581, 18.766
244468, 15.537, 2.992, 14.889, 16.394
245787, 10.807, 2.154, 11.613, 15.103
247201, 10.238, 2.802, 12.683, 16.535
248520, 11.596, 2.300, 11.778, 24.055
249933, 20.572, 35.982, 61.353, 54.152
251253, 23.899, 14.737, 34.410, 33.213
252571, 21.290, 6.667, 21.248, 22.722
253890, 20.149, 3.903, 15.860, 17.051
255209, 13.537, 2.810, 14.063, 15.537
256622, 11.823, 2.803, 13.343, 16.054
257847, 12.095, 3.078, 13.818, 16.290
259167, 12.263, 2.671, 12.412, 13.623
260392, 10.495, 1.761, 12.710, 42.064
261805, 23.646, 28.097, 44.546, 46.583
263124, 24.357, 19.207, 52.137, 68.926
264443, 27.146, 49.227, 90.034, 78.355
265763, 26.487, 64.180, 98.012, 84.723
267082, 25.031, 41.922, 63.944, 58.856
268400, 22.653, 16.175, 35.865, 34.703
269719, 18.345, 7.477, 21.156, 23.991
271132, 14.539, 8.366, 26.457, 27.058
272451, 16.302, 5.763, 18.795, 19.510
273865, 13.900, 3.623, 14.755, 17.476
275183, 12.586, 2.939, 14.758, 17.444
276502, 12.667, 3.578, 14.904, 17.172
277822, 12.972, 3.418, 14.369, 15.985
279141, 12.309, 2.405, 12.528, 14.813
280460, 11.521, 2.772, 14.333, 16.681
281779, 11.897, 3.239, 14.500, 15.869
283098, 12.844, 3.635, 15.048, 16.549
284417, 13.083, 3.171, 14.181, 16.647
285830, 13.094, 3.163, 14.823, 16.530
287150, 12.523, 11.734, 67.736, 76.205
288563, 24.140, 27.978, 47.089, 44.791
289882, 20.926, 10.536, 26.203, 26.061
291201, 16.316, 5.635, 19.280, 20.336
292520, 13.518, 3.042, 14.378, 17.158
293839, 12.836, 3.111, 15.400, 16.963
295159, 13.101, 3.263, 17.513, 47.668
296478, 22.835, 25.680, 53.678, 44.061
297891, 19.738, 9.530, 26.741, 26.627
299210, 15.079, 3.752, 15.950, 17.816
300623, 13.189, 2.340, 13.808, 13.983
301943, 10.974, 2.360, 13.206, 15.102
303262, 10.483, 2.153, 12.677, 16.271
304580, 14.970, 55.022, 79.096, 67.008
305899, 23.784, 20.934, 41.420, 39.304
307218, 19.624, 8.327, 23.723, 24.653
308538, 15.956, 5.601, 19.440, 21.478
309857, 13.871, 3.675, 15.119, 17.409
311176, 12.239, 1.808, 12.252, 12.761
312589, 10.363, 2.725, 14.955, 16.165
313909, 10.750, 2.467, 13.344, 16.554
315228, 12.900, 3.046, 14.689, 15.866
316547, 12.164, 2.711, 13.453, 15.508
317866, 12.435, 2.971, 13.585, 15.607
319185, 12.182, 3.031, 14.373, 13.961
320504, 10.564, 1.813, 11.592, 16.344
321824, 12.970, 8.001, 51.424, 57.325
323142, 21.090, 14.403, 34.468, 31.517
324461, 16.970, 6.544, 21.434, 22.415
325780, 15.194, 4.832, 16.933, 30.235
327193, 22.730, 17.329, 36.357, 33.315
328513, 17.076, 5.554, 16.158, 17.841
329832, 11.291, 2.537, 12.854, 21.460
331151, 20.927, 48.622, 77.277, 
