Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 27.219, 5.081, 19.264, 24.075
1309, 26.287, 4.459, 16.281, 23.275
2722, 26.099, 4.133, 16.908, 23.481
4041, 26.349, 4.565, 17.986, 25.364
5361, 26.427, 4.545, 17.465, 24.668
6774, 26.472, 4.230, 16.588, 21.416
8093, 25.386, 2.971, 14.890, 20.547
9507, 25.335, 2.800, 16.264, 22.167
10826, 26.531, 3.158, 15.827, 21.419
12239, 26.688, 2.861, 16.035, 21.630
13558, 26.480, 2.767, 15.473, 21.190
14878, 26.598, 3.025, 17.207, 23.077
16197, 26.405, 4.616, 15.443, 21.085
17516, 25.675, 4.227, 15.963, 21.431
18929, 25.719, 4.490, 16.061, 22.931
20249, 26.424, 4.632, 16.569, 23.186
21662, 26.213, 4.736, 16.955, 23.235
22981, 26.326, 20.643, 52.872, 67.480
24394, 34.793, 16.866, 41.621, 42.024
25713, 30.284, 7.200, 23.881, 27.832
27033, 27.620, 5.142, 18.653, 24.376
28352, 27.047, 4.597, 17.039, 21.987
29670, 26.302, 4.415, 15.960, 22.140
31085, 26.165, 4.397, 17.011, 22.617
32404, 26.157, 4.631, 17.578, 22.823
33817, 26.163, 4.533, 16.819, 21.747
35136, 25.960, 4.279, 16.498, 22.076
36550, 25.855, 4.315, 16.673, 21.856
37869, 26.198, 4.181, 15.158, 20.389
39188, 25.937, 4.435, 16.503, 21.485
40506, 25.993, 4.197, 16.701, 22.827
41826, 26.493, 4.813, 16.989, 22.275
43051, 26.587, 4.621, 17.385, 22.625
44370, 26.057, 4.004, 16.057, 22.044
45784, 25.937, 4.476, 17.366, 21.599
47103, 25.895, 4.350, 16.717, 21.977
48516, 25.507, 4.202, 15.872, 20.526
49836, 25.417, 4.440, 17.321, 21.907
51155, 25.968, 4.352, 16.615, 22.569
52474, 25.753, 4.399, 16.914, 22.495
53794, 25.963, 4.162, 15.299, 21.031
55113, 25.769, 4.280, 16.532, 22.302
56432, 25.067, 4.064, 15.657, 20.830
57846, 24.097, 4.405, 16.343, 20.631
59165, 24.621, 4.119, 15.527, 19.937
60578, 24.230, 4.028, 15.577, 20.451
61897, 24.123, 4.181, 16.689, 22.831
63217, 25.174, 4.063, 15.247, 21.167
64536, 24.238, 4.114, 15.944, 22.252
65855, 24.498, 4.087, 15.849, 20.981
67174, 24.526, 4.027, 15.560, 20.405
68493, 24.182, 3.758, 14.461, 20.350
69812, 24.627, 4.333, 17.636, 23.066
71131, 24.982, 4.321, 16.169, 20.959
72545, 24.320, 4.055, 15.943, 21.146
73864, 24.465, 3.765, 15.496, 21.019
75183, 24.594, 4.051, 15.644, 21.402
76503, 24.684, 4.105, 15.989, 21.355
77822, 25.225, 4.076, 15.315, 20.709
79141, 24.311, 3.990, 14.883, 22.236
80461, 25.175, 4.289, 15.568, 21.099
81780, 24.796, 4.033, 15.246, 21.411
83099, 25.018, 4.166, 15.498, 20.167
84419, 24.445, 4.272, 16.425, 22.089
85738, 25.684, 4.115, 15.760, 20.847
87151, 34.783, 4.015, 14.088, 20.788
88470, 23.870, 4.296, 16.759, 24.079
89790, 25.355, 4.568, 15.411, 21.946
91203, 25.040, 4.462, 14.888, 21.176
92616, 26.475, 6.218, 15.712, 21.340
94029, 27.506, 7.046, 15.322, 38.874
95443, 33.243, 14.436, 21.275, 29.641
96856, 29.702, 3.987, 16.771, 25.441
98175, 28.633, 4.195, 14.611, 20.032
99495, 28.012, 6.160, 13.853, 19.155
100814, 30.054, 7.040, 13.502, 18.426
102133, 29.435, 6.454, 15.286, 19.290
103452, 30.439, 3.424, 15.397, 23.352
104772, 27.386, 2.991, 15.181, 21.564
106091, 27.462, 3.575, 16.801, 23.882
107409, 27.744, 3.392, 14.876, 21.225
