Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -15983.000, -776.000, -3653.000, -3985.000
1367, -13211.000, -909.000, -4785.000, -6832.000
2688, -11647.000, -936.000, -4799.000, -7255.000
4008, -15976.000, -1037.000, -5898.000, -11072.000
5329, -24077.000, -1235.000, -6791.000, -12080.000
6554, -27328.000, -1265.000, -7161.000, -12936.000
7875, -32333.000, -1334.000, -7436.000, -13701.000
9101, -36381.000, -1348.000, -7362.000, -13869.000
10421, -36030.000, -1414.000, -7788.000, -15005.000
11648, -42035.000, -1423.000, -8327.000, -15245.000
12968, -41550.000, -1453.000, -8087.000, -15782.000
14289, -51326.000, 
