Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
258768, 1.522, 0.367, 2.167, 12.764
260088, 1.454, -1.561, 0.609, 0.561
261408, 1.392, -1.059, 2.309, 17.019
262729, 1.417, 2.656, 2.461, 17.865
264049, 1.555, 2.639, 2.451, 17.837
265274, 1.540, 2.625, 2.448, 10.690
266594, 1.537, 2.621, 2.443, 4.255
267820, 1.531, 2.615, 2.442, 4.692
269141, 1.532, 2.612, 2.435, 4.881
270461, 1.509, -2.054, 0.456, 1.964
271781, 1.489, 1.808, 2.448, 8.559
273101, 1.533, 1.031, 2.002, 14.200
274422, 1.516, 1.107, 1.288, 8.396
275742, 1.505, 2.616, 2.440, 13.846
277156, 1.516, 2.619, 2.441, 12.443
278571, 1.506, 2.041, 1.670, 11.230
279891, 1.509, -0.907, 2.141, 19.819
281305, 1.511, 1.076, 2.361, 20.852
282720, 1.510, 1.439, 1.845, 13.447
284134, 1.508, -1.155, 1.776, 19.989
285548, 1.510, -0.468, 1.994, 20.297
286964, 1.510, -1.030, 1.549, 17.232
288378, 1.506, -1.602, 1.838, 20.157
289699, 1.508, -1.815, 0.654, 5.543
291113, 1.423, 0.508, 1.683, 2.383
292527, 1.509, -1.902, 1.306, 4.072
293941, 1.519, 0.298, 0.436, 2.294
295356, 1.506, -1.897, 0.169, 2.215
296676, 1.523, 1.016, 2.385, 4.108
297996, 1.532, 2.630, 2.445, 4.109
299223, 1.530, 2.623, 2.444, 4.114
300543, 1.518, 2.666, 2.456, 4.111
301769, 1.481, 2.668, 2.428, 4.092
303089, 1.478, 2.615, 2.420, 4.067
304408, 1.475, 0.922, 1.967, 3.441
305729, 1.470, -1.392, 2.138, 4.082
307049, 1.483, 2.508, 2.398, 3.486
308369, 1.415, -2.049, 0.228, 2.210
309690, 1.465, -2.044, 0.118, 0.307
311010, 1.392, -2.056, 0.120, 0.315
312330, 1.403, -2.055, 0.121, 0.322
313650, 1.404, -2.054, 0.122, 0.325
314971, 1.401, -2.053, 0.123, 0.361
316197, 1.422, -2.014, 0.194, 0.367
317517, 1.398, -2.056, 0.122, 0.337
318742, 1.390, -2.051, 0.127, 0.388
320062, 1.388, -2.021, 0.388, 3.365
321383, 1.458, 1.730, 2.508, 4.007
322703, 1.447, -0.647, 1.673, 2.985
324023, 1.440, -2.000, 0.519, 1.644
325343, 1.438, -1.784, 0.570, 2.582
326664, 1.431, -2.046, 0.126, 0.352
327984, 1.409, -2.055, 0.121, 0.350
329304, 1.418, -2.049, 1.000, 4.052
330530, 1.448, 2.603, 2.366, 3.822
331851, 1.440, -1.651, 0.196, 0.314
333076, 1.399, -2.055, 0.123, 0.332
334396, 1.417, -2.051, 0.127, 0.384
335622, 1.497, -2.050, 0.125, 0.336
337036, 1.485, -2.053, 0.125, 0.362
338451, 1.485, -2.048, 0.123, 0.336
339865, 1.418, -2.046, 0.163, 2.166
341280, 1.458, -1.482, 0.127, 0.364
342695, 1.430, -2.054, 0.124, 0.350
344109, 1.437, -2.039, 0.134, 0.359
345429, 1.438, -2.051, 0.124, 0.336
346844, 1.437, -2.050, 0.124, 0.349
348258, 1.429, -2.056, 0.464, 1.683
349672, 1.509, -2.048, 0.129, 0.356
351087, 1.467, -1.498, 0.292, 0.382
352407, 1.303, 1.032, 2.597, 4.109
353822, 1.517, 2.621, 2.599, 4.105
355142, 1.512, 2.612, 2.594, 4.093
356557, 1.507, 2.562, 2.583, 4.061
357971, 1.503, 0.786, 2.250, 3.685
359385, 1.497, -1.796, 0.687, 1.703
360706, 1.491, -2.027, 0.160, 0.568
362026, 1.486, -2.030, 0.160, 0.348
363346, 1.480, -2.051, 0.126, 0.349
364572, 1.477, -2.052, 0.125, 0.340
365892, 1.477, -2.053, 0.124, 0.352
367118, 1.478, -2.054, 0.126, 0.366
368438, 1.478, -2.055, 0.122, 0.337
369664, 1.475, -2.052, 0.125, 0.334
370985, 1.475, -2.053, 0.125, 0.344
372305, 1.476, -2.052, 0.125, 0.343
373625, 1.476, -2.053, 0.124, 0.343
374945, 1.478, -2.053, 0.125, 0.343
376265, 1.476, -2.053, 0.125, 0.342
377586, 1.476, -2.053, 0.125, 0.341
378905, 1.478, -2.053, 0.125, 0.342
380225, 1.477, -2.052, 0.126, 0.348
381451, 1.478, -2.052, 0.125, 0.343
382772, 1.477, -2.052, 0.125, 0.342
383998, 1.477, -2.053, 0.124, 0.340
385318, 1.476, -2.052, 0.124, 0.341
386543, 1.478, -2.053, 0.125, 0.342
387863, 1.477, -2.053, 0.125, 0.341
389090, 1.477, -2.053, 0.125, 0.340
390410, 1.479, -2.050, 0.125, 0.341
391730, 1.476, -2.053, 0.124, 0.338
393050, 1.478, -2.051, 0.130, 0.357
394371, 1.478, -2.053, 0.124, 0.337
395691, 1.477, -2.053, 0.125, 0.339
397105, 1.478, -2.053, 0.124, 0.337
398426, 1.476, -2.053, 0.124, 0.339
399840, 1.479, -2.053, 0.125, 0.340
401160, 1.477, -2.052, 0.125, 0.340
402574, 1.479, -2.052, 0.125, 0.341
403989, 1.479, -2.052, 0.124, 0.340
405404, 1.480, -2.053, 0.125, 0.340
406818, 1.479, -2.052, 0.124, 0.340
408139, 1.480, -2.052, 0.124, 0.341
409553, 1.480, -2.052, 0.125, 0.339
410873, 1.479, -2.052, 0.124, 0.340
412288, 1.481, -2.052, 0.125, 0.340
413702, 1.482, -2.052, 0.124, 0.339
415116, 1.480, -2.053, 0.124, 0.339
416531, 1.481, -2.052, 0.124, 0.335
417851, 1.477, -2.053, 0.125, 0.372
419265, 1.483, -2.052, 0.127, 0.347
420585, 1.480, -2.052, 0.125, 0.339
422001, 1.481, -2.052, 0.124, 0.328
423320, 1.477, -2.053, 0.123, 0.333
424640, 1.476, -2.054, 0.122, 0.308
425961, 1.042, 1.303, 1.432, 3.562
427281, 1.527, 2.626, 2.595, 4.102
428601, 1.521, 2.610, 2.600, 4.090
429827, 2.091, 2.683, 3.089, 3.911
431147, 2.408, -2.007, 0.165, 0.490
432374, 2.240, -0.306, 1.349, 3.503
433694, 2.386, 2.771, 1.920, 3.362
434919, 2.382, 2.671, 2.468, 3.511
436239, 2.378, 2.740, 2.401, 4.025
437466, 2.364, 0.666, 2.632, 4.101
438786, 6.393, 3.912, 2.569, 2.647
440012, 6.728, 0.941, 1.634, 3.168
441332, 6.832, 3.815, 1.477, 2.522
442652, 6.541, 3.321, 2.462, 4.209
443972, 6.645, 3.812, 2.570, 4.207
445292, 6.579, 3.231, 2.525, 4.120
446612, 6.521, -0.658, 1.511, 1.960
447932, 6.252, -0.566, 1.832, 2.823
449159, 6.450, 3.763, 2.572, 4.212
450479, 6.423, 3.738, 2.071, 2.131
451705, 6.377, 1.484, 2.410, 4.072
453025, 6.359, -0.486, 1.814, 3.573
454251, 6.329, -1.533, 1.159, 3.078
455571, 6.305, -1.839, 0.596, 1.612
456797, 6.269, -2.024, 0.146, 0.519
458211, 2.655, -2.037, 0.136, 1.719
459626, 2.777, -0.261, 1.622, 2.584
461041, 2.767, 2.489, 1.873, 2.269
462456, 2.701, 0.238, 2.060, 1.862
463776, 2.646, -2.043, 0.140, 1.737
465190, 2.856, -2.030, 0.159, 1.319
466511, 2.873, -2.000, 0.130, 0.775
467925, 2.876, -2.024, 0.126, 0.378
469339, 2.863, -2.044, 0.125, 0.341
470754, 2.855, -2.050, 0.126, 0.404
472168, 1.931, -2.044, 0.126, 0.332
473488, 1.946, -2.052, 0.126, 0.438
474903, 1.994, -2.050, 0.121, 0.320
476223, 1.994, -2.046, 0.133, 0.398
477638, 2.010, -2.051, 0.123, 0.346
479053, 2.015, -2.050, 0.124, 0.340
480467, 2.020, -2.050, 0.124, 0.340
481881, 2.021, -2.050, 0.123, 0.338
483202, 1.983, -2.049, 0.124, 0.342
484616, 1.819, -1.987, 0.721, 1.929
485936, 1.844, -2.050, 0.184, 2.655
487256, 1.863, -1.008, 1.488, 2.931
488483, 1.863, -2.029, 0.130, 0.376
489803, 1.851, -2.048, 0.173, 3.400
491123, 1.884, 3.728, 2.425, 4.204
492442, 1.884, 0.257, 1.600, 2.879
493763, 1.875, -1.995, 0.166, 0.515
495083, 1.869, -2.045, 0.124, 0.335
496403, 1.857, -2.049, 0.124, 0.336
497629, 1.854, -2.049, 0.124, 0.341
498950, 1.709, -2.041, 0.477, 3.672
500176, 1.745, 1.228, 2.729, 2.179
501496, 1.705, -0.827, 2.709, 4.265
502721, 1.798, 3.885, 2.731, 4.161
504042, 1.817, 2.121, 1.977, 4.122
505268, 1.841, 3.813, 2.761, 4.133
506588, 1.834, 3.126, 2.750, 4.125
507814, 1.832, 3.627, 2.708, 4.088
509134, 1.839, 1.509, 2.510, 3.750
510360, 1.836, -1.635, 1.549, 2.659
511680, 1.839, 2.198, 2.497, 3.184
513000, 1.845, 2.401, 2.738, 4.106
514320, 1.845, -1.682, 0.381, 2.012
515641, 1.783, -2.055, 0.119, 0.340
516867, 1.790, -2.051, 0.120, 0.473
518281, 1.929, 4.091, 3.859, 0.697
519602, 2.085, 3.404, 3.980, 4.128
521016, 2.113, 3.570, 3.330, 4.105
522336, 2.098, 3.552, 3.324, 4.084
523751, 2.088, 1.013, 1.854, 2.931
525165, 2.078, -1.764, 0.717, 1.460
526581, 2.014, -2.053, 0.139, 1.388
527995, 2.074, -1.733, 1.423, 2.960
529315, 2.075, -1.735, 1.334, 2.496
530730, 2.070, -1.956, 0.853, 2.466
532050, 2.071, -1.936, 0.660, 1.560
533464, 2.069, -2.037, 0.175, 0.565
534879, 5.735, -1.996, 0.771, 0.374
536293, 5.349, -2.051, 0.129, 0.349
537708, 5.441, -1.459, 2.844, 3.819
539028, 5.318, -1.458, 1.693, 0.833
540442, 5.239, -2.027, 0.225, 0.105
541763, 5.244, -2.022, 0.146, 0.379
543178, 5.293, -2.040, 0.163, 0.487
544592, 5.201, -2.037, 1.044, 4.506
545913, 5.483, 6.319, 7.778, 4.467
547327, 5.665, 5.456, 5.532, 5.031
548647, 5.045, 5.628, 4.400, 5.343
550062, 5.080, 5.417, 4.867, 3.840
551288, 4.981, -1.909, 0.440, 0.719
552608, 4.986, -1.796, 1.217, 1.291
553833, 4.965, -2.032, 0.146, 0.341
555154, 4.908, -2.044, 0.639, 3.026
556380, 4.973, -0.848, 1.063, 1.964
557700, 4.947, -1.858, 1.480, 2.097
559020, 4.849, -2.027, 0.438, 3.164
560341, 4.952, 1.450, 4.272, 3.915
561661, 4.950, 1.710, 3.988, 3.788
562887, 4.938, 0.276, 3.651, 3.693
564206, 4.933, 0.876, 4.247, 3.938
565433, 4.934, 1.659, 3.472, 3.816
566753, 4.935, -0.225, 2.694, 4.155
567979, 5.122, -1.611, 1.439, 2.724
569299, 5.096, -1.907, 0.521, 1.551
570526, 5.078, -1.981, 0.237, 0.818
571846, 5.061, -2.012, 0.167, 0.513
573071, 5.044, -2.023, 0.150, 0.431
574391, 5.030, -2.030, 0.146, 1.365
575618, 5.054, -1.424, 0.467, 0.688
577032, 5.357, -2.015, 0.148, 0.410
578446, 5.315, -2.030, 0.129, 0.575
579766, 5.320, -2.011, 0.169, 0.427
581181, 5.306, -1.664, 0.767, 0.778
582501, 5.276, -2.043, 0.130, 0.418
583915, 5.279, -2.022, 0.192, 1.017
585236, 5.279, -1.998, 0.211, 2.846
586650, 5.294, -1.910, 0.723, 2.000
588065, 5.265, -2.019, 0.133, 2.577
589385, 5.269, -2.041, 0.134, 0.520
590800, 6.395, -1.914, 0.290, 0.578
592120, 4.747, -2.003, 0.386, 3.248
593535, 4.419, -1.819, 0.468, 1.215
594855, 4.567, -0.974, 1.864, 2.777
596269, 4.572, -1.956, 0.269, 0.920
597590, 4.562, -2.009, 0.162, 0.486
599004, 4.736, -2.005, 0.144, 0.422
600418, 6.381, -2.017, 0.140, 0.385
601739, 6.308, -2.012, 0.143, 0.392
603153, 6.261, -2.021, 0.137, 0.372
604473, 6.229, -2.022, 0.143, 0.404
605887, 6.214, -2.022, 0.138, 0.382
607208, 6.196, -2.022, 0.138, 0.390
608622, 6.179, -2.021, 0.138, 0.382
610037, 6.162, -1.999, 0.169, 0.544
611358, 7.778, -1.979, 0.159, 0.442
612772, 8.354, -1.998, 0.150, 0.467
613997, 8.279, -1.962, 0.181, 0.533
615318, 8.171, -2.008, 0.136, 0.953
616544, 7.958, -1.988, 0.381, 0.356
617864, 7.938, -1.906, 0.658, 5.061
619090, 8.138, 7.899, 5.737, 8.958
620411, 8.094, 0.327, 3.307, 5.952
621636, 8.051, -1.823, 0.334, 1.377
622956, 8.000, -1.961, 0.161, 0.672
624182, 7.971, -1.966, 0.178, 0.556
625503, 7.929, -1.993, 0.153, 0.446
626729, 8.196, -2.001, 0.185, 0.448
628049, 14.480, -2.026, 0.205, 1.381
629369, 10.547, -1.956, 0.163, 5.072
630594, 10.674, 16.681, 12.126, 9.777
631915, 10.635, 6.799, 8.939, 9.023
633141, 10.575, -1.587, 1.385, 1.539
634461, 10.536, -1.787, 0.258, 0.449
635781, 10.247, -2.028, 4.516, 8.874
637196, 10.479, -0.049, 8.701, 9.951
638516, 12.069, 5.405, 21.352, 29.771
639930, 36.322, 1.117, 12.006, 17.658
641251, 34.403, -1.289, 2.452, 6.316
642665, 33.497, -1.740, 0.591, 1.332
644079, 32.823, -1.866, 0.394, 0.922
645400, 32.395, -1.897, 0.309, 0.797
646815, 32.138, -1.901, 0.295, 0.786
648135, 31.886, -1.910, 0.283, 0.785
649549, 31.717, -1.915, 0.235, 0.708
650870, 31.605, -1.924, 0.663, 10.577
652284, 31.819, 3.237, 1.388, 1.833
653699, 30.930, -1.819, 16.206, 29.150
655019, 31.450, 46.659, 31.330, 29.031
656433, 31.317, 46.178, 30.650, 23.991
657754, 31.097, -1.148, 10.246, 25.281
659168, 31.045, 6.906, 11.337, 24.619
660488, 30.930, 2.650, 13.029, 16.248
661903, 30.788, -1.551, 1.153, 2.787
663317, 30.589, -1.875, 0.332, 0.868
664638, 30.427, -1.903, 0.265, 0.561
666052, 29.437, 0.164, 7.380, 0.467
667373, 22.443, -1.929, 0.690, 4.699
668788, 18.049, -1.638, 1.746, 5.862
670108, 18.026, -1.718, 0.947, 1.944
671523, 17.998, -1.361, 2.250, 2.147
672937, 18.178, -1.957, 0.198, 0.699
674163, 18.275, -1.944, 2.460, 17.227
675484, 18.494, 16.740, 17.729, 18.320
676709, 18.351, -0.978, 3.923, 1.627
678029, 17.737, 5.389, 16.621, 18.765
679255, 18.677, 31.982, 19.086, 18.679
680576, 16.814, 19.056, 14.825, 15.714
681802, 13.372, 14.080, 13.577, 15.539
683122, 13.028, 11.247, 13.680, 15.563
684347, 12.761, -0.327, 7.349, 6.826
685668, 12.483, -1.987, 0.417, 0.581
686894, 12.599, -1.981, 0.166, 4.267
688214, 12.856, 7.951, 14.051, 16.036
689440, 12.959, 12.731, 14.154, 15.983
690761, 13.017, 8.519, 13.661, 12.630
692081, 12.937, -1.994, 0.792, 3.210
693400, 12.216, 14.034, 14.469, 16.338
694816, 13.217, 14.463, 14.512, 16.349
696136, 13.224, 6.282, 2.591, 6.980
697550, 13.234, 9.681, 8.322, 16.384
698871, 13.325, 14.678, 14.599, 16.444
700285, 13.352, 14.732, 14.611, 16.452
701605, 13.366, 14.773, 14.618, 16.455
703020, 13.377, 14.806, 14.622, 16.450
704434, 13.147, 6.308, 14.555, 16.467
705754, 13.414, 14.885, 14.646, 16.489
707169, 13.428, 14.910, 14.645, 16.480
708489, 13.428, 14.902, 14.633, 16.441
709904, 13.427, 14.534, 14.560, 16.330
711224, 13.433, 11.605, 14.258, 15.450
712638, 13.408, -1.177, 4.226, 3.097
714052, 13.426, -1.987, 0.255, 1.174
715373, 13.468, -1.948, 0.531, 11.834
716788, 13.537, 7.766, 10.839, 4.962
718108, 13.484, 0.803, 8.191, 12.208
719523, 13.538, -1.487, 2.423, 4.502
720843, 13.494, -1.946, 0.335, 0.914
722257, 13.488, -1.951, 0.946, 2.154
723578, 13.501, -1.967, 0.222, 1.124
724898, 13.487, -2.013, 0.186, 0.573
726312, 13.490, -1.978, 0.445, 0.935
727633, 13.518, -1.957, 0.182, 0.921
729047, 15.095, -1.870, 0.488, 3.233
730367, 15.133, -2.004, 0.149, 0.790
731782, 14.186, -2.022, 7.229, 32.414
733008, 15.245, 13.469, 13.213, 32.103
734328, 15.191, 9.367, 3.922, 6.204
735554, 14.844, 2.180, 9.958, 12.063
736874, 15.093, -1.346, 5.291, 24.263
738100, 15.125, 1.190, 6.597, 18.293
739327, 15.078, -1.922, 0.204, 4.653
740553, 15.015, -0.392, 10.362, 30.606
741778, 15.097, -1.645, 1.092, 7.201
743004, 15.019, -1.844, 1.374, 2.981
744325, 14.992, -1.941, 0.512, 1.464
745739, 14.942, -2.029, 0.169, 1.052
747060, 14.925, -2.019, 0.171, 0.581
748474, 14.806, -2.024, 0.153, 5.375
749794, 15.076, 12.334, 12.995, 29.736
751209, 15.065, 2.439, 7.787, 20.834
752529, 15.029, -1.883, 1.186, 12.668
753849, 15.002, -1.998, 1.554, 15.112
755170, 14.993, -1.890, 1.308, 18.699
756490, 15.057, 11.076, 13.401, 30.138
757905, 15.073, 10.681, 11.925, 29.570
759225, 15.068, 12.744, 13.472, 30.222
760639, 15.110, 12.697, 13.117, 29.790
761960, 15.064, 7.716, 13.292, 29.696
763374, 15.042, 10.755, 12.953, 28.879
764695, 15.003, -1.767, 2.932, 15.827
766015, 14.956, -1.968, 0.441, 0.790
767430, 14.851, -1.985, 0.154, 4.099
768750, 14.973, 14.088, 13.523, 29.971
770165, 15.067, 13.055, 11.049, 28.551
771486, 15.085, 14.107, 13.525, 29.900
772900, 15.075, 14.100, 13.514, 29.831
774220, 15.064, 14.077, 13.497, 29.729
775541, 15.046, 13.739, 13.422, 29.475
776861, 15.026, 4.756, 4.167, 18.824
778182, 15.011, -1.557, 1.149, 12.979
779596, 14.986, -1.870, 0.916, 4.713
780917, 14.920, -2.001, 0.248, 1.849
782331, 14.915, -2.003, 0.220, 2.868
783651, 14.891, -2.022, 0.146, 0.941
785066, 13.752, 5.643, 13.501, 29.621
786292, 15.060, 14.148, 13.518, 29.525
787612, 15.042, 14.071, 13.497, 29.437
788838, 15.033, 13.651, 13.429, 29.278
790064, 15.025, 11.218, 13.683, 27.400
791290, 20.408, 23.316, 43.068, 77.126
