Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 1.508, 2.879, 2.577, 4.097
1366, 1.503, 2.875, 2.576, 4.097
2686, 1.498, 2.871, 2.572, 4.093
4007, 1.496, 2.873, 2.566, 4.083
5327, 1.483, 2.845, 2.550, 4.072
6648, 1.475, 2.839, 2.548, 4.047
8062, 1.460, 2.775, 2.530, 4.009
9383, 1.450, -0.515, 1.212, 1.564
10703, 1.433, -2.048, 0.162, 0.346
12023, 1.181, -2.060, 0.117, 0.394
13344, 1.220, -0.242, 2.394, 4.044
14664, 1.460, 2.822, 2.546, 4.055
15983, 1.470, 2.840, 2.552, 4.048
17304, -0.490, -2.932, -0.043, 0.073
18624, -1.399, -2.361, -0.128, 0.607
20040, -1.647, 2.675, 2.549, 5.578
21359, 1.448, -0.106, 1.196, 0.365
22679, 1.427, -1.302, 2.135, 2.990
24000, -4.009, 2.245, 2.516, 4.200
25509, 1.465, 2.832, 2.536, 4.238
26924, 1.494, 2.848, 2.538, 4.225
28338, 1.482, 2.833, 2.529, 4.211
29753, 1.477, 2.828, 2.524, 4.197
31167, 1.469, 2.817, 2.117, 0.846
32582, 1.158, -2.021, 1.416, 4.232
34425, 1.501, 1.293, 2.089, 4.213
35745, 1.484, 2.824, 2.519, 4.210
37065, 1.477, 2.806, 2.511, 4.196
38385, 1.471, 1.790, 1.410, 2.773
39705, 0.711, -2.058, 0.127, 0.884
41120, 1.452, -1.834, 1.708, 4.122
42440, 1.464, 2.759, 2.493, 4.169
43761, 1.462, 10.706, 2.493, 4.163
45080, 1.463, 14.754, 2.493, 4.167
46400, 1.464, 16.438, 2.495, 4.160
47721, 1.464, 15.183, 2.494, 4.168
49041, 1.465, 15.099, 2.495, 4.158
50361, 1.466, 15.531, 2.493, 4.167
51681, 1.464, 15.355, 2.492, 4.163
53096, 1.464, 14.948, 2.492, 4.156
54416, 1.463, 13.714, 2.490, 4.161
55736, 1.461, 20.785, 2.487, 4.155
57057, 1.462, 22.723, 2.483, 4.158
58377, 1.465, 2.417, 2.458, 2.330
59697, 1.204, 0.952, 2.495, 4.164
61018, 1.465, 2.640, 2.491, 4.174
62338, 1.472, 2.659, 2.492, 4.156
63658, 1.472, 2.657, 2.490, 4.728
65073, 1.512, 2.614, 2.490, 6.645
66393, 1.556, 2.599, 2.510, 3.992
67713, 1.542, 2.603, 2.493, 3.891
69034, 1.539, 2.600, 2.491, 3.880
70354, 1.538, 2.597, 2.489, 3.876
71674, 1.534, 2.589, 2.487, 3.874
72995, 1.534, 2.606, 2.491, 3.884
74315, 1.538, 2.610, 2.489, 3.880
75635, 1.533, 2.581, 2.482, 3.865
77050, 1.529, 2.557, 2.482, 3.863
78370, 1.529, 2.594, 1.699, 2.277
79690, 1.537, 2.617, 2.485, 3.838
81011, 1.525, 0.920, 1.370, 2.730
82330, 1.491, 2.408, 2.468, 3.834
83650, 1.430, -1.586, 1.149, 1.257
84971, 1.516, 1.732, 1.903, 3.885
86291, 1.536, 2.606, 2.493, 3.902
87611, 1.545, 2.631, 2.494, 3.897
89026, 1.535, 2.610, 2.487, 3.888
90346, 1.533, 2.615, 2.486, 3.885
91667, 1.525, 2.588, 1.554, 2.357
92987, 1.516, 1.661, 0.954, 0.643
94307, -78.843, -1.900, 0.119, 0.329
95628, 1.396, 0.051, 2.428, 3.862
97042, 1.523, 2.611, 2.478, 3.091
98456, 1.386, -1.957, 1.272, 2.754
99872, 1.520, 1.532, 2.407, 3.822
101286, 1.531, 2.607, 2.455, 3.864
102607, 1.537, 2.619, 2.454, 3.860
103927, 1.533, 2.613, 2.453, 3.851
105247, 1.532, 2.613, 2.451, 3.839
106567, 1.526, 2.551, 2.439, 3.832
107887, 1.528, 2.603, 2.445, 3.839
109207, 1.529, 2.618, 2.452, 3.846
110622, 1.529, 2.279, 2.090, 2.310
111942, 1.388, 0.057, 1.811, 1.654
113262, 1.515, -0.241, 1.848, 2.753
114582, 1.435, 2.545, 2.451, 3.832
115902, 1.532, 2.609, 2.451, 3.830
117223, 1.529, 2.614, 2.449, 3.801
118543, 1.527, 2.606, 2.445, 3.679
119863, 1.526, 2.605, 2.445, 3.681
121183, 1.526, 2.595, 2.440, 3.671
122598, 1.521, 2.350, 2.418, 3.616
123918, 1.516, -0.441, 1.643, 2.481
125238, 1.510, -1.953, 0.820, 2.858
126558, 1.466, -2.055, 0.125, 0.307
127879, 1.367, -2.058, 1.140, 3.589
129199, 1.517, 1.965, 1.148, 0.307
130519, 1.493, 0.763, 2.391, 3.513
131839, 1.514, -0.953, 1.492, 3.106
133160, 1.515, 1.715, 2.438, 3.444
134480, 1.512, 0.351, 2.388, 3.596
135800, 1.515, -1.664, 0.233, 1.422
137120, 1.518, -1.524, 1.657, 3.692
138440, 1.534, 2.625, 2.453, 3.694
139761, 1.530, 2.624, 2.455, 3.705
141080, 1.521, -1.353, 0.793, 3.657
142400, 1.534, 0.505, 1.170, 3.606
143720, -1.354, -2.908, 0.080, 0.049
145041, -1.513, -2.933, 0.003, 1.521
146361, 0.100, -0.093, 2.197, 3.503
147681, 1.523, 2.617, 2.448, 3.698
149001, 1.539, 2.632, 2.454, 3.704
150322, 1.541, 2.637, 2.455, 3.706
151642, 1.544, 2.629, 2.452, 3.704
152962, 1.542, 2.641, 2.457, 3.696
154282, 1.532, 2.634, 2.456, 3.707
155603, 1.542, 2.635, 2.454, 3.702
157017, 1.538, 2.628, 2.451, 3.696
158431, 1.532, 2.622, 2.448, 3.692
159846, 1.529, 2.612, 2.443, 3.685
161355, 1.525, 2.602, 2.347, 2.212
162770, 1.236, -1.715, 0.762, 3.506
164184, 1.533, 2.620, 2.450, 3.696
165598, 1.532, 2.618, 2.446, 3.695
167013, 1.536, 2.625, 2.451, 3.700
168333, 1.532, 0.453, 1.451, 3.459
169653, 1.502, -0.528, 1.449, 3.689
171067, 1.543, 2.641, 2.463, 3.702
172388, 1.538, 2.621, 2.449, 3.683
173708, 1.525, 2.587, 2.437, 3.652
175028, 1.516, -1.211, 0.686, 0.866
176349, 1.501, -2.049, 0.124, 0.328
177669, 1.486, -2.055, 0.121, 0.317
178989, 1.478, -2.058, 0.119, 0.313
180310, 1.468, -2.056, 0.137, 1.024
181630, 1.518, -1.977, 0.397, 3.009
182950, 1.525, 2.452, 1.552, 1.825
184271, 1.521, 1.887, 1.328, 1.665
185591, 1.471, 2.408, 2.186, 3.702
186911, 1.494, 0.485, 2.439, 3.689
188231, 1.542, 2.624, 2.447, 3.472
189551, 1.521, 2.581, 2.448, 3.682
190871, 1.535, 2.617, 2.444, 3.677
192191, 1.529, 2.611, 2.442, 3.706
193512, 1.533, 2.612, 2.443, 3.706
194832, 1.526, 2.598, 2.437, 3.699
196152, 1.526, 2.604, 2.434, 3.665
197472, 1.521, 0.765, 2.184, 3.469
198793, 1.515, -1.414, 1.634, 1.510
200113, 1.480, -1.551, 0.139, 1.193
201433, 1.516, -1.380, 0.394, 1.714
202753, 1.499, -1.455, 2.289, 3.669
204074, 1.523, 1.875, 2.385, 3.628
205394, 1.522, 0.749, 1.956, 2.568
206714, 1.506, -1.985, 0.955, 2.581
208034, 1.516, -1.952, 0.258, 0.716
209355, 1.368, -0.642, 2.219, 3.645
210675, 1.526, 0.991, 1.373, 3.611
211994, 1.523, 2.409, 2.427, 3.637
213314, 1.522, 0.213, 1.388, 1.406
214541, 1.427, -2.060, 0.117, 0.722
215861, 1.461, -1.917, 0.588, 0.944
217275, 1.506, -2.049, 0.122, 0.619
218689, 1.482, -2.006, 1.583, 2.732
220105, 1.424, -2.055, 0.227, 2.792
221519, 1.537, 2.612, 2.444, 3.680
222933, 1.532, 2.596, 2.436, 4.222
224254, 1.521, 2.148, 2.418, 5.842
225668, 1.522, 1.556, 2.339, 9.927
227082, 1.518, 0.546, 2.360, 15.880
228497, 1.520, 0.788, 0.942, 9.393
229911, 1.500, -1.893, 0.880, 14.513
231326, 1.523, 2.613, 1.778, 12.429
232647, 1.521, 2.526, 2.431, 16.902
233872, 1.521, 2.543, 2.432, 16.590
235192, 1.520, 2.504, 2.429, 18.577
236512, 1.519, 2.193, 2.416, 23.528
237833, 1.517, 1.344, 2.365, 24.445
239153, 1.516, -0.081, 2.036, 24.448
240473, 1.515, -1.204, 1.525, 7.672
241794, 1.514, -1.650, 1.133, 1.636
243114, 1.409, -0.007, 2.089, 3.981
244434, 1.538, 2.628, 2.446, 4.111
245754, 1.530, 2.241, 0.916, 1.028
247075, 1.282, -1.967, 0.540, 5.224
248300, 1.527, 2.110, 2.413, 14.433
249620, 1.533, 2.625, 2.445, 15.520
250846, 1.532, 2.624, 2.445, 15.578
252167, 1.532, 2.622, 2.442, 15.874
253487, 1.531, 2.615, 2.440, 15.977
254807, 1.528, 2.600, 2.436, 19.784
256127, 1.528, 2.577, 2.432, 20.404
257448, 1.526, 2.043, 2.403, 17.897
