Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
180617, 59.040, 64.524, 67.491, 78.168
182031, 83.698, 74.681, 74.641, 70.979
183351, 56.182, 69.136, 68.795, 66.854
184671, 47.867, 66.977, 66.142, 64.143
185990, 46.273, 66.438, 65.468, 64.202
187310, 50.550, 64.279, 67.446, 64.202
188725, 51.666, 64.082, 67.851, 62.198
190045, 49.322, 64.229, 69.335, 62.522
191459, 47.677, 62.414, 67.896, 61.933
192779, 48.090, 63.984, 67.761, 63.819
194193, 49.788, 63.493, 67.311, 62.375
195514, 52.056, 65.358, 74.731, 70.743
197305, 79.725, 69.480, 69.110, 91.574
198719, 106.983, 74.386, 77.473, 73.807
200039, 78.357, 70.069, 73.022, 67.119
201359, 71.846, 69.185, 73.606, 66.618
202773, 55.475, 64.867, 72.617, 62.434
204093, 63.445, 71.393, 73.876, 66.795
205507, 53.637, 62.659, 74.641, 76.164
206827, 70.956, 69.823, 70.774, 66.117
208241, 55.151, 66.634, 67.851, 64.526
209561, 49.592, 66.388, 65.423, 62.994
210881, 46.627, 67.026, 66.502, 64.438
212201, 48.711, 68.106, 66.997, 65.822
213521, 48.337, 65.064, 69.560, 65.793
214936, 53.119, 62.365, 69.290, 56.571
216256, 46.384, 61.678, 68.076, 56.571
217670, 48.005, 61.580, 70.234, 57.573
218990, 48.242, 62.316, 67.716, 57.160
220310, 47.945, 62.708, 67.896, 56.188
221630, 53.543, 65.407, 72.168, 59.753
222950, 47.534, 61.727, 71.718, 77.637
224835, 73.168, 66.536, 87.770, 81.792
226155, 75.931, 67.811, 74.596, 65.587
227476, 64.067, 69.725, 73.696, 64.055
228890, 53.341, 62.120, 70.009, 65.970
230116, 73.161, 72.178, 75.945, 65.793
231436, 53.265, 68.498, 69.784, 64.497
232661, 46.977, 66.290, 65.873, 64.968
233981, 46.135, 66.536, 64.569, 65.145
235207, 49.419, 67.811, 66.187, 65.115
236527, 47.181, 65.702, 69.065, 62.493
237753, 49.701, 63.984, 67.986, 61.727
239073, 51.572, 64.082, 66.097, 59.399
240393, 50.596, 63.984, 68.211, 66.883
241712, 63.594, 67.713, 70.459, 63.318
243032, 53.966, 64.916, 68.346, 62.139
244352, 51.451, 63.837, 68.121, 61.668
245766, 48.243, 68.253, 73.561, 65.351
247086, 68.055, 66.585, 75.360, 70.242
248501, 63.182, 65.849, 72.752, 65.881
249821, 56.216, 63.543, 75.225, 69.181
251141, 58.626, 66.192, 66.412, 63.672
252461, 72.565, 75.859, 81.655, 73.719
253781, 64.011, 67.959, 70.639, 64.703
255195, 51.224, 64.671, 66.997, 61.521
256515, 45.716, 63.690, 63.849, 62.316
257930, 46.815, 65.800, 65.468, 62.346
259250, 43.636, 65.015, 63.984, 62.257
260664, 43.554, 64.573, 63.400, 60.077
261984, 44.940, 60.598, 65.108, 69.977
263304, 56.234, 65.162, 67.536, 60.077
264718, 48.243, 62.120, 66.097, 59.930
266039, 47.306, 62.414, 67.851, 60.784
267453, 47.806, 62.757, 65.063, 57.749
268773, 46.947, 62.954, 66.727, 58.398
270187, 46.516, 61.531, 62.275, 63.760
271507, 79.381, 70.412, 69.515, 72.776
272827, 91.628, 74.337, 76.979, 72.894
274241, 65.384, 66.977, 69.380, 62.817
275561, 65.535, 69.136, 71.718, 63.996
276975, 54.748, 63.739, 68.076, 61.521
278295, 50.526, 62.659, 66.637, 60.578
279710, 50.423, 62.807, 66.187, 58.280
281030, 48.592, 62.561, 67.446, 60.814
282350, 51.764, 64.180, 67.851, 62.552
283670, 54.937, 65.113, 70.549, 63.465
284990, 52.372, 61.334, 78.283, 73.689
286404, 58.292, 66.143, 75.405, 68.091
287724, 65.721, 69.136, 72.797, 67.679
289138, 59.218, 66.781, 79.317, 72.481
290458, 62.843, 66.143, 69.740, 63.259
291778, 52.637, 63.248, 67.896, 61.491
293004, 50.400, 63.052, 67.356, 59.223
294229, 51.371, 63.690, 67.401, 59.782
295455, 48.334, 61.089, 66.817, 56.777
296681, 46.252, 60.598, 65.063, 54.125
297907, 41.763, 60.353, 66.592, 56.482
299132, 44.454, 61.236, 66.952, 58.132
300358, 45.807, 61.187, 66.772, 57.278
301584, 45.460, 60.598, 64.524, 58.692
302998, 177.838, 5951.423, 16322.977, 17299.529
304319, 710.491, 36825.515, 33832.062, 26207.632
305733, 710.527, 23200.441, 27804.857, 20593.843
307053, 698.897, 3496.664, 7904.317, 6094.108
308467, 640.838, 435.132, 1062.141, 1082.823
309787, 465.304, 182.581, 281.790, 265.999
311107, 275.806, 118.940, 146.088, 137.537
312427, 144.214, 88.027, 103.238, 88.421
313747, 85.645, 74.436, 87.275, 77.195
315161, 68.520, 79.539, 89.344, 98.498
316482, 124.110, 82.483, 91.232, 78.934
317896, 86.917, 70.706, 80.441, 63.200
319216, 60.137, 64.671, 74.101, 58.221
320536, 51.575, 61.384, 69.784, 56.129
321856, 51.642, 61.482, 69.874, 54.862
