Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -1111.000, -88579.000, -49968.000, -71199.000
1321, -246.000, -87031.000, -46795.000, -65851.000
2735, -239.000, -88447.000, -49811.000, -70930.000
4149, -368.000, -88698.000, -50020.000, -71051.000
5470, -274.000, -88483.000, -49860.000, -71208.000
6885, -359.000, -88593.000, -49934.000, -71432.000
8204, -363.000, -88641.000, -49937.000, -70996.000
9620, -337.000, -88567.000, -49919.000, -71517.000
10940, -390.000, -88620.000, -49947.000, -71965.000
12354, -507.000, -88587.000, -49936.000, -71633.000
13769, -386.000, -88629.000, -49981.000, -71717.000
15089, -453.000, -88704.000, -50062.000, -71983.000
16503, -566.000, -88673.000, -49843.000, -68911.000
17823, -305.000, -88625.000, -38510.000, -3176.000
19238, 19.000, 180174.000, -2320.000, -3595.000
20558, -99.000, -78277.000, -49763.000, -71858.000
21973, -591.000, -86291.000, -49988.000, -71805.000
23293, -440.000, -85954.000, -49972.000, -71708.000
24613, -449.000, -85859.000, -49962.000, -71643.000
26027, -421.000, -85574.000, -49921.000, -71209.000
27348, -346.000, -85227.000, -49925.000, -71421.000
28762, -384.000, -85371.000, -49850.000, -69821.000
30082, -275.000, -83325.000, -49822.000, -70585.000
31497, -299.000, -85392.000, -49989.000, -71745.000
32817, -424.000, -85303.000, -49943.000, -71529.000
34231, -363.000, -85419.000, -49943.000, -71308.000
35647, -364.000, -85103.000, -49869.000, -70955.000
36872, -331.000, -84839.000, -49975.000, -71678.000
38192, -343.000, -88450.000, -49636.000, -65622.000
39418, -224.000, -88393.000, -49866.000, -71258.000
40738, -332.000, -88563.000, -49921.000, -71412.000
41965, -374.000, -88558.000, -49936.000, -71436.000
43285, -355.000, -88601.000, -49967.000, -71627.000
44510, -413.000, -88570.000, -49996.000, -71915.000
45830, -464.000, -88647.000, -50004.000, -71807.000
47057, -411.000, -88598.000, -49862.000, -71088.000
48377, -474.000, -88651.000, -49977.000, -71481.000
49603, -353.000, -88669.000, -50026.000, -72161.000
50923, -673.000, -88654.000, -49935.000, -71720.000
52243, -1136.000, -88731.000, -50026.000, -71550.000
53563, -1690.000, -88774.000, -50014.000, -45554.000
54978, -88.000, -82947.000, -35854.000, -35986.000
56298, -197.000, -88193.000, -49988.000, -71998.000
57712, -662.000, -88103.000, -46576.000, -52194.000
59032, -167.000, -87435.000, -45939.000, -51578.000
60447, -197.000, -88150.000, -49574.000, -69145.000
61767, -282.000, -88410.000, -49777.000, -70692.000
63181, -323.000, -88494.000, -49835.000, -71175.000
64596, -317.000, -88557.000, -49913.000, -71372.000
65916, -350.000, -88660.000, -50003.000, -71344.000
67330, -369.000, -88552.000, -49922.000, -71250.000
68650, -374.000, -88619.000, -49938.000, -71295.000
70065, -317.000, -88257.000, -48768.000, -28260.000
71385, -92.000, -83324.000, 
