-0.153, 0.602, 0.427
322045, 0.464, 0.204, 0.649, -0.131
323368, -0.060, -0.358, 0.139, -1.051
324785, -0.188, 0.000, Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
149840, 0.734, 0.920, 1.112, 0.886
151258, 1.050, 0.920, 1.112, -0.131
152675, 1.130, 1.329, 1.344, 0.591
153997, 0.229, 0.307, 0.880, 0.854
155414, 0.971, 0.409, 0.788, 0.624
156737, 1.240, 1.636, 1.344, 3.644
158153, 0.390, 1.022, 1.854, 2.462
159476, 0.961, 0.358, 1.900, 2.101
160893, 1.503, 1.329, 3.058, 1.904
162311, 0.420, 1.431, 2.410, 2.462
163633, 1.352, 0.409, 2.271, 2.462
165050, 1.186, 1.431, 2.595, 1.477
166373, 0.255, 0.869, 2.549, 2.232
167789, 0.611, 0.204, 1.854, 2.068
169112, 1.088, 1.943, 1.900, 1.543
170529, 0.455, 1.227, 2.132, 2.397
171946, 0.423, 1.074, 2.549, 2.626
173268, 5.224, 3.221, 2.132, 1.510
174686, 4.241, 2.761, 2.734, 2.200
176009, 2.536, 1.943, 2.827, 2.791
177426, 7.193, 1.789, 1.946, 1.773
178748, 4.376, 2.505, 2.549, 1.970
180165, 1.903, 1.483, 2.734, 3.644
181582, 5.029, 1.278, 1.854, 2.823
182905, 7.118, 2.658, 3.290, 2.528
184321, 1.738, 1.636, 3.058, 2.331
185644, 4.238, 2.096, 1.576, 1.379
187062, 3.288, 1.892, 2.641, 2.167
188289, 1.496, 2.914, 4.588, 7.978
189612, 12.284, 4.499, 4.217, 4.366
190934, 9.514, 4.448, 5.005, 6.500
192163, 8.806, 3.119, 4.171, 5.187
193485, 8.036, 2.301, 3.522, 3.414
194714, 4.484, 1.227, 4.449, 6.697
196036, 10.980, 3.272, 4.773, 4.399
197265, 9.217, 3.885, 4.912, 4.465
198587, 7.319, 2.761, 4.680, 3.907
199816, 6.284, 2.352, 4.263, 4.235
201138, 8.220, 2.147, 4.171, 4.137
202366, 5.453, 1.585, 4.356, 4.235
203688, 5.603, 1.994, 3.939, 3.250
204917, 6.007, 2.301, 3.753, 3.349
206239, 4.103, 2.352, 3.985, 4.038
207468, 7.977, 5.266, 5.839, 5.614
208884, 11.641, 6.544, 6.395, 5.056
210301, 7.622, 5.521, 6.117, 6.238
211624, 10.344, 5.624, 5.051, 5.220
213042, 11.564, 4.294, 6.256, 4.137
214364, 6.025, 4.857, 6.209, 5.483
215781, 8.849, 4.192, 4.912, 4.826
217104, 11.133, 5.930, 5.931, 4.334
218426, 7.470, 9.356, 6.024, 8.766
219843, 8.482, 7.669, 4.912, 7.223
221166, 11.547, 9.663, 5.422, 4.957
222583, 7.612, 9.202, 6.534, 9.389
223905, 12.317, 8.487, 5.283, 8.306
225322, 16.605, 10.123, 6.534, 7.124
226645, 8.882, 9.407, 6.070, 7.912
228063, 9.885, 7.413, 4.958, 8.043
229479, 11.017, 8.691, 6.024, 6.238
230802, 7.596, 8.027, 5.978, 7.485
232219, 7.895, 6.851, 5.190, 6.599
233542, 10.993, 8.589, 5.700, 5.877
234958, 7.698, 8.436, 5.607, 6.927
236281, 7.799, 7.566, 5.190, 6.927
237699, 10.100, 7.464, 4.773, 5.515
239116, 8.705, 7.566, 5.978, 6.172
240438, 7.193, 7.157, 5.422, 6.796
241855, 6.946, 5.828, 5.283, 6.730
243178, 10.088, 7.362, 5.005, 2.889
244595, 9.176, 9.509, 8.063, 8.240
245917, 31.902, 21.166, 14.411, 24.557
247240, 54.311, 21.217, 14.411, 16.415
248657, 34.830, 14.980, 8.990, 12.804
249979, 41.290, 16.769, 12.373, 16.152
251397, 27.330, 17.025, 13.207, 13.198
252720, 30.096, 16.155, 11.956, 16.415
254042, 36.629, 15.900, 10.890, 14.347
255270, 31.583, 15.695, 11.075, 13.066
256592, 20.769, 13.446, 10.519, 12.147
257821, 18.204, 11.656, 8.295, 10.867
259143, 21.449, 12.577, 7.878, 9.915
260466, 16.337, 11.554, 9.082, 10.998
261694, 17.312, 11.145, 7.785, 9.389
263017, 15.954, 11.759, 7.878, 9.488
264245, 12.634, 10.123, 8.202, 10.440
265568, 15.037, 10.736, 6.580, 7.814
266795, 10.135, 10.532, 9.175, 9.094
268118, 13.413, 9.407, 8.480, 9.750
269346, 17.952, 11.299, 7.553, 7.617
270669, 12.104, 10.583, 8.712, 10.013
271897, 15.201, 9.969, 7.461, 8.667
273220, 15.885, 10.583, 7.970, 8.175
274543, 9.444, 10.072, 8.017, 10.079
275959, 19.381, 10.685, 7.414, 10.571
277376, 20.104, 12.270, 8.248, 7.846
278699, 11.212, 11.810, 8.619, 10.046
280117, 13.483, 10.174, 6.858, 8.930
281439, 16.579, 11.350, 7.692, 7.452
282856, 10.812, 11.350, 8.526, 10.177
284179, 13.249, 7.566, 6.858, 9.160
285596, 14.872, 9.611, 7.507, 7.354
287012, 9.946, 9.305, 8.156, 8.667
288335, 9.124, 7.618, 6.766, 9.422
289753, 13.300, 8.487, 6.997, 6.993
291076, 8.677, 8.947, 7.970, 8.995
292492, 8.567, 7.873, 7.229, 8.963
293815, 12.900, 8.589, 6.534, 7.157
295232, 10.993, 8.691, 7.970, 8.766
296649, 7.736, 7.515, 7.368, 9.816
297971, 14.666, 8.947, 7.090, 7.617
299388, 11.140, 9.151, 8.295, 8.437
300711, 8.617, 7.771, 7.831, 8.995
302129, 12.132, 8.538, 6.766, 7.157
303451, 11.652, 8.998, 7.878, 7.649
304868, 8.738, 8.793, 7.090, 9.061
306285, 11.532, 7.924, 6.719, 7.682
307608, 10.902, 8.384, 6.905, 7.649
309025, 8.338, 8.231, 7.461, 7.945
310347, 8.896, 7.720, 7.275, 9.127
311764, 11.280, 8.333, 6.395, 7.485
313087, 10.457, 20.552, 12.048, 15.594
314409, 25.093, 11.094, 9.453, 12.705
315827, 19.586, 10.532, 8.248, 8.897
317150, 13.332, 9.867, 8.434, 9.389
318567, 10.630, 8.793, 8.109, 9.521
319889, 13.315, 9.458, 6.905, 8.043
321212, 10.501, 8.845, 7.739, 8.634
322440, 10.236, 8.027, 6.395, 8.339
323763, 11.646, 8.589, 6.905, 6.763
324990, 7.926, 8.129, 7.090, 8.601
326313, 10.448, 7.975, 6.719, 7.978
327636, 11.580, 8.589, 7.275, 7.157
328864, 7.499, 8.333, 6.812, 7.945
330186, 10.806, 7.413, 6.209, 7.058
331415, 9.700, 8.436, 7.090, 7.682
332737, 7.896, 7.413, 6.812, 8.142
333966, 10.503, 8.078, 6.302, 7.058
