Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 1102.000, 4.927, 122.000, 1676.000
1367, 877.000, 5.857, -649.000, 85.000
2781, 160.000, 5.800, 27712.000, 71321.000
4101, 1288.000, -153.582, 48997.000, 71825.000
5516, 1209.000, -174.228, 48680.000, 70789.000
6836, 1140.000, -33.483, 7918.000, 1949.000
8156, 711.000, 5.449, -553.000, 329.000
9570, 709.000, 5.713, -780.000, -246.000
10891, 688.000, 5.562, -748.000, -87.000
12211, 707.000, 5.397, -763.000, -129.000
13436, 739.000, 5.327, -733.000, 20.000
14756, 775.000, 5.290, -724.000, 8.000
15982, 735.000, 5.451, 16457.000, 64481.000
17303, 1056.000, 5.637, -539.000, 918.000
18529, 887.000, 5.846, -566.000, 1074.000
19849, 885.000, 5.870, -588.000, 768.000
21074, 833.000, 5.654, 24127.000, 72360.000
22395, 1524.000, -68.610, 49161.000, 72002.000
23715, 1250.000, -416.259, 48850.000, 71138.000
25035, 1184.000, -131.535, 34774.000, 56245.000
26450, 1061.000, 3.893, -838.000, -422.000
27770, 645.000, 5.863, -804.000, 7051.000
29185, 1015.000, -53.207, 49134.000, 72382.000
30506, 1686.000, -59.874, 49528.000, 72725.000
31920, 1399.000, -26.345, 25467.000, 72736.000
35879, -48093.000, 7.303, -6884.000, -10403.000
37295, -50189.000, 11.777, 25789.000, 73055.000
38615, 1752.000, -58.376, 49300.000, 72535.000
40030, 1679.000, -58.778, 38571.000, 7624.000
41350, -55249.000, -31.993, -6868.000, 9032.000
42670, -24700.000, -55.019, 13760.000, 1469.000
43991, -1139.000, 1.517, 7983.000, 39095.000
45311, -48395.000, 16.683, -1106.000, -4348.000
47479, -46252.000, 16.092, -13584.000, 4485.000
48895, -49649.000, -58.066, 49617.000, 73005.000
50214, 1846.000, -57.852, 49466.000, 72732.000
51629, 1533.000, -57.752, 49473.000, 72834.000
52950, 1699.000, -57.900, 49470.000, 72667.000
54270, 1316.000, -36.116, 13238.000, -362.000
55589, 791.000, 5.923, 407.000, 2900.000
56909, 222.000, 5.912, -685.000, 343.000
