.881
231740, -0.282, -2.258, -0.154, -3.017
233060, -0.434, -2.135, -0.592, -4.465
234381, -2.230, -3.818, -0.669, Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 0.354, 0.616, -0.103, 0.472
1370, 0.728, 0.739, -0.129, 0.236
2785, -0.447, -0.452, -0.103, -0.825
4105, 0.094, 0.657, -0.335, 0.185
5520, 0.433, 0.575, 0.206, -0.421
6935, -0.453, 0.246, -0.180, -0.219
8350, 0.062, 0.287, -0.360, -0.303
9764, 0.245, 0.493, -0.412, -0.320
11085, 0.109, 0.246, -0.103, -0.859
12499, -0.177, 0.041, -0.129, -1.196
13820, 0.350, 0.328, 0.103, -1.044
15234, 0.300, 0.698, 0.283, -1.331
16649, -0.138, 0.287, -0.283, -1.078
18063, -0.464, 0.821, -0.103, -1.280
19479, -0.182, 0.452, -0.077, -1.466
20799, -0.262, 0.780, 0.000, -1.348
22213, -0.312, 0.369, 0.000, -1.230
23439, -0.396, -0.041, -0.515, -0.859
24759, -0.443, 0.493, -0.541, -1.112
26080, -0.412, 0.205, -0.257, -0.775
27400, -0.568, 0.246, -0.129, -1.129
28720, -0.502, 0.287, -0.566, -1.028
30041, -0.439, 0.123, -0.386, -1.061
31361, -0.528, 0.411, -0.360, -1.028
32682, -0.557, 0.575, -0.386, -1.061
34002, -0.526, 0.328, -0.489, -1.381
35228, -0.863, 0.534, -0.257, -1.129
36549, -0.576, 0.246, -0.283, -1.162
37774, -0.504, 1.149, -0.180, -1.078
39095, -0.544, 0.780, -0.489, -1.011
40321, -0.479, 0.616, -0.232, -1.078
41641, -0.322, 0.821, -0.154, 0.253
42867, -0.351, 0.575, -0.309, -0.758
44188, -0.147, 0.575, 1.159, -0.606
45508, -0.348, 0.698, -0.180, -0.606
46829, -0.612, -0.041, -0.103, -0.741
48149, -0.342, 0.944, 0.077, -0.775
49469, -0.357, 1.149, -0.129, -0.623
50789, -0.314, 1.232, -0.051, -0.825
52109, -0.478, 1.067, 0.026, -0.724
53429, -0.433, 0.657, -0.051, -1.078
54656, -0.489, 0.944, -0.206, -1.061
55976, -0.456, 0.698, -0.180, -0.859
57202, -0.519, 0.616, 0.154, -0.943
58523, -0.368, 0.575, -0.154, -1.146
59748, -0.297, 0.493, 0.026, -0.825
61068, -0.427, 0.616, -0.309, -0.927
62484, -0.607, 0.739, -0.438, -1.078
63898, -0.692, 0.328, -0.154, -1.095
65313, -0.110, 0.780, -0.335, -1.028
66633, -0.639, 0.287, -0.180, -1.095
68048, 0.052, 0.862, -0.360, -1.365
69368, 0.472, 0.780, -0.386, -0.118
70783, 1.544, 1.149, -0.257, -0.270
72197, 7.014, 0.164, -0.077, 0.017
73612, 4.631, 0.739, -0.489, -0.219
75027, 4.138, 0.164, -0.180, -0.573
76347, 3.793, 0.411, -0.129, -0.303
77762, 3.743, 0.575, -0.051, -0.590
79082, 3.569, 3.366, -0.360, -0.842
80497, 6.719, 3.982, 0.154, -1.061
81912, 7.254, 4.803, -0.180, -1.263
83326, 7.236, 10.222, -0.154, -1.162
84741, 6.641, 9.360, -0.206, -1.213
86061, 5.861, 9.195, 0.000, -0.590
