Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.313, -0.759, -0.503, -8.360
1222, -0.132, -0.695, -0.757, -12.541
2542, -0.238, -0.861, -0.730, -16.323
3769, -0.313, -0.944, -0.919, -18.342
5089, -0.395, -0.676, -0.897, -20.588
6316, -0.438, -0.083, -0.984, -22.067
7637, -0.575, -1.167, -1.049, -23.489
8863, -0.583, -1.122, -1.016, -24.484
10182, -0.647, -1.193, -1.114, -26.645
11503, -0.756, -1.276, -1.070, -26.560
12824, -0.794, -1.282, -1.200, -26.674
14144, -0.784, -1.358, -1.151, -32.475
15464, -1.163, -1.327, -1.216, -30.939
16879, -0.982, -1.467, -1.276, -33.669
18200, -1.086, -1.358, -1.265, -31.707
19615, -1.132, -1.594, -1.308, -31.963
21030, -0.901, -1.416, -1.238, -34.579
22350, -1.328, -1.486, -1.205, 
