Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.264, -0.196, 0.045, 0.059
1381, -0.141, 0.491, 0.495, 0.236
2703, -0.148, -0.147, -0.270, 0.118
4120, -0.191, -0.883, -0.405, 0.118
5442, -0.254, -0.932, 0.000, 0.118
6765, -0.224, -0.343, 0.045, 0.648
8087, 0.144, 0.442, 0.989, 0.766
9410, 0.116, 0.049, 1.034, 0.560
10826, 0.083, 0.098, 0.944, 0.471
12149, 0.135, 0.245, 1.034, 0.707
13567, 0.161, 0.098, 0.764, 0.707
14889, 0.128, 0.393, 0.899, 0.589
16212, 0.112, 0.736, 0.629, 0.648
17534, 0.092, 0.000, 0.585, 0.501
18857, 6.201, 6.330, 5.665, 4.066
20179, 7.911, 14.230, 19.874, 31.998
21502, 29.690, 17.076, 16.727, 14.702
22918, 18.143, 6.035, 9.487, 5.274
24241, 7.798, 3.729, 4.362, 3.212
25658, 4.862, 1.668, 3.327, 3.418
26980, 6.707, 3.189, 4.227, 4.125
28302, 4.200, 1.865, 2.518, 3.123
29625, 2.945, 1.129, 3.147, 2.740
30947, 2.426, 1.668, 2.473, 2.504
32176, 2.884, 2.257, 2.428, 2.740
33403, 1.980, 2.012, 2.068, 2.180
34631, 1.488, 1.865, 1.844, 1.886
35953, 1.260, 2.601, 1.664, 2.298
37370, 1.116, 1.914, 2.068, 1.856
38693, 0.902, 3.827, 1.978, 1.974
40110, 1.304, 3.386, 2.203, 1.974
41433, 1.248, 3.337, 1.888, 2.121
42755, 1.166, 3.238, 1.664, 1.503
44078, 1.170, 2.797, 1.844, 1.621
45400, 1.086, 3.238, 1.529, 1.473
46817, 1.135, 3.386, 1.888, 1.326
48139, 1.028, 5.545, 1.574, 1.237
49556, 1.114, 5.152, 1.529, 1.355
50879, 1.056, 4.907, 1.799, 1.679
52201, 1.020, 4.907, 1.709, 1.444
53524, 0.967, 4.956, 1.664, 1.621
54846, 0.959, 4.711, 1.394, 1.267
56169, 0.931, 4.367, 1.664, 1.237
57491, 0.936, 6.624, 1.484, 1.149
58908, 1.116, 6.673, 1.709, 1.237
60230, 1.133, 6.820, 1.799, 1.355
61647, 0.989, 5.937, 1.304, 1.385
62969, 1.113, 7.213, 2.518, 1.768
64292, 1.718, 7.017, 2.428, 1.562
65614, 1.186, 6.575, 1.619, 1.385
66937, 1.048, 6.673, 1.439, 1.237
68259, 0.914, 6.281, 1.349, 1.237
69582, 0.974, 6.575, 1.799, 1.267
70999, 0.999, 6.428, 1.484, 1.414
72322, 0.884, 6.035, 4.227, 4.714
73738, 4.392, 13.592, 5.351, 4.478
75061, 3.317, 21.001, 12.680, 10.194
76383, 12.731, 16.879, 6.835, 5.775
77706, 5.608, 14.573, 5.261, 4.950
79028, 3.713, 13.837, 5.081, 4.449
80445, 3.321, 13.886, 5.710, 5.451
81767, 4.911, 13.543, 4.541, 4.361
83184, 3.119, 12.365, 4.991, 4.213
84506, 2.906, 11.776, 4.496, 3.595
85829, 3.051, 12.414, 4.676, 4.449
87057, 3.042, 11.923, 4.362, 3.948
88285, 2.867, 11.923, 4.856, 4.066
89514, 4.827, 21.933, 9.622, 8.368
90741, 6.790, 21.737, 8.498, 7.867
92063, 6.258, 20.363, 8.273, 6.983
93386, 6.593, 22.179, 9.173, 8.427
94804, 6.848, 21.001, 8.408, 7.543
96126, 6.022, 20.314, 7.824, 7.720
97543, 5.726, 19.774, 7.644, 7.484
98865, 5.516, 19.921, 7.644, 7.130
100188, 5.884, 19.529, 7.914, 7.602
101510, 6.118, 20.118, 7.869, 7.572
102833, 6.041, 19.921, 7.599, 7.513
104155, 5.663, 18.989, 7.464, 7.012
105478, 5.311, 19.971, 7.779, 7.720
106895, 6.370, 18.940, 12.680, 11.668
