Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 19877.00
Averaged value with weight, minus tare: 		123.5000000000
Calibrated value of weight: 		33.4979743957
Calibration complete, save and put in code if required. Set to: 		123.5000000000
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -1734.000, 0.182, -4.502, 3258.000
1403, 217.000, -47.357, 492.389, 71483.000
2723, 696.000, -56.372, 488.486, 71356.000
4043, 639.000, -57.053, 488.065, 71296.000
5457, 560.000, -56.395, 488.688, 71061.000
6776, 446.000, -56.720, 485.781, 70789.000
8190, 388.000, -54.971, 480.891, 70113.000
9510, 300.000, -4.654, 8.964, 38580.000
10923, 239.000, -9.268, 302.842, 58232.000
12243, 211.000, -6.760, 208.016, 37700.000
13657, 179.000, -0.765, 37.749, 3773.000
15071, -25.000, 0.121, -2.575, 830.000
16390, 0.000, -0.079, 3.547, 3928.000
17805, -10.000, 0.106, -1.814, 7051.000
19124, 14.000, 0.166, -4.308, -2570.000
20539, -270.000, 0.058, 1.903, 5549.000
21859, 61.000, -0.114, 4.194, 3705.000
23272, 31.000, 0.002, 0.000, 998.000
24686, -13.000, 0.030, -0.486, 620.000
25912, 2.000, 0.038, -1.781, -1758.000
27231, -84.000, 0.086, -2.316, -1094.000
28456, -67.000, 0.077, -1.895, 399.000
29776, -12.000, 0.030, -0.964, -2746.000
31002, -305.000, 0.141, -3.020, -1115.000
32321, -29.000, 0.051, -1.360, -163.000
33546, -82.000, 0.047, -1.449, -146.000
34866, -34.000, 0.046, -1.401, 2665.000
36092, -72.000, 0.130, -2.834, 304.000
37411, -6.000, -0.114, 67.895, 6685.000
38637, -4.000, -0.045, 56.672, 1895.000
39957, -22.000, -0.002, 48.891, 802.000
41181, -34.000, -0.032, 116.300, 208.000
42596, -474.000, 0.152, 6.024, -2649.000
43916, -155.000, 0.117, 19.393, -1385.000
45235, -133.000, 0.078, 28.235, -906.000
46649, -88.000, 0.058, 27.077, -1226.000
47969, -77.000, 0.071, 26.842, -943.000
49383, -88.000, 0.069, 27.393, -969.000
50703, -111.000, 0.070, 82.348, 5795.000
52117, -620.000, 0.155, 22.146, 4153.000
53437, 16.000, -1.751, 1458.510, 45357.000
54757, 86.000, -1.738, 986.316, 39333.000
56170, 120.000, -8.300, 2180.664, 51402.000
57490, 93.000, -1.516, 771.239, 25635.000
58904, 15.000, -0.283, 144.316, 4161.000
60224, -79.000, 0.006, 42.227, 264.000
61638, -109.000, 0.050, 31.830, -607.000
62957, -107.000, 0.063, 31.530, -685.000
64371, -124.000, 0.065, 30.105, -493.000
65691, -93.000, 0.058, 32.818, -607.000
67011, -132.000, 0.071, 29.603, -665.000
68425, -93.000, 0.066, 30.308, -682.000
69744, -102.000, 0.070, 29.684, -806.000
71158, -128.000, 0.074, 29.061, -998.000
72478, -229.000, 0.141, 24.494, 1045.000
73892, -79.000, 0.018, 29.134, -1317.000
75212, -151.000, 0.074, 29.636, -569.000
76532, -122.000, 0.057, 32.486, -446.000
77851, -115.000, 0.065, 30.138, -757.000
79171, -172.000, 0.061, 27.255, -1207.000
80585, -144.000, 0.070, 26.866, -1064.000
81905, -185.000, 0.063, 60.259, -977.000
83319, -179.000, -8.877, 3922.721, 1745.000
84638, -929.000, 0.150, 68.016, 3821.000
86052, -58.000, -0.219, 241.296, 4765.000
87372, -99.000, -0.008, 90.526, 720.000
88692, -137.000, 0.040, 69.425, -434.000
90011, -157.000, 0.073, 47.393, -1334.000
91331, -193.000, 0.057, 64.445, -760.000
92745, -135.000, 0.073, 50.526, -1450.000
94065, -192.000, 0.091, 43.789, -1535.000
95385, -170.000, 0.080, 44.291, -1908.000
96610, -217.000, 0.086, 53.530, -1168.000
97929, -176.000, 0.075, 52.332, -1315.000
99155, -183.000, 0.081, 51.733, -1346.000
100475, -220.000, 0.073, 54.316, -1234.000
101700, -189.000, 0.092, 34.729, -2387.000
103020, -233.000, 0.096, 51.806, -1171.000
104340, -189.000, 0.088, 47.433, -1408.000
105660, -158.000, 0.048, 66.980, -1114.000
106979, -175.000, 0.093, 47.093, -1189.000
108298, -175.000, 0.076, 57.085, -1194.000
109713, -184.000, 0.078, 27.579, -1443.000
111033, -242.000, 0.141, -4.850, -2897.000
112447, -499.000, 0.188, -3.547, -2144.000
113766, -2030.000, 0.180, 
