Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 3870.00
Averaged value with weight, minus tare: 		24.3600006103
Calibrated value of weight: 		1371.0000000000
Calibration complete, save and put in code if required. Set to: 		24.3600006103
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.132, 0.246, 0.000, 1.564
1256, 0.015, 0.369, 0.054, 1.621
2670, -0.002, 0.657, 0.022, 0.313
3991, -0.050, 7.430, -0.032, -0.114
5405, -0.076, 11.658, -0.027, -0.626
6725, -0.129, 11.741, -0.038, -1.393
8140, -0.201, 8.087, -0.043, -0.512
9460, -0.137, -0.534, -0.043, -0.825
10780, -0.179, -1.232, -0.032, -0.967
12195, -0.157, -1.108, -0.011, -0.512
13515, -0.169, -1.232, 0.032, -1.024
14929, -0.159, -1.314, -0.081, -1.365
16250, -0.205, -1.560, -0.043, -1.109
17665, -0.160, -1.601, -0.076, -1.308
18985, -0.182, -1.560, -0.065, -1.251
20305, -0.195, -1.683, -0.027, -1.422
21720, -0.171, -1.437, -0.011, -1.280
23040, -0.155, -1.601, 0.000, -0.967
24455, -0.166, -1.724, 0.005, -1.194
25775, -0.156, -1.683, -0.097, -1.166
27189, -0.143, -1.273, 0.022, -1.024
28510, -0.195, -1.314, -0.043, -0.768
29924, -0.143, -1.273, -0.049, -0.853
31150, -0.219, -1.560, -0.038, -1.194
32375, -0.162, -1.355, -0.049, -1.308
33601, -0.160, -1.437, -0.027, -1.223
34828, -0.206, -1.314, -0.022, -1.308
36054, -0.197, -1.806, -0.043, -1.678
37279, -0.213, -1.067, -0.049, -1.706
38505, -0.213, -1.190, -0.065, -1.450
39731, -0.199, -1.026, -0.032, -1.251
40956, -0.197, -1.437, -0.108, -1.308
42276, -0.200, -1.273, -0.108, -1.081
43692, -0.218, -1.190, -0.119, -0.910
45012, -0.228, -2.053, -0.070, -1.194
46426, -0.212, -2.176, -0.038, -1.365
47747, -0.215, -1.232, 0.059, -0.882
49161, -0.239, -1.929, -0.065, -1.507
50481, -0.239, -2.463, -0.043, -1.393
51802, -0.227, -1.396, -0.097, -0.995
53216, -0.232, -1.437, -0.049, -1.308
54536, -0.226, -1.149, -0.027, -0.853
55951, -0.235, -1.314, -0.119, -1.450
57271, -0.137, -0.944, -0.022, 0.455
58685, -0.089, -0.944, -0.049, -0.284
60005, -0.088, -0.944, -0.151, -0.427
61326, -0.130, -1.067, 0.005, -0.768
62646, -0.151, -1.273, -0.070, -0.768
63966, -0.187, -1.437, 0.032, -1.223
65380, -0.211, -1.478, -0.043, -1.280
66701, -0.238, -1.190, -0.027, -1.536
68115, -0.192, -1.560, -0.065, -0.938
69435, -0.183, -1.437, -0.097, -0.967
70850, -0.172, -1.396, -0.086, -1.137
72170, -0.167, -1.437, -0.108, -1.052
73490, -0.213, -1.273, 0.005, -1.137
74810, -0.194, -1.519, -0.108, -0.882
76131, -0.183, -1.190, -0.070, -0.825
77545, -0.183, -3.120, -0.022, -1.536
78865, -0.235, -1.601, -0.038, -1.308
80280, -0.200, -1.355, -0.043, -1.251
81600, -0.210, -1.437, 0.016, -0.682
82920, -0.180, -1.355, -0.022, -0.938
84240, -0.166, -1.067, -0.011, -0.995
85561, -0.175, -1.232, -0.011, -1.365
86881, -0.144, -1.519, 0.032, -1.081
88201, -0.189, -1.026, -0.032, -1.166
89616, -0.177, -1.273, -0.146, -0.825
90936, -0.178, -1.970, -0.016, -0.825
92350, -0.146, -12.603, -0.092, -1.052
93671, -0.170, -1.232, -0.081, -1.166
94991, -0.232, -1.437, -0.081, -0.967
96217, -0.182, -2.422, -0.022, -1.024
97538, -0.176, -1.970, -0.124, -1.536
98858, -0.177, -2.258, -0.146, -1.564
100177, -0.217, 5.583, -0.038, -1.337
101497, -0.146, 4.228, -0.038, -0.853
102818, -0.107, 10.016, -0.022, -0.512
104233, -0.096, 91.626, -0.059, -0.654
105552, -0.169, 27.422, -0.124, -0.967
106968, -0.149, 12.069, -0.043, -0.768
108288, -0.162, 12.192, -0.103, -1.052
109608, -0.180, 10.796, -0.027, -1.507
110928, -0.271, 8.580, -0.076, -1.848
112248, -0.201, 
