Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -1.090, -2.299, -0.412, -1.129
1359, -0.934, 4.680, -0.283, -1.533
2678, -1.141, 5.008, -0.360, -1.651
3998, -1.351, 6.322, -0.747, -1.836
5318, -1.514, 8.128, -0.592, -2.190
6639, -1.498, 8.210, -0.695, -2.156
7959, -1.481, 6.568, -0.618, -2.257
9279, -1.527, 7.677, -0.386, -2.392
10694, -1.546, 15.066, -0.875, -2.257
12014, -1.536, 16.585, -0.618, -2.443
13429, -1.667, 15.928, 
