Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, 28.477, 6.240, 16.947, 20.902
1406, 28.601, 5.947, 15.336, 18.956
2724, 28.387, 6.256, 17.478, 21.456
4043, 28.759, 5.994, 15.078, 18.366
5458, 28.081, 5.798, 16.303, 21.441
6871, 28.922, 6.901, 18.682, 22.719
8190, 28.853, 49.948, 76.536, 65.433
9603, 38.476, 18.937, 36.856, 35.109
11017, 35.309, 8.613, 19.066, 22.454
12430, 51.724, 5.869, 14.634, 17.729
13843, 60.589, 6.611, 13.737, 18.239
15256, 50.272, 5.908, 13.529, 17.085
16670, 42.940, 5.116, 13.922, 17.610
17895, 23.151, 5.485, 14.031, 19.158
19214, 23.261, 5.468, 15.053, 19.196
20533, 23.439, 5.404, 14.019, 19.108
21853, 25.424, 8.465, 16.646, 18.835
23172, 30.118, 7.563, 13.000, 15.004
24491, 29.520, 8.587, 14.448, 15.365
25810, 29.916, 4.775, 15.446, 20.890
27128, 27.731, 4.740, 16.061, 21.701
28448, 27.715, 4.621, 16.385, 21.745
29767, 28.120, 5.001, 15.384, 20.455
31086, 27.644, 5.725, 15.559, 20.084
32311, 29.284, 7.697, 16.131, 20.641
33630, 28.792, 5.226, 14.901, 19.870
34856, 29.034, 7.135, 14.678, 19.984
36174, 29.528, 6.706, 14.431, 18.995
37493, 29.591, 7.887, 15.216, 21.842
38812, 27.959, 4.301, 15.454, 21.272
40131, 27.783, 4.442, 15.386, 21.384
41451, 27.631, 4.679, 16.352, 19.988
42770, 26.961, 4.547, 16.290, 23.084
44089, 27.944, 4.691, 15.376, 20.883
45408, 27.335, 4.408, 15.737, 22.234
46727, 27.601, 4.734, 16.582, 21.576
48047, 27.892, 4.679, 15.763, 21.035
49271, 27.746, 4.473, 14.603, 19.838
50590, 26.971, 4.687, 15.963, 21.687
51815, 29.153, 6.396, 17.742, 23.528
53228, 32.476, 7.578, 15.308, 20.392
54641, 35.666, 7.573, 16.441, 22.199
56055, 38.922, 8.313, 15.536, 22.635
57469, 39.796, 9.019, 16.851, 22.040
58787, 40.005, 7.844, 15.090, 21.001
60201, 41.044, 7.122, 13.882, 19.871
61519, 40.149, 7.049, 14.585, 21.226
62933, 39.655, 7.793, 14.851, 22.390
64347, 36.548, 6.982, 15.576, 22.451
65760, 24.100, 4.705, 14.626, 21.182
67173, 24.041, 4.995, 15.636, 21.899
68492, 24.373, 4.887, 15.321, 22.359
69905, 24.357, 6.794, 15.107, 21.397
71131, 24.433, 4.698, 14.786, 20.322
72450, 23.990, 4.789, 32.297, 48.126
73674, 29.904, 9.664, 25.065, 29.214
74993, 26.362, 5.900, 18.741, 23.397
76313, 25.457, 5.680, 15.599, 20.096
77632, 24.347, 7.051, 14.569, 21.489
78951, 24.977, 8.881, 16.095, 21.475
80270, 25.232, 8.293, 14.770, 21.597
81589, 25.005, 9.488, 15.472, 21.542
82908, 25.086, 7.726, 14.211, 21.021
84228, 25.030, 4.748, 15.782, 20.740
85452, 25.066, 4.191, 15.468, 21.712
86771, 25.085, 4.228, 15.515, 20.650
87996, 24.764, 4.219, 15.815, 22.348
89316, 25.249, 4.185, 14.446, 21.610
90541, 25.349, 4.433, 15.401, 20.897
91860, 25.281, 4.702, 16.281, 21.784
93084, 25.252, 4.443, 15.563, 21.265
94403, 24.987, 4.526, 15.846, 21.864
95723, 25.677, 4.829, 17.632, 22.131
97042, 25.476, 4.298, 15.525, 20.721
98361, 25.096, 4.602, 16.238, 21.876
99680, 25.437, 4.473, 16.057, 22.111
101094, 25.591, 4.978, 17.067, 21.934
102413, 25.478, 4.655, 15.698, 20.608
103826, 25.376, 4.427, 14.954, 19.973
105145, 24.771, 4.518, 15.895, 21.734
106558, 25.496, 4.791, 16.346, 19.746
