Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
107972, 25.623, 4.994, 16.691, 22.077
109385, 25.703, 4.601, 15.157, 20.223
110798, 23.964, 4.066, 14.404, 20.645
112117, 23.782, 4.348, 14.731, 19.547
113532, 24.831, 4.423, 14.657, 19.550
114850, 24.548, 4.156, 14.650, 19.648
116264, 24.468, 4.327, 14.409, 20.605
117677, 24.763, 4.518, 15.330, 21.539
119090, 24.978, 4.123, 13.743, 19.483
120504, 25.259, 4.401, 15.572, 20.712
121823, 24.394, 4.582, 16.629, 24.501
123236, 26.157, 5.205, 17.321, 21.362
124461, 24.669, 4.199, 14.244, 18.854
125781, 24.569, 4.129, 14.689, 18.959
127005, 24.477, 4.437, 16.130, 23.109
128324, 25.028, 4.949, 15.840, 20.352
129549, 24.646, 5.150, 45.946, 56.045
130868, 32.007, 10.849, 29.117, 29.620
132188, 27.543, 6.032, 17.487, 21.547
133507, 24.893, 5.710, 15.756, 22.200
134826, 25.128, 5.748, 15.361, 20.868
136050, 24.483, 5.799, 15.004, 19.528
137370, 24.301, 6.016, 14.430, 19.085
138595, 24.127, 6.341, 15.609, 22.173
139914, 25.210, 6.899, 14.716, 20.520
141139, 24.661, 6.247, 13.593, 18.857
142458, 23.969, 6.178, 14.018, 19.190
143683, 24.710, 6.373, 14.609, 20.837
145002, 24.609, 7.087, 15.095, 21.205
146227, 24.782, 7.757, 15.943, 21.758
147641, 25.005, 7.328, 15.516, 21.947
148960, 25.432, 8.134, 16.412, 20.318
150373, 23.541, 5.088, 14.883, 20.568
151786, 25.064, 4.550, 15.905, 22.033
153106, 24.569, 4.081, 14.213, 19.823
154519, 24.809, 4.075, 13.746, 18.715
155838, 24.301, 4.024, 13.521, 19.806
157251, 23.574, 3.289, 11.594, 16.941
158570, 22.780, 3.594, 12.746, 18.871
159984, 25.281, 4.112, 18.812, 39.784
161397, 29.628, 6.996, 21.552, 26.609
162716, 26.683, 5.239, 17.495, 23.820
164129, 25.921, 4.781, 15.924, 20.403
165448, 23.952, 3.902, 14.262, 20.630
166861, 24.863, 3.926, 13.188, 18.729
168181, 24.272, 3.929, 13.817, 20.028
169594, 24.678, 5.248, 16.884, 20.820
171008, 24.843, 4.502, 16.070, 19.625
172327, 24.477, 3.744, 13.508, 17.649
173741, 23.057, 3.598, 14.663, 20.911
175060, 24.677, 4.216, 15.899, 22.700
176473, 25.566, 5.058, 16.295, 21.852
177793, 25.850, 4.463, 14.777, 18.605
179112, 24.661, 4.066, 14.309, 19.593
180336, 24.288, 4.276, 15.805, 21.705
181655, 25.488, 4.793, 15.753, 20.230
182880, 25.049, 4.598, 15.420, 19.332
184200, 29.144, 13.790, 33.859, 35.134
185424, 28.803, 6.579, 19.987, 21.390
186743, 25.021, 4.685, 16.646, 19.999
188063, 24.408, 4.120, 15.073, 20.329
189288, 25.143, 3.756, 12.826, 16.913
190607, 24.272, 3.438, 12.250, 17.479
191832, 22.806, 3.741, 13.489, 18.751
193152, 23.823, 6.965, 21.772, 27.481
194376, 26.015, 5.008, 14.764, 19.872
195789, 25.035, 14.648, 64.541, 67.965
197109, 34.825, 
