Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Place a 50 N weight onto the load cell, press any number then enter.
NOTE: this process will calibrate to Newtons.
Calibrating to 50.00 N...
Tare value: 538265.00
Averaged value with weight, minus tare: 		9912.2402343750
Calibrated value of weight: 		49.4226303100
Calibration complete, save and put in code if required. Set to: 		9912.2402343750
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
0, -0.126, -0.015, -0.003, 0.284
1312, -0.013, 0.006, -0.037, -0.192
2632, -0.207, -0.018, -0.056, -0.463
3952, 2.475, -0.016, -0.045, -0.227
5273, 8.595, 0.004, -0.029, -0.161
6593, 10.337, -0.009, -0.032, -0.137
7913, 9.597, -0.058, -0.221, -1.425
9139, 9.333, -0.023, -0.102, -0.690
10459, 9.100, -0.034, -0.163, -1.480
11684, 7.539, -0.047, -0.138, -1.092
13005, 0.283, -0.018, -0.033, 0.248
14325, -0.837, 0.219, 0.345, 2.413
15645, -0.894, 0.135, 0.161, 1.970
16965, -1.423, 0.096, 0.224, 1.909
18285, -1.487, 0.192, 0.152, 1.444
19605, 0.059, 0.127, 0.092, 0.687
20926, -1.077, 0.065, 0.148, 0.846
22246, -1.055, 0.049, 0.010, 0.274
23566, -1.075, 0.077, 0.104, 0.348
24886, -1.118, 0.047, 0.008, 0.291
26111, -1.091, 0.040, -0.025, 0.218
27432, -1.075, 0.134, 0.117, 0.448
28658, -1.057, -0.206, 0.107, 0.490
29978, -1.067, -0.127, 0.028, -0.091
31298, -1.079, -0.139, 0.093, 1.267
32618, -1.011, 0.148, -0.016, 0.439
33939, -1.086, 0.141, 0.069, 0.232
35259, -1.080, 0.090, 0.009, 0.284
36579, -1.055, 0.143, 0.113, 0.427
37899, -1.049, 0.414, 0.172, 0.399
39219, -1.062, 0.206, 0.117, 0.925
40540, -1.023, 0.585, -0.014, 0.616
41860, -1.073, 0.421, 0.117, 0.816
43085, -1.051, 0.722, 0.084, 0.480
44405, -1.058, 0.300, 0.091, 0.260
45819, -1.036, 3.439, 0.125, 0.955
47235, -1.051, 0.098, -0.034, -0.061
48649, -1.087, 0.094, 0.167, 0.967
50063, -1.051, 0.178, 0.157, 0.853
51478, -1.032, 0.792, 0.129, 0.618
52798, -1.086, 1.043, 0.028, 0.756
54212, -1.048, 0.990, 0.072, 0.594
55626, -1.066, 0.913, 0.026, 0.456
57041, -1.075, 0.754, 0.022, -0.122
58456, -1.149, 0.078, 0.132, 1.143
59870, -1.035, 0.129, 0.287, 1.629
61285, -1.014, 0.260, 
