Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4, 5 for all
1 pass.
2 pass
3 pass
4 pass.
Tare values: 115769, 3779, 4705, 9207
Loosen the cables to set the tension. Press any number and enter to continue.
NOTE: this process will calibrate to Newtons.
Calibrating to -19.55, -27.57, -45.19, -50.93,  N...
Calibrated values of weight: 		
-104545.0000000000
-1269.0000000000
-3461.0000000000
-6857.0000000000
Calibration complete, save and put in code if required. Set to: 		512.81, 109.17, 109.27, 147.11
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
122601, -104603.000, -1243.000, -3445.000, -6699.000
124016, -103445.000, -1227.000, -3433.000, -6702.000
125430, -103746.000, -1239.000, -3445.000, -6794.000
126751, -105935.000, -1254.000, -3456.000, -6761.000
128166, -105107.000, -1256.000, -3428.000, -6705.000
129486, -104905.000, -1248.000, -3455.000, -6764.000
130901, -105526.000, -1248.000, -3441.000, -6701.000
132315, -103102.000, -1243.000, -3451.000, -6794.000
133731, -105343.000, -1231.000, -3452.000, -6834.000
135145, -104825.000, -1248.000, -3433.000, -6678.000
136466, -105492.000, -1249.000, -3447.000, -6712.000
137880, -103173.000, -1235.000, -3418.000, -6621.000
139295, -104495.000, -1261.000, -3449.000, -6647.000
140710, -105082.000, -1236.000, -3425.000, -6596.000
142124, -100877.000, -1209.000, -3368.000, -6440.000
143445, -100434.000, -1199.000, -3425.000, -6462.000
144859, -101706.000, -1201.000, -3411.000, -6603.000
146180, -104799.000, -1231.000, -3427.000, -6694.000
147500, -103158.000, -1223.000, -3413.000, -6668.000
148726, -104482.000, -1243.000, -3445.000, -6585.000
150047, -101641.000, -1206.000, 
